method,category,condition,size_band,regions,aupro_0_05
global,can,overexposed,all,16,0.1591777212382675
global,can,overexposed,large_gt_1pct,0,nan
global,can,overexposed,small_0.1_to_1pct,0,nan
global,can,overexposed,tiny_le_0.1pct,16,0.1591777212382675
global,can,regular,all,16,0.15898308676034728
global,can,regular,large_gt_1pct,0,nan
global,can,regular,small_0.1_to_1pct,0,nan
global,can,regular,tiny_le_0.1pct,16,0.15898308676034728
global,can,shift_1,all,16,0.18672808350046802
global,can,shift_1,large_gt_1pct,0,nan
global,can,shift_1,small_0.1_to_1pct,0,nan
global,can,shift_1,tiny_le_0.1pct,16,0.18672808350046802
global,can,shift_2,all,16,0.10575634209893912
global,can,shift_2,large_gt_1pct,0,nan
global,can,shift_2,small_0.1_to_1pct,0,nan
global,can,shift_2,tiny_le_0.1pct,16,0.10575634209893912
global,can,shift_3,all,16,0.14064069541133226
global,can,shift_3,large_gt_1pct,0,nan
global,can,shift_3,small_0.1_to_1pct,0,nan
global,can,shift_3,tiny_le_0.1pct,16,0.14064069541133226
global,can,underexposed,all,16,0.1557456096810854
global,can,underexposed,large_gt_1pct,0,nan
global,can,underexposed,small_0.1_to_1pct,0,nan
global,can,underexposed,tiny_le_0.1pct,16,0.1557456096810854
global,fabric,overexposed,all,32,0.3357620314446959
global,fabric,overexposed,large_gt_1pct,1,0.468012334553637
global,fabric,overexposed,small_0.1_to_1pct,1,0.9983982552596395
global,fabric,overexposed,tiny_le_0.1pct,30,0.3092658138805697
global,fabric,regular,all,32,0.3291106934508726
global,fabric,regular,large_gt_1pct,1,0.4705351581619203
global,fabric,regular,small_0.1_to_1pct,1,0.9983557946413142
global,fabric,regular,tiny_le_0.1pct,30,0.3020883745874946
global,fabric,shift_1,all,32,0.347422506938353
global,fabric,shift_1,large_gt_1pct,1,0.4731561619581532
global,fabric,shift_1,small_0.1_to_1pct,1,0.9994819429915904
global,fabric,shift_1,tiny_le_0.1pct,30,0.3214960705692559
global,fabric,shift_2,all,32,0.45065386940343466
global,fabric,shift_2,large_gt_1pct,1,0.4548721502961731
global,fabric,shift_2,small_0.1_to_1pct,1,0.9985640177787133
global,fabric,shift_2,tiny_le_0.1pct,30,0.4322495884278346
global,fabric,shift_3,all,32,0.4423859598378227
global,fabric,shift_3,large_gt_1pct,1,0.46623747245697933
global,fabric,shift_3,small_0.1_to_1pct,1,0.9988361636329118
global,fabric,shift_3,tiny_le_0.1pct,30,0.42304256929068074
global,fabric,underexposed,all,32,0.3320543132452282
global,fabric,underexposed,large_gt_1pct,1,0.46842285396749855
global,fabric,underexposed,small_0.1_to_1pct,1,0.9986333038990242
