category,normal_images,global_q99,tiled_q99,global_q99_min,global_q99_max,tiled_q99_min,tiled_q99_max
grid,264,0.11828075721859932,0.13773666322231293,3.692439349833876e-07,0.16466350853443146,0.10682035982608795,0.16918393969535828
capsule,219,0.059801530092954636,0.07545582205057144,2.998301908974099e-07,0.09711387753486633,0.05996531993150711,0.10463428497314453
transistor,213,0.09907126426696777,0.10961799323558807,3.9891347114462405e-07,0.16029304265975952,0.08411732316017151,0.15147240459918976
zipper,240,0.06797638908028603,0.10161543264985085,4.3212639866396785e-07,0.09586240351200104,0.08936573565006256,0.1305897831916809
carpet,280,0.09850235655903816,0.12992116063833237,3.7933750718366355e-07,0.18856710195541382,0.11538147181272507,0.20974381268024445
leather,245,0.08610185980796814,0.10134030133485794,3.778804966714233e-07,0.23051287233829498,0.0878634974360466,0.2320163995027542
tile,230,0.11865729838609695,0.13334404677152634,3.660840377506247e-07,0.24206644296646118,0.11091987043619156,0.24813434481620789
wood,247,0.13291001319885254,0.14053340256214142,3.718305379152298e-07,0.1662309765815735,0.08809008449316025,0.19125953316688538
bottle,209,0.08390627056360245,0.09799779206514359,4.3337743704796594e-07,0.16609930992126465,0.07390595227479935,0.1523921936750412
hazelnut,391,0.13043615221977234,0.13517922163009644,3.247732820454985e-07,0.1778077334165573,0.07163957506418228,0.17761847376823425
metal_nut,220,0.11674511432647705,0.13316206634044647,4.414610828007426e-07,0.15539228916168213,0.09324486553668976,0.16557849943637848
pill,267,0.08790475130081177,0.09391911327838898,3.5672186982083076e-07,0.14447161555290222,0.06655482202768326,0.1561979353427887
screw,320,0.08048244193196297,0.09690973907709122,3.035129338968545e-07,0.11492125689983368,0.07446953654289246,0.12365400791168213
toothbrush,60,0.0965324267745018,0.1353878751397133,3.015848051290959e-07,0.12469032406806946,0.11921621859073639,0.1502200812101364
