protocol,method,image_auroc,image_ap,image_f1max,pixel_auroc,pixel_ap,pixel_f1max,aupro_0_05,tiny,small,large,note
AD2 image-level,PatchCore256,0.6689311410591172,0.7907620982668357,0.8178429450600185,,,,,,,,image-score method; pixel/region metrics not defined for this saved output
AD2 image-level,PatchCore512,0.7314441466822419,0.8299810920101379,0.8327744481442255,,,,,,,,image-score method; pixel/region metrics not defined for this saved output
AD2 image-level,DINOv2 top1,0.7221361002313382,0.8217788468940938,0.8148886260648724,,,,,,,,image-score method; pixel/region metrics not defined for this saved output
AD2 image-level,Frozen score fusion,0.7583050888705651,0.8405491048408504,0.8373764317676804,,,,,,,,image-score method; pixel/region metrics not defined for this saved output
AD2 localization,Global 448,0.7466658220527268,0.8293976592569637,0.8306392674829151,0.8927899404899649,0.2960938412697781,0.36175366616210797,0.5576974255369238,0.5295112646881571,0.7582666702531304,0.6308930565588717,image metrics: category macro; pixel/region metrics: category macro
AD2 localization,Local 672,0.744520173389221,0.8320850295507279,0.822432675532929,0.9176950757175489,0.3213803348968418,0.3774122616540422,0.5641023177431429,0.5432543928029361,0.7718882183823155,0.6439300949383122,image metrics: category macro; pixel/region metrics: category macro
AD2 localization,Raw mean,0.7566712118349024,0.8379123472717117,0.8328585212560069,0.9143210710331429,0.3231391818739383,0.38508555069148637,0.5858775688804894,0.5637718049801668,0.7785328387747921,0.6504208653899476,image metrics: category macro; pixel/region metrics: category macro
AD2 localization,Ours: q99 fusion,0.7560093422891041,0.837266189787794,0.8311226353599745,0.9104910803962707,0.31966574754413873,0.38344425065790255,0.5860833578028104,0.5639030074831701,0.7778305619724932,0.6483191164697414,image metrics: category macro; pixel/region metrics: category macro
MVTec AD-15,Global 448,0.9929600490924797,0.9965648423810741,0.9840158974202005,0.9797997278497588,0.6243501492634398,0.6368878674697719,0.8299128904554618,0.8156662766580894,0.904046357739537,0.8029886312336229,all 15 MVTec AD categories; category-macro metrics; Res672 is the whole image at short edge 672 because all MVTec images are square
MVTec AD-15,Res672,0.9920342789414333,0.9970138572986565,0.986336562145613,0.9758993816819481,0.6485054503727196,0.654062763257804,0.843435868628623,0.8654198435693922,0.9158081894938842,0.8118042660246843,all 15 MVTec AD categories; category-macro metrics; Res672 is the whole image at short edge 672 because all MVTec images are square
MVTec AD-15,Raw mean,0.9930438625881022,0.997148045408118,0.9867455760984541,0.9808061617245686,0.6501748376635039,0.6548055948765664,0.846739406450295,0.8526891308653182,0.9183968393779082,0.8173264605607836,all 15 MVTec AD categories; category-macro metrics; Res672 is the whole image at short edge 672 because all MVTec images are square
MVTec AD-15,q99 fusion,0.9930704547965851,0.9971590416147816,0.9867455760984541,0.9808683795473161,0.6483864138725127,0.6534204504316147,0.8456958755950351,0.8505502625645864,0.917676617597539,0.8163395295515732,all 15 MVTec AD categories; category-macro metrics; Res672 is the whole image at short edge 672 because all MVTec images are square
