protocol,method,image_auroc,image_ap,image_f1max,pixel_auroc,pixel_ap,pixel_f1max,aupro_0_05,tiny,small,large,note
AD2 image-level,PatchCore256,0.6689311410591172,0.7907620982668357,0.8178429450600185,,,,,,,,image-score method; pixel/region metrics not defined for this saved output
AD2 image-level,PatchCore512,0.7314441466822419,0.8299810920101379,0.8327744481442255,,,,,,,,image-score method; pixel/region metrics not defined for this saved output
AD2 image-level,DINOv2 top1,0.7221361002313382,0.8217788468940938,0.8148886260648724,,,,,,,,image-score method; pixel/region metrics not defined for this saved output
AD2 image-level,Frozen score fusion,0.7583050888705651,0.8405491048408504,0.8373764317676804,,,,,,,,image-score method; pixel/region metrics not defined for this saved output
AD2 localization,Global 448,0.7466658220527268,0.8293976592569637,0.8306392674829151,0.8927899404899649,0.2960938412697781,0.36175366616210797,0.5576974255369238,0.5295112646881571,0.7582666702531304,0.6308930565588717,image metrics: category macro; pixel/region metrics: category macro
AD2 localization,Local 672,0.744520173389221,0.8320850295507279,0.822432675532929,0.9176950757175489,0.3213803348968418,0.3774122616540422,0.5641023177431429,0.5432543928029361,0.7718882183823155,0.6439300949383122,image metrics: category macro; pixel/region metrics: category macro
AD2 localization,Raw mean,0.7566712118349024,0.8379123472717117,0.8328585212560069,0.9143210710331429,0.3231391818739383,0.38508555069148637,0.5858775688804894,0.5637718049801668,0.7785328387747921,0.6504208653899476,image metrics: category macro; pixel/region metrics: category macro
AD2 localization,Ours: q99 fusion,0.7560093422891041,0.837266189787794,0.8311226353599745,0.9104910803962707,0.31966574754413873,0.38344425065790255,0.5860833578028104,0.5639030074831701,0.7778305619724932,0.6483191164697414,image metrics: category macro; pixel/region metrics: category macro
MVTec AD-14,Global 448,0.993929673502919,0.9972082636340156,0.9869878631671184,0.9798131968814808,0.6221611684540284,0.6356932688638741,0.834744082300681,0.811686386739631,0.9090401570568049,0.8091422641913779,14 categories excluding cable; category-macro metrics
MVTec AD-14,Local 672,0.9925763504828699,0.9975354724504183,0.9881230332380977,0.9756550304204541,0.6453689220994366,0.6522833071719826,0.8481331020585833,0.8653576255541614,0.9201050640887882,0.8174821860643717,14 categories excluding cable; category-macro metrics
MVTec AD-14,Raw mean,0.9935241856065498,0.9975314293581687,0.9885310719712166,0.9807523816353018,0.6473693839102069,0.6532066304938756,0.8510057185871943,0.8502736843390807,0.922852020705701,0.8225761040007288,14 categories excluding cable; category-macro metrics
MVTec AD-14,q99 fusion,0.9935526772584959,0.9975432110081656,0.9885310719712166,0.9808188490541694,0.6455154492149295,0.6517686131693374,0.849918028832686,0.8479677463029458,0.9221196958440715,0.8215495915044313,14 categories excluding cable; category-macro metrics
Cable,Global 448,0.9793853073463268,0.9875569448398935,0.9424083769633508,0.9796111614056503,0.6549958805952012,0.6536122479523399,0.7622762046223915,0.8634249556795918,0.8341331672977872,0.7168377698250517,single-category frozen-transfer evaluation
Cable,Local 672,0.9844452773613193,0.9897112451739942,0.9613259668508287,0.9793202993428656,0.6924168461986814,0.6789751484593041,0.7776746006091786,0.8661664597521602,0.8556519451652254,0.7323133854690607,single-category frozen-transfer evaluation
Cable,Ours: q99 fusion,0.986319340329835,0.9917806701074093,0.9617486338797814,0.9815618064513688,0.6885799190786764,0.6765461721034957,0.7865857302679219,0.8815404577042738,0.8554735221460843,0.7433986622115599,single-category frozen-transfer evaluation
