category,method,auroc,ap
can,D_z,0.44382716049382714,0.5569980589854331
can,fixed_source,0.4524691358024691,0.5672803976583112
can,logistic_source,0.45895061728395065,0.5765571265295628
can,logistic_geometry,0.49351851851851847,0.6148780155259569
fabric,D_z,0.7102693602693604,0.7836136424575284
fabric,fixed_source,0.7207070707070706,0.800184093953284
fabric,logistic_source,0.719023569023569,0.8051256169604848
fabric,logistic_geometry,0.7063973063973065,0.8060786368960555
fruit_jelly,D_z,0.7899999999999999,0.9293496212782802
fruit_jelly,fixed_source,0.7841666666666666,0.9281155261337173
fruit_jelly,logistic_source,0.7825,0.9282149978779324
fruit_jelly,logistic_geometry,0.8266666666666665,0.9466052922274604
rice,D_z,0.5335978835978836,0.7033982193190758
rice,fixed_source,0.532010582010582,0.701495514487386
rice,logistic_source,0.533068783068783,0.7006223801405976
rice,logistic_geometry,0.5460317460317461,0.7351532917942832
sheet_metal,D_z,0.699537037037037,0.9117786460432544
sheet_metal,fixed_source,0.710648148148148,0.9139074691173181
sheet_metal,logistic_source,0.7208333333333333,0.9158964154784879
sheet_metal,logistic_geometry,0.675,0.9022207424507349
vial,D_z,0.8642176870748299,0.9514223221057349
vial,fixed_source,0.8653061224489796,0.9520181510524097
vial,logistic_source,0.8680272108843536,0.9541343969330303
vial,logistic_geometry,0.8952380952380952,0.9646786632550668
wallplugs,D_z,0.46518518518518515,0.5707241422253511
wallplugs,fixed_source,0.47092592592592597,0.5716039852267201
wallplugs,logistic_source,0.4774074074074074,0.5745395430984557
wallplugs,logistic_geometry,0.4738888888888889,0.5670005747990139
walnuts,D_z,0.8448148148148148,0.9188121337200278
walnuts,fixed_source,0.8511111111111112,0.9205040413009986
walnuts,logistic_source,0.8574074074074074,0.9219809957084037
walnuts,logistic_geometry,0.8562962962962963,0.9218461233366195
