category,method,auroc,ap
candle,logistic_geometry,0.9736,0.9761060951079342
candle,logistic_reference,0.9727,0.9568771193789049
candle,logistic_exchange,0.9708,0.9537112899084814
candle,visual_distance_z,0.5942,0.5671834967138063
candle,reference_contrast_z,0.48540000000000005,0.5122443290685201
capsules,logistic_geometry,0.7443333333333334,0.8586744398567182
capsules,logistic_reference,0.7434999999999999,0.859898253216745
capsules,logistic_exchange,0.7421666666666668,0.8583534366304342
capsules,visual_distance_z,0.6313333333333334,0.7361043887093139
capsules,reference_contrast_z,0.5613333333333335,0.6623894198973419
cashew,logistic_geometry,0.9622,0.9816569884747526
cashew,logistic_reference,0.9644,0.9826301417832901
cashew,logistic_exchange,0.9568,0.9786358354924295
cashew,visual_distance_z,0.792,0.8876135273756898
cashew,reference_contrast_z,0.46399999999999997,0.6534994065363076
chewinggum,logistic_geometry,0.9796,0.9922050510907228
chewinggum,logistic_reference,0.98,0.9923753612936544
chewinggum,logistic_exchange,0.9802,0.9923593397980537
chewinggum,visual_distance_z,0.9358,0.9707274330779028
chewinggum,reference_contrast_z,0.524,0.7554671096873712
fryum,logistic_geometry,0.9339999999999999,0.9731478349005053
fryum,logistic_reference,0.9322,0.9725031629166041
fryum,logistic_exchange,0.9318,0.9725103220572369
fryum,visual_distance_z,0.7204,0.8535830227848736
fryum,reference_contrast_z,0.607,0.7734970410068213
macaroni1,logistic_geometry,0.8408,0.8666603955464629
macaroni1,logistic_reference,0.8406,0.8683327058048386
macaroni1,logistic_exchange,0.8390000000000001,0.8680144963578529
macaroni1,visual_distance_z,0.6793000000000001,0.6756956308764346
macaroni1,reference_contrast_z,0.5077,0.5153224754957524
macaroni2,logistic_geometry,0.7396000000000001,0.7451108667616398
macaroni2,logistic_reference,0.7349,0.7381225069133572
macaroni2,logistic_exchange,0.7332000000000001,0.7378422409663814
macaroni2,visual_distance_z,0.5483,0.5493643329563143
macaroni2,reference_contrast_z,0.4327000000000001,0.46274363509685545
pcb1,logistic_geometry,0.9571,0.9558031418966852
pcb1,logistic_reference,0.9581,0.9565823385759167
pcb1,logistic_exchange,0.9586999999999999,0.95698728102949
pcb1,visual_distance_z,0.7266,0.7182493147940653
pcb1,reference_contrast_z,0.6788,0.7021127214568115
pcb2,logistic_geometry,0.9435,0.9350103861535424
pcb2,logistic_reference,0.9453,0.9369842622506079
pcb2,logistic_exchange,0.9441,0.9357344653571953
pcb2,visual_distance_z,0.5839,0.6296439739685891
pcb2,reference_contrast_z,0.6246,0.6459002947899838
pcb3,logistic_geometry,0.95009900990099,0.9566544192766587
pcb3,logistic_reference,0.9503960396039604,0.9563987344333901
pcb3,logistic_exchange,0.9489108910891089,0.9548336906040416
pcb3,visual_distance_z,0.634950495049505,0.6481811205369299
pcb3,reference_contrast_z,0.5345544554455446,0.5688590584866923
pcb4,logistic_geometry,0.9925742574257426,0.992389556520516
pcb4,logistic_reference,0.9917821782178218,0.9914859653156858
pcb4,logistic_exchange,0.9920792079207921,0.9920082143672566
pcb4,visual_distance_z,0.7793069306930693,0.7285567173934373
pcb4,reference_contrast_z,0.764950495049505,0.7697639342582534
pipe_fryum,logistic_geometry,0.9910000000000001,0.9956567140245395
pipe_fryum,logistic_reference,0.9916,0.9959267316593494
pipe_fryum,logistic_exchange,0.9934000000000001,0.9967301142577968
pipe_fryum,visual_distance_z,0.8984,0.9382841502889229
pipe_fryum,reference_contrast_z,0.7092,0.855552146215458
