method,auroc,ap
D_z,0.907207095709571,0.9208393121510331
M_context_top1_z,0.6225427117711771,0.6882241402587744
fixed_source_oof,0.9080330308030803,0.921730088797312
gate_budget_pool,0.9121702695269528,0.9296958510853063
gate_dm,0.9080272827282728,0.921923868999781
gate_exchange,0.911629097909791,0.9296434086952462
gate_geometry,0.9130065456545654,0.93005957047533
gate_reference,0.9124009900990099,0.9299148168702973
gate_remove,0.9121621837183719,0.9298021391412266
gate_shuffled,0.9110654840484048,0.9283918295768522
gate_uncalibrated,0.9111818756875687,0.9289483826404253
logistic_exchange,0.9159297304730473,0.9331433939022209
logistic_reference,0.9171231848184819,0.9340097736285288
logistic_source_oof,0.9073410066006601,0.9218845318320352
naive_context_top1,0.8944136138613862,0.915249568973907
