category,method,auroc,ap
candle,D_z,0.9732000000000001,0.9743394766799574
candle,fixed_source_oof,0.9708,0.9722877966876935
candle,logistic_geometry,0.9736,0.9761060951079342
candle,nested_selected,0.9751,0.9767113389082573
candle,tight_text_z,0.5339,0.5107164950913399
candle,tight_visual_z,0.8199,0.7652341831506613
candle,context15_text_z,0.5617,0.5234604240618179
candle,context15_visual_z,0.5999999999999999,0.5648877945266098
candle,context30_text_z,0.47530000000000006,0.47040345136023637
candle,context30_visual_z,0.7306,0.7675385955718732
candle,lr_tight_text_z,0.9751,0.9767113389082573
candle,lr_tight_visual_z,0.9785,0.9802956186590587
candle,lr_context15_text_z,0.9736,0.9761060951079342
candle,lr_context15_visual_z,0.9800000000000001,0.9813722159667129
candle,lr_context30_text_z,0.9791,0.980867112562033
candle,lr_context30_visual_z,0.9827000000000001,0.9840536907980273
capsules,D_z,0.749,0.8621417618959917
capsules,fixed_source_oof,0.7481666666666668,0.8606419101685769
capsules,logistic_geometry,0.7443333333333334,0.8586744398567182
capsules,nested_selected,0.7378333333333332,0.8542680962070905
capsules,tight_text_z,0.44266666666666665,0.6153579730472871
capsules,tight_visual_z,0.6123333333333334,0.6954005265816634
capsules,context15_text_z,0.49433333333333335,0.633148396894381
capsules,context15_visual_z,0.6224999999999999,0.7337798381449914
capsules,context30_text_z,0.5255000000000001,0.6516816435691009
capsules,context30_visual_z,0.5958333333333333,0.6885509029710832
capsules,lr_tight_text_z,0.7378333333333332,0.8542680962070905
capsules,lr_tight_visual_z,0.751,0.8626970499522099
capsules,lr_context15_text_z,0.7443333333333334,0.8586744398567182
capsules,lr_context15_visual_z,0.7528333333333334,0.864287296549024
capsules,lr_context30_text_z,0.7446666666666666,0.8598776977747422
capsules,lr_context30_visual_z,0.7523333333333333,0.8655865148156603
cashew,D_z,0.9614,0.9811976771880659
cashew,fixed_source_oof,0.9620000000000001,0.981441286616205
cashew,logistic_geometry,0.9622,0.9816569884747526
cashew,nested_selected,0.9612,0.9807493862427578
cashew,tight_text_z,0.6718,0.7794870199999933
cashew,tight_visual_z,0.7292,0.8488337383345413
cashew,context15_text_z,0.6082,0.730448893249484
cashew,context15_visual_z,0.7726000000000001,0.8749129202420437
cashew,context30_text_z,0.6308,0.7750991616593537
cashew,context30_visual_z,0.7132000000000001,0.8254091843457965
cashew,lr_tight_text_z,0.9612,0.9807493862427578
cashew,lr_tight_visual_z,0.9558,0.9787887278697104
cashew,lr_context15_text_z,0.9622,0.9816569884747526
cashew,lr_context15_visual_z,0.9594,0.9801480544341932
cashew,lr_context30_text_z,0.9523999999999999,0.9770776160052129
cashew,lr_context30_visual_z,0.9606,0.9806340242814884
chewinggum,D_z,0.9884000000000001,0.9953147197249776
chewinggum,fixed_source_oof,0.9876,0.9949932128645409
chewinggum,logistic_geometry,0.9796,0.9922050510907228
chewinggum,nested_selected,0.9806,0.9925932982673566
chewinggum,tight_text_z,0.8286,0.9075922440973468
chewinggum,tight_visual_z,0.9092000000000001,0.9617030172123995
chewinggum,context15_text_z,0.8316,0.9121717606436219
chewinggum,context15_visual_z,0.9348,0.9710218590129724
chewinggum,context30_text_z,0.6668000000000001,0.8181714567329544
chewinggum,context30_visual_z,0.9464,0.9756213080234762
chewinggum,lr_tight_text_z,0.9806,0.9925932982673566
chewinggum,lr_tight_visual_z,0.9793999999999999,0.9921900958283616
chewinggum,lr_context15_text_z,0.9796,0.9922050510907228
chewinggum,lr_context15_visual_z,0.9802,0.9925953895071542
chewinggum,lr_context30_text_z,0.9802,0.9925387350744493
chewinggum,lr_context30_visual_z,0.9822,0.9934257980115123
fryum,D_z,0.9546,0.9792100168814865
fryum,fixed_source_oof,0.9542,0.9792874430604404
fryum,logistic_geometry,0.9339999999999999,0.9731478349005053
fryum,nested_selected,0.9238000000000001,0.9700181818213158
fryum,tight_text_z,0.5904,0.7934545874013632
fryum,tight_visual_z,0.7146,0.843230815514642
fryum,context15_text_z,0.6075999999999999,0.8019377138017418
fryum,context15_visual_z,0.7252,0.8553810159582623
fryum,context30_text_z,0.5256,0.6772278098348624
fryum,context30_visual_z,0.7380000000000001,0.8229226581294675
fryum,lr_tight_text_z,0.9238000000000001,0.9700181818213158
fryum,lr_tight_visual_z,0.9348000000000001,0.9733741734555837
fryum,lr_context15_text_z,0.9339999999999999,0.9731478349005053
