method,auroc,ap
D_z,0.907207095709571,0.9208393121510331
context15_text_z,0.6225593784378438,0.688241553547138
context15_visual_z,0.7088372937293729,0.740651176797288
context30_text_z,0.5456510726072608,0.6091691996371776
context30_visual_z,0.6895294279427943,0.7181142950710768
fixed_source_oof,0.9080330308030803,0.921730088797312
logistic_geometry,0.9173672167216722,0.9357563241342232
lr_context15_text_z,0.9173672167216722,0.9357563241342232
lr_context15_visual_z,0.918165401540154,0.9350707722958106
lr_context30_text_z,0.9165514301430142,0.9339234528735568
lr_context30_visual_z,0.917235698569857,0.9343452740117875
lr_tight_text_z,0.9184820682068207,0.9369202415586896
lr_tight_visual_z,0.9177777227722772,0.9349476181860193
nested_selected,0.9154239823982399,0.9348236505519871
tight_text_z,0.6101152915291529,0.6817413243310213
tight_visual_z,0.7555834708470847,0.7904625021402353
