method,auroc,ap
D256_z,0.907207095709571,0.9208393121510331
D512_z,0.9654261276127613,0.9697848866355806
conditional_top1pct_z,0.9315045654565456,0.9339639331999893
fixed_multiscale,0.9570586633663366,0.9610320784157409
geometry512,0.9653787128712872,0.9725678868645334
geometry_conditional,0.9647894664466447,0.9710317519178076
geometry_multiscale,0.9650302530253025,0.9722220554163387
geometry_shuffled,0.9640278877887788,0.9716641050134878
geometry_unconditional,0.9665183168316832,0.9718620488867699
logistic_geometry,0.9173672167216722,0.9357563241342232
unconditional_top1pct_z,0.9544727172717272,0.9547067232026003
