category,group,n,median,q10,q90
can,calibration_normal,46,0.0,-1.5369146333059032,0.9602245870183
can,evaluation_normal,72,1.1188435008621889,-0.5242655424695031,4.390871160499419
can,evaluation_anomaly,90,1.164084644617335,-0.4348940620194521,4.568302722563113
fabric,calibration_normal,43,0.0,-0.8421310469129725,1.7005263118796088
fabric,evaluation_normal,66,0.33548408899175,-0.9418216405735661,2.202954819917855
fabric,evaluation_anomaly,90,1.8965142519872877,1.127065611039431,5.487117312588734
fruit_jelly,calibration_normal,37,0.0,-0.80972847687354,1.6572849384260484
fruit_jelly,evaluation_normal,20,0.012976685907953152,-0.4466935699154097,1.1265383636039341
fruit_jelly,evaluation_anomaly,60,1.9466967851232342,0.6102566489795529,4.250194990157088
rice,calibration_normal,35,0.0,-1.1369889391038135,0.9840047658297127
rice,evaluation_normal,42,0.37080439597155235,-1.0750345837292017,1.8843009977403269
rice,evaluation_anomaly,90,1.1158889565873436,-0.33171571359913526,3.11020874194329
sheet_metal,calibration_normal,19,0.0,-0.6874272436509758,1.284943037534189
sheet_metal,evaluation_normal,24,1.1824662496928315,-0.6970311572292054,2.0548361568277795
sheet_metal,evaluation_anomaly,90,1.41341999403115,0.34219050947552454,4.560633993279502
vial,calibration_normal,41,0.0,-1.331279466013766,1.7763520573327647
vial,evaluation_normal,35,0.1559401026830244,-1.33812380102551,2.1592456793819084
vial,evaluation_anomaly,105,3.677133061616925,0.0012978585906639418,5.917853229503808
wallplugs,calibration_normal,33,0.0,-0.8388599004373886,1.0083970629404593
wallplugs,evaluation_normal,60,0.5416592071676217,-0.6850288418313638,1.6394011864676972
wallplugs,evaluation_anomaly,90,0.5175111452447853,-0.4100511443055966,2.4421516646754533
walnuts,calibration_normal,48,0.0,-0.8675122961719117,1.3666424803710213
walnuts,evaluation_normal,60,0.4255566888519188,-0.8208441780843305,2.901855471864813
walnuts,evaluation_anomaly,90,4.015518647086733,0.5232552957950616,7.878280844417632
