category,method,auroc,ap
can,D256,0.44382716049382714,0.5569980589854331
can,D512,0.5154320987654321,0.5872663847259421
can,naive256,0.4813271604938272,0.551780851510761
can,naive512,0.49135802469135803,0.5732469014968313
can,fixed_source,0.4524691358024691,0.5672803976583112
can,logistic_source,0.45895061728395065,0.5765571265295628
fabric,D256,0.7102693602693604,0.7836136424575284
fabric,D512,0.7856902356902357,0.8120076832795635
fabric,naive256,0.6648148148148149,0.7711767214734149
fabric,naive512,0.6579124579124579,0.7307552326031012
fabric,fixed_source,0.7207070707070706,0.800184093953284
fabric,logistic_source,0.719023569023569,0.8051256169604848
fruit_jelly,D256,0.7899999999999999,0.9293496212782802
fruit_jelly,D512,0.9241666666666667,0.9749617300409257
fruit_jelly,naive256,0.7366666666666666,0.9082049855015464
fruit_jelly,naive512,0.7150000000000001,0.9006437308454536
fruit_jelly,fixed_source,0.7841666666666666,0.9281155261337173
fruit_jelly,logistic_source,0.7825,0.9282149978779324
rice,D256,0.5335978835978836,0.7033982193190758
rice,D512,0.6812169312169313,0.81991662444153
rice,naive256,0.5238095238095237,0.69956238547084
rice,naive512,0.6153439153439153,0.7936140844537763
rice,fixed_source,0.532010582010582,0.701495514487386
rice,logistic_source,0.533068783068783,0.7006223801405976
sheet_metal,D256,0.699537037037037,0.9117786460432544
sheet_metal,D512,0.6532407407407408,0.8914405058310522
sheet_metal,naive256,0.7407407407407407,0.920002119197074
sheet_metal,naive512,0.6282407407407408,0.8886879690422339
sheet_metal,fixed_source,0.710648148148148,0.9139074691173181
sheet_metal,logistic_source,0.7208333333333333,0.9158964154784879
vial,D256,0.8642176870748299,0.9514223221057349
vial,D512,0.868843537414966,0.9567267565366104
vial,naive256,0.820952380952381,0.9434977379986035
vial,naive512,0.8247619047619048,0.9440375870039398
vial,fixed_source,0.8653061224489796,0.9520181510524097
vial,logistic_source,0.8680272108843536,0.9541343969330303
wallplugs,D256,0.46518518518518515,0.5707241422253511
wallplugs,D512,0.5625925925925926,0.6815126863081594
wallplugs,naive256,0.5085185185185186,0.5906105361579798
wallplugs,naive512,0.5905555555555554,0.7068340451303676
wallplugs,fixed_source,0.47092592592592597,0.5716039852267201
wallplugs,logistic_source,0.4774074074074074,0.5745395430984557
walnuts,D256,0.8448148148148148,0.9188121337200278
walnuts,D512,0.8603703703703703,0.9160163649173206
walnuts,naive256,0.8718518518518518,0.9197151516803623
walnuts,naive512,0.8348148148148149,0.9009373757408229
walnuts,fixed_source,0.8511111111111112,0.9205040413009986
walnuts,logistic_source,0.8574074074074074,0.9219809957084037
