category,variant,mean_absolute_shift,median_shift,mean_peak_displacement
candle,brightness_08,0.1941143716894062,0.05172695207326169,138.86199838605398
candle,brightness_12,0.90215330704881,0.8484682228908518,209.9472013150655
candle,contrast_08,0.2280966647567397,0.11051283375707112,80.10316913020756
candle,contrast_12,1.0951295104943706,1.0457657501026318,270.3967393207014
candle,identity,0.0,0.0,0.0
capsules,brightness_08,0.3235360723646272,0.025138997323287976,7.711106417166924
capsules,brightness_12,0.22286999988255968,0.016948597382432956,1.1513878188659974
capsules,contrast_08,0.21149034774608555,-0.09325889599536376,7.4974006135022195
capsules,contrast_12,0.4194838424241752,0.3240480382001585,19.435042975859755
capsules,identity,0.0,0.0,0.0
cashew,brightness_08,0.305613223475006,0.05566513615057339,158.86072611266712
cashew,brightness_12,0.9799348991786776,0.6930581963422962,225.11665050867458
cashew,contrast_08,0.2471084392798704,0.06108061358690919,66.7781072827
cashew,contrast_12,2.237926863754655,2.7405193849525906,253.5417316311491
cashew,identity,0.0,0.0,0.0
chewinggum,brightness_08,0.8312713665450576,0.05743380869031972,80.49610479811379
chewinggum,brightness_12,9.988548720157969,11.110201748052429,243.24749222957365
chewinggum,contrast_08,0.342800304876518,0.13594921938155055,78.5484324469047
chewinggum,contrast_12,9.151561755737943,9.741018979801765,223.88946205026588
chewinggum,identity,0.0,0.0,0.0
fryum,brightness_08,1.6498744490844328,1.7089132398041578,89.24093029667299
fryum,brightness_12,3.646695834738074,3.589782924485066,88.53769289609903
fryum,contrast_08,1.20187053746948,1.1394719301602505,38.972327842627045
fryum,contrast_12,1.2195562460707485,0.7466042203421965,25.052917219306035
fryum,identity,0.0,0.0,0.0
macaroni1,brightness_08,0.15686598583042693,0.11617377599825099,19.4762784944524
macaroni1,brightness_12,0.4806856526134823,0.445918136343656,185.21108374731404
macaroni1,contrast_08,0.13190465832930065,0.06727529927704184,96.69585003812782
macaroni1,contrast_12,0.35206051586520815,0.259461497672123,116.42324323932075
macaroni1,identity,0.0,0.0,0.0
macaroni2,brightness_08,0.3295243823676393,0.25395691357047495,115.60750099863988
macaroni2,brightness_12,0.5287770897803951,0.36748981348074805,76.0135779533232
macaroni2,contrast_08,0.38799051743868,0.3147841320582308,142.07353987805533
macaroni2,contrast_12,0.3680785887455844,0.3679984529817504,43.56540051689806
macaroni2,identity,0.0,0.0,0.0
pcb1,brightness_08,0.8580435066788772,0.7186268718182847,44.10988265816276
pcb1,brightness_12,2.2905513601112206,2.0798586087681983,153.69962480391212
pcb1,contrast_08,0.37176167706338015,0.19677947210198132,2.4125703849682214
pcb1,contrast_12,0.8364837006879092,0.5994185973883976,40.03098037310553
pcb1,identity,0.0,0.0,0.0
pcb2,brightness_08,0.242245951749701,0.19304909918465912,24.671876169496073
pcb2,brightness_12,0.33916632770045607,0.3917067669490577,107.04870970746421
pcb2,contrast_08,0.19074841357463473,0.04212553368414985,21.0701893364263
pcb2,contrast_12,0.17513178545363584,0.1823419521105903,83.1574255587482
pcb2,identity,0.0,0.0,0.0
pcb3,brightness_08,0.4365403131800502,0.2908966719651973,92.87296550595991
pcb3,brightness_12,0.4575782421257441,0.4556943502595109,97.78044736367532
pcb3,contrast_08,0.42173656621155003,0.2022115369758812,2.4748737341529163
pcb3,contrast_12,0.8560603354714277,0.6894761744042746,99.61746604876814
pcb3,identity,0.0,0.0,0.0
pcb4,brightness_08,0.21419984675160647,0.00440149796024869,87.80549226943513
pcb4,brightness_12,0.520212938531115,0.5638152178187615,66.96286557168597
pcb4,contrast_08,0.14181752896735128,-0.02770768834597565,38.76388636821932
pcb4,contrast_12,0.4475618745174628,0.42772950459960085,39.86448272237297
pcb4,identity,0.0,0.0,0.0
pipe_fryum,brightness_08,0.35265764989455234,0.34621922493199697,96.58110042434937
pipe_fryum,brightness_12,0.3996216033655603,0.2865944567756753,33.97551238171165
pipe_fryum,contrast_08,0.19468750920550829,0.197620989933928,96.72474131835966
pipe_fryum,contrast_12,0.37358289028323394,0.3927736215736779,97.03954199451894
pipe_fryum,identity,0.0,0.0,0.0
