dataset,category,image_id,label,D_z,path
AD2,can,b8c9fbb5b346653d8de16864,0,5.466706368952672,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/000_shift_2.png
AD2,can,92fb52e3548d74389d08c980,0,5.303645467340791,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/000_shift_3.png
AD2,can,ced289ac7bab277ba4b761de,0,4.791381208981178,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/006_shift_2.png
AD2,can,161f1ff7a3de582f4a8bd7a4,1,-1.6870523604841028,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/bad/004_regular.png
AD2,can,1a629dd5e2af09bb0ce56cff,1,-1.6103995223656609,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/bad/007_regular.png
AD2,can,b2281c04927413e461a611be,1,-1.5932558210736505,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/bad/002_regular.png
AD2,wallplugs,16a72d802325275c3b412b70,0,5.451514678690782,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/wallplugs/test_public/good/007_shift_2.png
AD2,wallplugs,3a7a7be5082a3447dd7667e2,0,2.4520590032010614,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/wallplugs/test_public/good/004_shift_2.png
AD2,wallplugs,231217a8b41349fc8bbd85ea,0,1.802612639762208,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/wallplugs/test_public/good/009_shift_2.png
AD2,wallplugs,a533370cd733810995bc2f0a,1,-1.5015926628568903,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/wallplugs/test_public/bad/014_underexposed.png
AD2,wallplugs,a53258535b89e294bd4dda88,1,-1.4862292048519234,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/wallplugs/test_public/bad/014_overexposed.png
AD2,wallplugs,6b854ff6e433341b68fcd621,1,-1.455030952143457,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/wallplugs/test_public/bad/014_regular.png
AD2,sheet_metal,fcfe0902449d5644413e53d1,0,2.3920298432906937,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/test_public/good/003_shift_2.png
AD2,sheet_metal,f26867f54bd62fbc71817e9b,0,2.240198755571325,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/test_public/good/003_shift_1.png
AD2,sheet_metal,84b46118f6a61901e3dad5d2,0,2.076152953455213,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/test_public/good/000_shift_1.png
AD2,sheet_metal,2887db27ad9866db4505482a,1,-0.6929144751525217,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/test_public/bad/006_underexposed.png
AD2,sheet_metal,fa3337c909b0b54902122fbe,1,-0.6868390632366898,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/test_public/bad/005_regular.png
AD2,sheet_metal,21da16822facbd11fd2d6d21,1,-0.6843628198203898,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/test_public/bad/005_underexposed.png
VisA,macaroni2,3ee6c47f9ef08b16ed10dfb3,0,5.969846729926784,/root/private_data/iad-vlm-anomaly/datasets/VisA/macaroni2/Data/Images/Normal/0187.JPG
VisA,macaroni2,12aa988e2c192ec197791e10,0,4.42644193545315,/root/private_data/iad-vlm-anomaly/datasets/VisA/macaroni2/Data/Images/Normal/0026.JPG
VisA,macaroni2,3310468cd5959578286518b4,0,3.67112006744172,/root/private_data/iad-vlm-anomaly/datasets/VisA/macaroni2/Data/Images/Normal/0657.JPG
VisA,macaroni2,e2b654828a5193f8b616f3bb,1,-0.0860596888758274,/root/private_data/iad-vlm-anomaly/datasets/VisA/macaroni2/Data/Images/Anomaly/028.JPG
VisA,macaroni2,3ca20c2162a9adab9d240819,1,0.0581846860254915,/root/private_data/iad-vlm-anomaly/datasets/VisA/macaroni2/Data/Images/Anomaly/069.JPG
VisA,macaroni2,b4eb10027246cf9f94854690,1,0.0834808754757783,/root/private_data/iad-vlm-anomaly/datasets/VisA/macaroni2/Data/Images/Anomaly/078.JPG
