category,method,auroc,ap
candle,detector,0.9734,0.9737000804531304
candle,map_max,0.9755999999999999,0.9755310961170723
candle,top01,0.9751,0.9747457086687661
candle,top1,0.9758,0.9743021486894722
candle,top5,0.9702999999999999,0.9680379720164598
capsules,detector,0.9468333333333334,0.9725918821848262
capsules,map_max,0.9483333333333334,0.9730742810699053
capsules,top01,0.9491666666666667,0.9725841800240187
capsules,top1,0.9450000000000001,0.9688275694234145
capsules,top5,0.9231666666666667,0.9496212829533683
cashew,detector,0.976,0.9890793622967358
cashew,map_max,0.9776,0.9899213386596349
cashew,top01,0.9808000000000001,0.9912219365367909
cashew,top1,0.9818,0.9911349867142396
cashew,top5,0.981,0.9903250708165561
chewinggum,detector,0.9909999999999999,0.9960316881939906
chewinggum,map_max,0.9895999999999999,0.9955927517205713
chewinggum,top01,0.9904000000000001,0.9958744462726374
chewinggum,top1,0.9942,0.9973126345374052
chewinggum,top5,0.9962,0.998177075358518
fryum,detector,0.984,0.9919779086885728
fryum,map_max,0.9843999999999999,0.992047491186725
fryum,top01,0.9827999999999999,0.9912958055670875
fryum,top1,0.9846,0.9929221383020879
fryum,top5,0.986,0.9935277875656636
macaroni1,detector,0.9563999999999999,0.9504056665793419
macaroni1,map_max,0.9509,0.9427510687968987
macaroni1,top01,0.9474,0.9360686222879784
macaroni1,top1,0.9104,0.8859337324901975
macaroni1,top5,0.8375,0.8042961446875618
macaroni2,detector,0.8292,0.8272645759779061
macaroni2,map_max,0.8207,0.8214397773156374
macaroni2,top01,0.8058,0.808925707325256
macaroni2,top1,0.737,0.7207711387289895
macaroni2,top5,0.6802999999999999,0.62125900243577
pcb1,detector,0.9847999999999999,0.9849984935421512
pcb1,map_max,0.9872,0.9870973504633358
pcb1,top01,0.9874,0.9872231505843952
pcb1,top1,0.9861,0.9860586768439462
pcb1,top5,0.99,0.9902115883429512
pcb2,detector,0.9624999999999999,0.9688283370282473
pcb2,map_max,0.9624,0.969174849474403
pcb2,top01,0.9628,0.9693401788807113
pcb2,top1,0.9651,0.9674956360915754
pcb2,top5,0.9664,0.9679400054154681
pcb3,detector,0.985049504950495,0.9864242081134261
pcb3,map_max,0.9853465346534653,0.9866438182813267
pcb3,top01,0.9855445544554455,0.9867967792171886
pcb3,top1,0.9806930693069307,0.9807841425250765
pcb3,top5,0.9668316831683168,0.9653621890297106
pcb4,detector,0.9969306930693069,0.9966010519532534
pcb4,map_max,0.9974257425742574,0.9972618856319411
pcb4,top01,0.9977227722772277,0.9975956470462037
pcb4,top1,0.9993069306930693,0.9993339622641509
pcb4,top5,0.9985148514851485,0.9985610361706366
pipe_fryum,detector,0.999,0.9995153846153846
pipe_fryum,map_max,0.9995999999999999,0.9998009900990099
pipe_fryum,top01,0.9995999999999999,0.9998009900990099
pipe_fryum,top1,1.0,1.0
pipe_fryum,top5,0.9845999999999999,0.9919865638042866
