category,method,auroc,ap
candle,D_z,0.9734,0.9737000804531304
candle,linear_contrast,0.9708,0.9717557770463418
candle,linear,0.9328,0.9507976574608259
candle,mlp,0.9805,0.9826603980165953
capsules,D_z,0.9468333333333334,0.9725918821848262
capsules,linear_contrast,0.9523333333333334,0.9743679603617336
capsules,linear,0.949,0.9727864925679877
capsules,mlp,0.9503333333333333,0.9737752655969791
cashew,D_z,0.976,0.9890793622967358
cashew,linear_contrast,0.9703999999999999,0.9864700849789725
cashew,linear,0.9526,0.9787380237059774
cashew,mlp,0.9734,0.9874491061362296
chewinggum,D_z,0.9909999999999999,0.9960316881939906
chewinggum,linear_contrast,0.9892,0.9954075714354534
chewinggum,linear,0.9944,0.9974236625263805
chewinggum,mlp,0.9962,0.9981868881115643
fryum,D_z,0.984,0.9919779086885728
fryum,linear_contrast,0.9796,0.990147070126554
fryum,linear,0.9806,0.9908922623734202
fryum,mlp,0.9804,0.9908695189694905
macaroni1,D_z,0.9563999999999999,0.9504056665793419
macaroni1,linear_contrast,0.9714999999999999,0.969943621133519
macaroni1,linear,0.998,0.998124449791918
macaroni1,mlp,0.9998,0.9998009900990099
macaroni2,D_z,0.8292,0.8272645759779061
macaroni2,linear_contrast,0.8634000000000001,0.8646162818189463
macaroni2,linear,0.9652000000000001,0.9600321918931973
macaroni2,mlp,0.9801,0.9783457663085996
pcb1,D_z,0.9847999999999999,0.9849984935421512
pcb1,linear_contrast,0.9842000000000001,0.9847425066468788
pcb1,linear,0.9821,0.984766253600659
pcb1,mlp,0.9831,0.986019708287644
pcb2,D_z,0.9624999999999999,0.9688283370282473
pcb2,linear_contrast,0.9615,0.9684581551367153
pcb2,linear,0.9936999999999999,0.993583325097124
pcb2,mlp,0.9906,0.9905653219766096
pcb3,D_z,0.985049504950495,0.9864242081134261
pcb3,linear_contrast,0.9868316831683168,0.9882892006750553
pcb3,linear,0.9946534653465346,0.9944031641748292
pcb3,mlp,0.9903960396039604,0.9904620629185629
pcb4,D_z,0.9969306930693069,0.9966010519532534
pcb4,linear_contrast,0.9943564356435644,0.992333908524927
pcb4,linear,0.9932673267326733,0.9909139121346362
pcb4,mlp,0.9910891089108911,0.9874104996718929
pipe_fryum,D_z,0.999,0.9995153846153846
pipe_fryum,linear_contrast,0.997,0.9985178881129655
pipe_fryum,linear,0.9968,0.9985402219140083
pipe_fryum,mlp,0.9972000000000001,0.9986379066932086
