category,success,iterations,objective,max_gradient,message,l2
candle,True,25,0.31407448668604576,5.311322257548802e-08,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.001
capsules,True,24,0.31183550934675514,1.2181001089457515e-07,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.001
cashew,True,24,0.31441198915421564,1.0583727941618215e-07,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.001
chewinggum,True,24,0.3155751564072365,1.519350829800063e-07,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.001
fryum,True,24,0.30619824227544395,6.63024100741507e-08,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.001
macaroni1,True,26,0.3186070056030358,4.732432405121171e-08,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.001
macaroni2,True,23,0.32380963771709853,9.841186465612065e-08,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.001
pcb1,True,25,0.3110398856019661,3.7760181202097995e-08,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.001
pcb2,True,23,0.31466103775006393,4.065591697121566e-08,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.001
pcb3,True,25,0.3160921070146155,1.4513250625884698e-07,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.001
pcb4,True,22,0.3077133621648958,8.813860553718005e-08,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.001
pipe_fryum,True,25,0.31990738659448736,5.174666640442218e-08,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.001
