method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
linear_convex,linear,-0.0012487623762376238,-0.0032524889271809696,0.0006742263790017818,5,12,2000
full_42,linear_convex,0.007915236523652365,0.004477759700552185,0.011503935855279087,9,12,2000
full_42,map_42,0.017868261826182615,0.01237553919668632,0.023714532788161057,9,12,2000
full_42,response_42,0.019501072607260726,0.013695676526484402,0.026242203866713304,7,12,2000
full_123,linear_convex,0.006654125412541252,0.0034372805258851475,0.00995876546488418,8,12,2000
full_123,map_123,0.016568756875687568,0.011108591360464975,0.02248449664007754,7,12,2000
full_123,response_123,0.018239961496149613,0.012258692983168984,0.02486924189545299,5,12,2000
full_2026,linear_convex,0.00664015401540154,0.0034629344999110973,0.010010587483621257,7,12,2000
full_2026,map_2026,0.01649097909790979,0.011145789267593261,0.022296345303079758,7,12,2000
full_2026,response_2026,0.0182259900990099,0.012511914995756495,0.024870924338673817,6,12,2000
