category,method,auroc,ap
can,D512,0.5154320987654321,0.5872663847259421
can,linear_convex,0.6310185185185186,0.6967497958702071
can,response_42,0.5078703703703704,0.5829769394339664
can,response_123,0.5078703703703704,0.5829769394339664
can,response_2026,0.5078703703703704,0.5829769394339664
can,map_42,0.5216049382716049,0.5689303093176739
can,map_123,0.523611111111111,0.5698712455909956
can,map_2026,0.5266975308641976,0.5711237679099038
can,full_42,0.5679012345679013,0.6167452089594548
can,full_123,0.5560185185185185,0.5912219708048175
can,full_2026,0.5575617283950617,0.5910918838216099
fabric,D512,0.7856902356902357,0.8120076832795635
fabric,linear_convex,0.7787878787878788,0.8372639693132686
fabric,response_42,0.7681818181818182,0.8090883834505841
fabric,response_123,0.7681818181818182,0.8090883834505841
fabric,response_2026,0.7681818181818182,0.8090883834505841
fabric,map_42,0.7333333333333334,0.7809768585514136
fabric,map_123,0.7292929292929293,0.778407642049176
fabric,map_2026,0.7353535353535354,0.781059867100641
fabric,full_42,0.772895622895623,0.8182032871985374
fabric,full_123,0.7707070707070707,0.8206276117860014
fabric,full_2026,0.7742424242424243,0.8232379885333294
fruit_jelly,D512,0.9241666666666667,0.9749617300409257
fruit_jelly,linear_convex,0.8908333333333333,0.9556911667071653
fruit_jelly,response_42,0.9258333333333333,0.9750177773365853
fruit_jelly,response_123,0.9258333333333333,0.9750177773365853
fruit_jelly,response_2026,0.9258333333333333,0.9750177773365853
fruit_jelly,map_42,0.9583333333333334,0.9871536443474028
fruit_jelly,map_123,0.9525,0.9853285810261841
fruit_jelly,map_2026,0.9583333333333335,0.9872143706581291
fruit_jelly,full_42,0.9408333333333333,0.977479828807135
fruit_jelly,full_123,0.9425,0.9791386754356626
fruit_jelly,full_2026,0.9566666666666667,0.9842787903032109
rice,D512,0.6812169312169313,0.81991662444153
rice,linear_convex,0.6071428571428572,0.7836961933614885
rice,response_42,0.6941798941798942,0.8208877024055911
rice,response_123,0.6941798941798942,0.8208877024055911
rice,response_2026,0.6941798941798942,0.8208877024055911
rice,map_42,0.7227513227513228,0.8578689576733436
rice,map_123,0.7288359788359788,0.863234342740183
rice,map_2026,0.7198412698412698,0.8567847899125184
rice,full_42,0.5962962962962963,0.7852718826868386
rice,full_123,0.5814814814814814,0.7730037230239248
rice,full_2026,0.5748677248677249,0.7773798129165683
sheet_metal,D512,0.6532407407407408,0.8914405058310522
sheet_metal,linear_convex,0.6254629629629629,0.8790634913218349
sheet_metal,response_42,0.6541666666666666,0.8919455853701025
sheet_metal,response_123,0.6541666666666666,0.8919455853701025
sheet_metal,response_2026,0.6541666666666666,0.8919455853701025
sheet_metal,map_42,0.6546296296296297,0.8824825311153845
sheet_metal,map_123,0.6537037037037037,0.8825668338943529
sheet_metal,map_2026,0.6518518518518519,0.881875338110939
sheet_metal,full_42,0.6236111111111111,0.8766948927199543
sheet_metal,full_123,0.6240740740740739,0.8758121365560275
sheet_metal,full_2026,0.601388888888889,0.8763264944122288
vial,D512,0.868843537414966,0.9567267565366104
vial,linear_convex,0.6742857142857143,0.8636247060850972
vial,response_42,0.8906122448979593,0.9632881495027965
vial,response_123,0.8906122448979593,0.9632881495027965
vial,response_2026,0.8906122448979593,0.9632881495027965
vial,map_42,0.813877551020408,0.9240688971909945
vial,map_123,0.8024489795918368,0.9131214222166582
vial,map_2026,0.8146938775510204,0.9254289910653453
vial,full_42,0.7289795918367347,0.8869427346058159
vial,full_123,0.73578231292517,0.8905670909395602
vial,full_2026,0.7050340136054422,0.8725387038512311
wallplugs,D512,0.5625925925925926,0.6815126863081594
wallplugs,linear_convex,0.48944444444444446,0.6022323825987095
wallplugs,response_42,0.5675925925925925,0.6819225770839968
wallplugs,response_123,0.5675925925925925,0.6819225770839968
wallplugs,response_2026,0.5675925925925925,0.6819225770839968
wallplugs,map_42,0.5874074074074075,0.6899872950539184
wallplugs,map_123,0.5837037037037037,0.6883431791371575
wallplugs,map_2026,0.5837037037037037,0.68264547398027
wallplugs,full_42,0.522962962962963,0.6374770547933579
wallplugs,full_123,0.5325925925925926,0.6498484469705899
wallplugs,full_2026,0.5205555555555555,0.6398138266823974
walnuts,D512,0.8603703703703703,0.9160163649173206
walnuts,linear_convex,0.8772222222222223,0.9247733793592398
walnuts,response_42,0.8601851851851852,0.9165586742277354
walnuts,response_123,0.8601851851851852,0.9165586742277354
walnuts,response_2026,0.8601851851851852,0.9165586742277354
walnuts,map_42,0.8659259259259259,0.9254087953827347
walnuts,map_123,0.8646296296296297,0.9248777949996428
walnuts,map_2026,0.8655555555555556,0.9250480464509988
walnuts,full_42,0.8522222222222222,0.9110294573039194
walnuts,full_123,0.8675925925925926,0.9207332100192293
walnuts,full_2026,0.8511111111111112,0.9127534630152325
