method,auroc,ap
D_z,0.9654261276127613,0.9697848866355806
full_123,0.9831654290429043,0.98748502786672
full_2026,0.9831514576457646,0.9879336588203215
full_42,0.9844265401540154,0.9886819527321989
percentile_123,0.9762679592959295,0.9831012279450578
percentile_2026,0.9758744224422443,0.9829581171485134
percentile_42,0.9770623212321232,0.9838193826429434
robust_123,0.9771654840484049,0.9819993768271282
robust_2026,0.9777385588558856,0.9805722828251038
robust_42,0.9799026402640264,0.9832974383163796
