method,baseline,delta_macro_auroc,lower95,upper95,categories_improved
percentile_42,D512,-0.03426328191209144,-0.07070335512150988,0.0008783244147826776,2
percentile_42,map_42,-0.0350520654389702,-0.07095640092105865,0.001082873448200831,2
percentile_42,full_42,-0.0035319321331226065,-0.025096163770642936,0.018341263936129962,4
percentile_123,D512,-0.035861441798941796,-0.07202049996134817,0.00023777797103687585,2
percentile_123,map_123,-0.03425804960031151,-0.07057159642055476,0.003419871547103631,2
percentile_123,full_123,-0.0057608754781373825,-0.028769835185757802,0.01783201398193956,3
percentile_2026,D512,-0.03225324389014865,-0.06900637146693692,0.004321030600792445,2
percentile_2026,map_2026,-0.03281292946471518,-0.07100267842827367,0.005002691670102329,2
percentile_2026,full_2026,0.0065123886254838635,-0.017990757919329352,0.032988716351439566,3
robust_42,D512,-0.06449906519846996,-0.1116722917597174,-0.015037908134634351,3
robust_42,map_42,-0.06528784872534872,-0.1068797395010193,-0.022816909528963137,3
robust_42,full_42,-0.03376771541950113,-0.07021224235695965,0.003877848782610658,6
robust_123,D512,-0.05148017877184544,-0.09689144098295888,-0.006015214861197014,3
robust_123,map_123,-0.04987678657321515,-0.08890482041932936,-0.011882082767871538,3
robust_123,full_123,-0.021379612451041023,-0.05840662721317485,0.01185130947370529,5
robust_2026,D512,-0.017817503263931833,-0.04587355681961338,0.011057674069206802,3
robust_2026,map_2026,-0.018377188838498364,-0.040859902525825144,0.004581271365869573,3
robust_2026,full_2026,0.02094812925170068,-0.012088395648663515,0.05381921718603265,5
