category,method,variant,pair_accuracy,fraction_correct_to_wrong,fraction_wrong_to_correct,changed_pair_fraction
candle,D,brightness_0.9,0.98046875,0.0,0.0,0.0
candle,D,brightness_1.1,0.98046875,0.0,0.0,0.0
candle,D,contrast_0.9,0.98046875,0.0,0.0,0.0
candle,D,contrast_1.1,0.98046875,0.0,0.0,0.0
candle,D,identity,0.98046875,0.0,0.0,0.0
candle,MLP,brightness_0.9,1.0,0.0,0.0,0.0
candle,MLP,brightness_1.1,1.0,0.0,0.0,0.0
candle,MLP,contrast_0.9,1.0,0.0,0.0,0.0
candle,MLP,contrast_1.1,1.0,0.0,0.0,0.0
candle,MLP,identity,1.0,0.0,0.0,0.0
capsules,D,brightness_0.9,0.9609375,0.01171875,0.0,0.01171875
capsules,D,brightness_1.1,0.97265625,0.0,0.0,0.0
capsules,D,contrast_0.9,0.96484375,0.0078125,0.0,0.0078125
capsules,D,contrast_1.1,0.97265625,0.0,0.0,0.0
capsules,D,identity,0.97265625,0.0,0.0,0.0
capsules,MLP,brightness_0.9,0.98828125,0.0,0.0078125,0.0078125
capsules,MLP,brightness_1.1,0.98828125,0.0,0.0078125,0.0078125
capsules,MLP,contrast_0.9,0.984375,0.0,0.00390625,0.00390625
capsules,MLP,contrast_1.1,0.98046875,0.0,0.0,0.0
capsules,MLP,identity,0.98046875,0.0,0.0,0.0
cashew,D,brightness_0.9,0.984375,0.00390625,0.0,0.00390625
cashew,D,brightness_1.1,0.9921875,0.0078125,0.01171875,0.01953125
cashew,D,contrast_0.9,0.98046875,0.0078125,0.0,0.0078125
cashew,D,contrast_1.1,0.98828125,0.01171875,0.01171875,0.0234375
cashew,D,identity,0.98828125,0.0,0.0,0.0
cashew,MLP,brightness_0.9,0.984375,0.0,0.01171875,0.01171875
cashew,MLP,brightness_1.1,0.9765625,0.00390625,0.0078125,0.01171875
cashew,MLP,contrast_0.9,0.984375,0.0,0.01171875,0.01171875
cashew,MLP,contrast_1.1,0.984375,0.0,0.01171875,0.01171875
cashew,MLP,identity,0.97265625,0.0,0.0,0.0
