category,variant,relative_auroc_change
candle,brightness_0.9,0.0
capsules,brightness_0.9,0.01953125
cashew,brightness_0.9,0.015625
chewinggum,brightness_0.9,-0.015625
fryum,brightness_0.9,0.0
macaroni1,brightness_0.9,0.0
macaroni2,brightness_0.9,-0.00390625
pcb1,brightness_0.9,0.01171875
pcb2,brightness_0.9,0.0
pcb3,brightness_0.9,0.0
pcb4,brightness_0.9,-0.00390625
pipe_fryum,brightness_0.9,0.0
candle,brightness_1.1,0.0
capsules,brightness_1.1,0.0078125
cashew,brightness_1.1,0.0
chewinggum,brightness_1.1,-0.01953125
fryum,brightness_1.1,0.0078125
macaroni1,brightness_1.1,-0.01171875
macaroni2,brightness_1.1,0.0
pcb1,brightness_1.1,0.01953125
pcb2,brightness_1.1,0.0
pcb3,brightness_1.1,0.0
pcb4,brightness_1.1,0.0
pipe_fryum,brightness_1.1,0.0
candle,contrast_0.9,0.0
capsules,contrast_0.9,0.01171875
cashew,contrast_0.9,0.01953125
chewinggum,contrast_0.9,0.00390625
fryum,contrast_0.9,0.00390625
macaroni1,contrast_0.9,0.0078125
macaroni2,contrast_0.9,0.00390625
pcb1,contrast_0.9,0.0078125
pcb2,contrast_0.9,0.0
pcb3,contrast_0.9,0.0
pcb4,contrast_0.9,-0.00390625
pipe_fryum,contrast_0.9,0.0
candle,contrast_1.1,0.0
capsules,contrast_1.1,0.0
cashew,contrast_1.1,0.01171875
chewinggum,contrast_1.1,-0.03125
fryum,contrast_1.1,-0.00390625
macaroni1,contrast_1.1,0.0
macaroni2,contrast_1.1,0.0
pcb1,contrast_1.1,-0.015625
pcb2,contrast_1.1,0.0
pcb3,contrast_1.1,0.00390625
pcb4,contrast_1.1,0.0
pipe_fryum,contrast_1.1,0.0
