category,bin,lower,upper,positive_pixels,negative_pixels,positive_images,negative_images,supported,response_auc,mlp_auc,mlp_minus_response
candle,0,-inf,-4.922495365142822,0,0,0,0,False,,,
candle,1,-4.922495365142822,-2.9311275482177734,1,2742,1,200,False,,,
candle,2,-2.9311275482177734,-2.36517493724823,13,2675,4,200,False,,,
candle,3,-2.36517493724823,-2.1671949148178102,11,385,7,163,True,0.5832853386753476,0.7690987437919952,0.18581340511664757
candle,4,-2.1671949148178102,-1.599890049695968,45,1132,19,182,True,0.6487121970813006,0.8247990039880926,0.17608680690679201
candle,5,-1.599890049695968,0.12156932801008224,464,3888,42,194,True,0.6784961574292838,0.8150709289205897,0.13657477149130592
candle,6,0.12156932801008224,inf,2406,1978,97,112,True,0.7885581503551089,0.9184909478241281,0.1299327974690192
capsules,0,-inf,-10.56394100189209,0,2,0,2,False,,,
capsules,1,-10.56394100189209,-4.798060178756714,0,2311,0,160,False,,,
capsules,2,-4.798060178756714,-3.543686079978942,8,2080,4,160,False,,,
capsules,3,-3.543686079978942,-3.190399992465973,3,266,3,129,False,,,
capsules,4,-3.190399992465973,-2.3957387948036177,66,904,10,146,True,0.6728777835072656,0.766241162235977,0.09336337872871148
capsules,5,-2.3957387948036177,2.2312989234924316,1392,4476,92,160,True,0.8527799668446623,0.8599990379761828,0.007219071131520538
capsules,6,2.2312989234924316,inf,1698,201,76,27,True,0.7285346890481006,0.8092853131930074,0.08075062414490686
cashew,0,-inf,-8.142333984375,0,1,0,1,False,,,
cashew,1,-8.142333984375,-3.923627257347107,1,1663,1,150,False,,,
cashew,2,-3.923627257347107,-2.810624980926513,58,2103,11,150,True,0.6248578589695584,0.9474591667872364,0.32260130781767804
cashew,3,-2.810624980926513,-2.4521937370300293,38,429,14,138,True,0.5672204832013322,0.9141152833919398,0.3468948001906076
cashew,4,-2.4521937370300293,-1.5354596197605128,118,1461,27,148,True,0.647053178967031,0.9145933408472313,0.26754016188020036
cashew,5,-1.5354596197605128,3.3619537353515625,1374,3353,74,145,True,0.7375110338370914,0.9090499730545577,0.17153893921746632
cashew,6,3.3619537353515625,inf,1564,589,66,52,True,0.7498939214623241,0.9395482943517699,0.18965437288944575
chewinggum,0,-inf,-13.692892074584961,0,0,0,0,False,,,
chewinggum,1,-13.692892074584961,-6.3547680377960205,0,2023,0,148,False,,,
chewinggum,2,-6.3547680377960205,-4.261116218566894,48,2000,6,150,True,0.7344406673287363,0.93847302663884,0.20403235931010377
chewinggum,3,-4.261116218566894,-3.7081413269042973,34,331,7,124,True,0.3789743876941453,0.93363838142784,0.5546639937336946
chewinggum,4,-3.7081413269042973,-2.729434640407562,21,716,12,130,True,0.5976643626942771,0.8967410237187239,0.29907666102444674
chewinggum,5,-2.729434640407562,-0.35203060507774353,117,1622,19,126,True,0.6801468950029232,0.9407766314017088,0.2606297363987855
chewinggum,6,-0.35203060507774353,inf,2980,2908,97,109,True,0.9118513536644755,0.9538465601214301,0.04199520645695465
fryum,0,-inf,-9.882662773132324,0,1,0,1,False,,,
fryum,1,-9.882662773132324,-5.249303579330444,0,1801,0,150,False,,,
fryum,2,-5.249303579330444,-3.483046293258666,64,2083,23,150,True,0.8507890533112505,0.9564643529995518,0.10567529968830125
fryum,3,-3.483046293258666,-2.960871422290802,96,296,25,129,True,0.5820684649053416,0.7259662096363091,0.1438977447309675
fryum,4,-2.960871422290802,-2.0437618255615226,243,781,36,137,True,0.587049610537004,0.7035015264384038,0.1164519159013998
fryum,5,-2.0437618255615226,-0.011816002428531647,547,2091,59,136,True,0.5425603388649624,0.715336334181731,0.17277599531676868
fryum,6,-0.011816002428531647,inf,2150,2547,92,109,True,0.7190098744404516,0.9003923970663961,0.18138252262594445
macaroni1,0,-inf,-4.038167953491211,0,2,0,2,False,,,
macaroni1,1,-4.038167953491211,-2.106982111930847,0,2676,0,200,False,,,
macaroni1,2,-2.106982111930847,-1.6298861265182494,4,2774,3,200,False,,,
macaroni1,3,-1.6298861265182494,-1.4622121393680572,12,445,8,163,True,0.680555434879332,0.9906995569188821,0.3101441220395501
macaroni1,4,-1.4622121393680572,-0.9133492130041122,106,1664,24,189,True,0.6714030771406101,0.9675744936316901,0.29617141649108003
macaroni1,5,-0.9133492130041122,0.7872010469436646,1144,4736,73,193,True,0.7823349082238722,0.9742242311866586,0.19188932296278638
macaroni1,6,0.7872010469436646,inf,1917,502,80,67,True,0.7436306988768165,0.9885708994536115,0.244940200576795
macaroni2,0,-inf,-6.878812789916992,0,0,0,0,False,,,
macaroni2,1,-6.878812789916992,-2.876396656036377,2,2722,1,200,False,,,
macaroni2,2,-2.876396656036377,-2.2861978769302365,23,2644,7,200,True,0.6716139888792998,0.976095408131457,0.3044814192521572
macaroni2,3,-2.2861978769302365,-2.037640452384949,20,481,9,176,True,0.6701284296336378,0.9836629439233606,0.3135345142897228
macaroni2,4,-2.037640452384949,-1.2191599071025845,179,1979,33,191,True,0.5626177590625678,0.9570049582843059,0.39438719922173804
macaroni2,5,-1.2191599071025845,1.156679630279541,1567,4768,80,197,True,0.7725841378332724,0.9759629763048631,0.20337883847159066
macaroni2,6,1.156679630279541,inf,1383,206,59,36,True,0.7221450143767354,0.9809861015018738,0.2588410871251384
pcb1,0,-inf,-7.150000095367432,0,11,0,9,False,,,
pcb1,1,-7.150000095367432,-4.252902984619141,31,2791,3,200,False,,,
pcb1,2,-4.252902984619141,-3.3696480035781855,31,2449,4,200,False,,,
pcb1,3,-3.3696480035781855,-3.0055164575576785,21,509,3,171,False,,,
pcb1,4,-3.0055164575576785,-2.0343533039093,43,1678,13,182,True,0.50691813227169,0.5973994801993359,0.09048134792764584
pcb1,5,-2.0343533039093,3.8700668811798096,822,4993,84,195,True,0.8672491782692746,0.8308797776115014,-0.036369400657773165
pcb1,6,3.8700668811798096,inf,2252,369,93,47,True,0.7202179787865826,0.9138276806343504,0.19360970184776782
pcb2,0,-inf,-5.8233771324157715,0,0,0,0,False,,,
pcb2,1,-5.8233771324157715,-3.696660876274109,5,2601,2,200,False,,,
pcb2,2,-3.696660876274109,-2.9692028522491456,35,2683,4,200,False,,,
pcb2,3,-2.9692028522491456,-2.6795639872550967,17,463,5,174,True,0.5619876195689005,0.5756977871608415,0.013710167591940992
pcb2,4,-2.6795639872550967,-1.722193633317947,115,1488,20,188,True,0.5873544570390585,0.7589081180052905,0.17155366096623192
pcb2,5,-1.722193633317947,0.3836994469165802,476,4031,65,193,True,0.694349821451691,0.8530615771261343,0.1587117556744433
pcb2,6,0.3836994469165802,inf,2552,1533,95,101,True,0.8006148494873973,0.9212198624149526,0.12060501292755532
pcb3,0,-inf,-8.549662590026855,0,2,0,2,False,,,
pcb3,1,-8.549662590026855,-4.5074782371521,10,2587,3,201,False,,,
pcb3,2,-4.5074782371521,-3.4754345655441283,27,2730,9,201,True,0.6633958983467652,0.8888938600477923,0.2254979617010271
pcb3,3,-3.4754345655441283,-3.0817959308624268,23,405,10,168,True,0.6090400942122882,0.8725489957887917,0.26350890157650353
pcb3,4,-3.0817959308624268,-1.9514413440227505,75,1528,22,192,True,0.5560195203027214,0.8330308173280845,0.2770112970253631
pcb3,5,-1.9514413440227505,1.3055020570755005,738,4294,72,197,True,0.7101601931512022,0.881092504153207,0.1709323110020048
pcb3,6,1.3055020570755005,inf,2327,1318,92,84,True,0.7563180456472327,0.9092049868707436,0.15288694122351087
pcb4,0,-inf,-6.539583683013916,0,1,0,1,False,,,
pcb4,1,-6.539583683013916,-3.4002376794815063,0,2397,0,200,False,,,
pcb4,2,-3.4002376794815063,-2.6425457715988157,7,2621,4,201,False,,,
pcb4,3,-2.6425457715988157,-2.3461625218391418,16,453,10,178,True,0.6378317281968966,0.982463215623328,0.34463148742643135
pcb4,4,-2.3461625218391418,-1.7398353683948504,49,1334,24,187,True,0.5799706578018126,0.9358450595707095,0.35587440176889695
pcb4,5,-1.7398353683948504,0.7206652760505676,542,3291,59,195,True,0.7174966647052602,0.7852716498605798,0.06777498515531966
pcb4,6,0.7206652760505676,inf,2586,2766,100,118,True,0.8014251237767548,0.804648310728443,0.0032231869516882172
pipe_fryum,0,-inf,-6.643245697021484,0,1,0,1,False,,,
pipe_fryum,1,-6.643245697021484,-3.880479574203491,0,2019,0,150,False,,,
pipe_fryum,2,-3.880479574203491,-2.9236157178878783,0,2003,0,150,False,,,
pipe_fryum,3,-2.9236157178878783,-2.4719323992729185,5,283,4,126,False,,,
pipe_fryum,4,-2.4719323992729185,-1.5768416023254395,18,572,11,129,True,0.6648043049917918,0.9694908219055633,0.3046865169137716
