category,caliper,images,images_with_matches,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
candle,0.01,100,91,0.5164109848484848,0.0045637935400009155,0.019757185314797376,0.49112166529828377,0.8441711613437631
candle,0.05,100,91,0.5488541666666666,0.0045637935400009155,0.030530272719388286,0.4963435740261288,0.8389541834265322
candle,0.1,100,93,0.5675662878787879,0.0045637935400009155,0.051010409657880534,0.5231834060402327,0.8472282681413876
capsules,0.01,100,81,0.35100000000000003,1.160265326499939,0.01655552102316057,0.4297920792926977,0.7238263825391545
capsules,0.05,100,82,0.3785,1.160265326499939,0.029637206396103222,0.46132589349659475,0.7165551849799913
capsules,0.1,100,84,0.387125,1.160265326499939,0.04310717711715611,0.49307065297450337,0.708792469242499
cashew,0.01,100,89,0.45026851173020527,0.19369922578334808,0.021382110657856543,0.5324377826090609,0.8374364123250662
cashew,0.05,100,90,0.49148185483870965,0.19369922578334808,0.03904417186944124,0.5228990513417456,0.8414888535936673
cashew,0.1,100,90,0.5043245967741935,0.19369922578334808,0.05319509282029202,0.5350317489769724,0.8370198549495803
chewinggum,0.01,100,77,0.256875,2.971769332885742,0.007817245520715213,0.47656162683065834,0.7516084257271383
chewinggum,0.05,100,81,0.3178125,2.971769332885742,0.015088077814700814,0.5172748313641843,0.7600776876932309
chewinggum,0.1,100,81,0.3284375,2.971769332885742,0.022552830834500184,0.5133547552941758,0.7547024293446246
fryum,0.01,100,96,0.6495553959131546,0.0014472156763076782,0.014482831077922776,0.50661692644159,0.8143454050490012
fryum,0.05,100,97,0.7008053959131546,0.0014472156763076782,0.024922762070813675,0.5098239653503772,0.8245107944017833
fryum,0.1,100,97,0.7111178959131546,0.0014472156763076782,0.03722004883109236,0.5151513919387896,0.8256392550376273
macaroni1,0.01,100,80,0.4518878367003367,0.3202824592590332,0.02116881050425175,0.5114407392218709,0.9462867889553308
macaroni1,0.05,100,81,0.47864478114478115,0.3202824592590332,0.04769407391399607,0.5447896106375588,0.9465986841622694
macaroni1,0.1,100,83,0.48847432659932655,0.3202824592590332,0.06810612855302789,0.5642286761697516,0.9488791399691479
macaroni2,0.01,100,81,0.4149976851851852,0.3328993171453476,0.020654162266362706,0.5070851110381844,0.918807858026322
macaroni2,0.05,100,82,0.44618749999999996,0.3328993171453476,0.04950009965585258,0.5341404338435429,0.91958081413333
macaroni2,0.1,100,84,0.4624375,0.3328993171453476,0.08018661361678273,0.5650495858419509,0.9219452165776775
pcb1,0.01,100,84,0.3153125,1.7588310241699219,0.007542746365857132,0.5052700933246386,0.7223160972463942
pcb1,0.05,100,84,0.361875,1.7588310241699219,0.01991879113727853,0.4912093467123452,0.7380784040405637
pcb1,0.1,100,85,0.3721875,1.7588310241699219,0.02493978283060418,0.49901978873154695,0.7443024751018076
pcb2,0.01,100,96,0.4590625,0.25382888317108154,0.014284034472126244,0.5322393605796,0.82683598001798
pcb2,0.05,100,97,0.4965625,0.25382888317108154,0.023987690038092837,0.5393733250111649,0.8278558088332107
pcb2,0.1,100,97,0.5053125,0.25382888317108154,0.02960335201666212,0.5478590262919357,0.823390260185163
pcb3,0.01,100,95,0.441875,0.4849088490009308,0.011639081678555362,0.5234422230406811,0.79295737319871
pcb3,0.05,100,96,0.483125,0.4849088490009308,0.02543667687015705,0.5364922373555601,0.8005083375998462
pcb3,0.1,100,97,0.49375,0.4849088490009308,0.030230989064342666,0.5387075397464418,0.8023768085026249
pcb4,0.01,100,95,0.56875,0.0018587112426757812,0.009743558014882877,0.4795460167684053,0.6795796451599975
pcb4,0.05,100,97,0.5984375,0.0018587112426757812,0.017467642755434727,0.47299626308310894,0.662213306989252
pcb4,0.1,100,97,0.604375,0.0018587112426757812,0.024645365964055505,0.4889148814008408,0.6653525230964434
pipe_fryum,0.01,100,82,0.350625,0.8797694444656372,0.015423237062002958,0.5439974976385512,0.8702363404558926
pipe_fryum,0.05,100,84,0.41125,0.8797694444656372,0.03754865182867005,0.5502737203524226,0.8742677411507993
pipe_fryum,0.1,100,86,0.4234375,0.8797694444656372,0.05218758467954364,0.5694415087616721,0.8800493127038312
