category,image_id,caliper,positive_count,matched_count,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
candle,02bd8d596731ab3417010866,0.01,32,19,0.59375,0.001934051513671875,0.0,0.5789473652839661,0.9473684430122375
candle,02bd8d596731ab3417010866,0.05,32,20,0.625,0.001934051513671875,0.0,0.6000000238418579,0.949999988079071
candle,02bd8d596731ab3417010866,0.1,32,20,0.625,0.001934051513671875,0.0,0.6000000238418579,0.949999988079071
candle,0337f49d30789e965adb6aa3,0.01,32,32,1.0,0.0009126663208007812,0.0625,0.5,0.84375
candle,0337f49d30789e965adb6aa3,0.05,32,32,1.0,0.0009126663208007812,0.0625,0.5,0.84375
candle,0337f49d30789e965adb6aa3,0.1,32,32,1.0,0.0009126663208007812,0.0625,0.5,0.84375
candle,04c7bc4c4d076ed304e64942,0.01,32,11,0.34375,1.7031989097595215,0.0,0.4545454680919647,0.9090909361839294
candle,04c7bc4c4d076ed304e64942,0.05,32,11,0.34375,1.7031989097595215,0.0,0.4545454680919647,0.9090909361839294
candle,04c7bc4c4d076ed304e64942,0.1,32,11,0.34375,1.7031989097595215,0.0,0.4545454680919647,0.9090909361839294
candle,127520589c1faaae9b19ec3c,0.01,32,18,0.5625,0.002329707145690918,0.0,0.6111111044883728,1.0
candle,127520589c1faaae9b19ec3c,0.05,32,19,0.59375,0.002329707145690918,0.0,0.6315789222717285,1.0
candle,127520589c1faaae9b19ec3c,0.1,32,20,0.625,0.002329707145690918,0.050000000000000044,0.6499999761581421,1.0
candle,1465cbb36ac902b4140e4c1d,0.01,32,8,0.25,0.09154117107391357,0.0,0.5,1.0
candle,1465cbb36ac902b4140e4c1d,0.05,32,14,0.4375,0.09154117107391357,0.2142857142857143,0.4285714328289032,1.0
candle,1465cbb36ac902b4140e4c1d,0.1,32,16,0.5,0.09154117107391357,0.3125,0.5,1.0
candle,15d1b4999c94ed929aba6f73,0.01,32,8,0.25,0.40607213973999023,0.0,0.375,0.875
candle,15d1b4999c94ed929aba6f73,0.05,32,11,0.34375,0.40607213973999023,0.09090909090909094,0.4545454680919647,0.9090909361839294
candle,15d1b4999c94ed929aba6f73,0.1,32,12,0.375,0.40607213973999023,0.16666666666666663,0.5,0.9166666865348816
candle,16371c78eea616c440a3b728,0.01,32,23,0.71875,0.0004967376589775085,0.0,0.6521739363670349,0.95652174949646
candle,16371c78eea616c440a3b728,0.05,32,23,0.71875,0.0004967376589775085,0.0,0.6521739363670349,0.95652174949646
candle,16371c78eea616c440a3b728,0.1,32,23,0.71875,0.0004967376589775085,0.0,0.6521739363670349,0.95652174949646
candle,164a61895f124d74a7c4405b,0.01,32,13,0.40625,0.35986900329589844,0.0,0.692307710647583,0.0
candle,164a61895f124d74a7c4405b,0.05,32,14,0.4375,0.35986900329589844,0.0,0.6428571343421936,0.0
candle,164a61895f124d74a7c4405b,0.1,32,14,0.4375,0.35986900329589844,0.0,0.6428571343421936,0.0
candle,1957eccd65cb87cda25c940f,0.01,32,20,0.625,0.001978635787963867,0.0,0.6000000238418579,1.0
candle,1957eccd65cb87cda25c940f,0.05,32,24,0.75,0.001978635787963867,0.08333333333333337,0.5833333134651184,1.0
candle,1957eccd65cb87cda25c940f,0.1,32,25,0.78125,0.001978635787963867,0.12,0.6000000238418579,1.0
candle,1ba5359ad13a8a9089d50cb2,0.01,32,26,0.8125,0.0014379024505615234,0.0,0.6538461446762085,0.9230769276618958
candle,1ba5359ad13a8a9089d50cb2,0.05,32,26,0.8125,0.0014379024505615234,0.0,0.6538461446762085,0.9230769276618958
candle,1ba5359ad13a8a9089d50cb2,0.1,32,26,0.8125,0.0014379024505615234,0.0,0.6538461446762085,0.9230769276618958
candle,23e908cb5ae2243950b9b570,0.01,32,12,0.375,0.5671399831771851,0.0,0.4166666567325592,1.0
candle,23e908cb5ae2243950b9b570,0.05,32,14,0.4375,0.5671399831771851,0.0,0.5,1.0
candle,23e908cb5ae2243950b9b570,0.1,32,14,0.4375,0.5671399831771851,0.0,0.5,1.0
candle,25f27de6af83355048803af0,0.01,32,9,0.28125,0.6967971324920654,0.0,0.7777777910232544,0.8888888955116272
candle,25f27de6af83355048803af0,0.05,32,10,0.3125,0.6967971324920654,0.0,0.800000011920929,0.8999999761581421
candle,25f27de6af83355048803af0,0.1,32,12,0.375,0.6967971324920654,0.16666666666666663,0.8333333134651184,0.9166666865348816
candle,2848f0f0cce91ec34d541f46,0.01,32,20,0.625,0.0006637126207351685,0.0,0.42500001192092896,0.949999988079071
candle,2848f0f0cce91ec34d541f46,0.05,32,22,0.6875,0.0006637126207351685,0.045454545454545414,0.47727271914482117,0.9545454382896423
candle,2848f0f0cce91ec34d541f46,0.1,32,22,0.6875,0.0006637126207351685,0.045454545454545414,0.47727271914482117,0.9545454382896423
candle,28858dc685de10032ea5c704,0.01,32,32,1.0,0.0003474131226539612,0.0,0.6875,0.96875
candle,28858dc685de10032ea5c704,0.05,32,32,1.0,0.0003474131226539612,0.0,0.6875,0.96875
candle,28858dc685de10032ea5c704,0.1,32,32,1.0,0.0003474131226539612,0.0,0.6875,0.96875
