category,caliper,matched_fraction,supported_fraction_all_positives,map_nn,appearance_nn,joint_nn,conditional_appearance,map_nn_supported,appearance_nn_supported,joint_nn_supported,conditional_appearance_supported
candle,0.01,0.5164109848484848,0.036830357142857144,0.6294818668829574,0.8250187019420476,0.5650629256559765,0.5334427036590629,0.5662946428571428,0.7422123015873016,0.9396329365079366,0.8108134940266609
candle,0.05,0.5488541666666666,0.037455357142857144,0.6280552215928156,0.8196083217876633,0.5582472747027477,0.5255124946380709,0.56796875,0.7366319444444445,0.9401909722222223,0.8113715313374996
candle,0.1,0.5675662878787879,0.038392857142857145,0.6291998108963934,0.8228203294256824,0.5473507449790581,0.5132272331624903,0.5656818977591036,0.735078197945845,0.9314921802054155,0.8145775012671947
capsules,0.01,0.35100000000000003,0.07107264957264957,0.6364881447801198,0.5409180926958805,0.6165144109336721,0.47117899220298837,0.5716043447293447,0.5178931228236784,0.46926123773345996,0.5499042442275418
capsules,0.05,0.3785,0.07169764957264957,0.6301915026457258,0.5491589183663791,0.5987526984388739,0.4745742964399297,0.5771599002849003,0.5135721351693574,0.4704958056346945,0.5511388103995059
capsules,0.1,0.387125,0.07232264957264957,0.6282127042863023,0.5499887468838418,0.5942379705111103,0.47701666903282913,0.5841043447293447,0.5112573203545426,0.46586617600506486,0.5465091818736659
cashew,0.01,0.45026851173020527,0.10870065789473685,0.4913567983967109,0.7272028619108725,0.679757633549419,0.7365037839064438,0.5467921192419264,0.7264501351382358,0.8366329568772642,0.815699560988334
cashew,0.05,0.49148185483870965,0.11057565789473685,0.48345028161802994,0.7305628866644268,0.6749762648042507,0.7425259664654732,0.5469211344919095,0.7256414679989235,0.8378854678071945,0.8152623628416369
cashew,0.1,0.5043245967741935,0.11151315789473686,0.4840580309885919,0.7278062716972062,0.6715646038029593,0.7449231215649181,0.5483874101517334,0.723295426943205,0.8376899643858847,0.8164353822508166
chewinggum,0.01,0.256875,0.0471875,0.32624357569914514,0.8333784094894883,0.36959234524943435,0.39324047716407035,0.51892258382643,0.957051282051282,0.9802884615384616,0.9614275143696711
chewinggum,0.05,0.3178125,0.0471875,0.3489758776786997,0.8410023827635285,0.3735723379578256,0.37716956105497146,0.51892258382643,0.957051282051282,0.9802884615384616,0.9614275143696711
