category,method,auroc,ap
candle,center_nn,0.91015625,0.91605377563258
candle,context_matched_center,0.84375,0.8483606027923484
candle,same_position,0.9296875,0.9412018794758732
candle,shuffled_correspondence,0.359375,0.4493319487314929
candle,D_z,0.98046875,0.9789786347231201
capsules,center_nn,0.84375,0.8920855724735035
capsules,context_matched_center,0.80078125,0.8463820536188957
capsules,same_position,0.5078125,0.5186500059080703
capsules,shuffled_correspondence,0.68359375,0.6994160237976519
capsules,D_z,0.97265625,0.9790482954545454
cashew,center_nn,0.7890625,0.8568461275884045
cashew,context_matched_center,0.72265625,0.8146230271018047
cashew,same_position,0.6640625,0.6778124378981234
cashew,shuffled_correspondence,0.72265625,0.7684252553002553
cashew,D_z,0.98828125,0.9891493055555556
chewinggum,center_nn,1.0,1.0
chewinggum,context_matched_center,1.0,1.0
chewinggum,same_position,0.984375,0.9849826388888889
chewinggum,shuffled_correspondence,0.265625,0.4699005468758266
chewinggum,D_z,0.97265625,0.9809782608695652
fryum,center_nn,0.9140625,0.9006722821260865
fryum,context_matched_center,0.85546875,0.8441899093553505
fryum,same_position,0.6015625,0.6183841568750792
fryum,shuffled_correspondence,0.671875,0.6943817200421895
fryum,D_z,0.98828125,0.9891493055555556
macaroni1,center_nn,0.859375,0.8561502371420849
macaroni1,context_matched_center,0.8515625,0.8810383004676483
macaroni1,same_position,0.8359375,0.823841507756949
macaroni1,shuffled_correspondence,0.3984375,0.49838501824651893
macaroni1,D_z,0.9609375,0.9577279848419554
macaroni2,center_nn,0.37890625,0.4473264647024901
macaroni2,context_matched_center,0.2734375,0.39675946186014344
macaroni2,same_position,0.484375,0.46638168470956365
macaroni2,shuffled_correspondence,0.453125,0.5604812754168016
macaroni2,D_z,0.765625,0.7744779563071897
pcb1,center_nn,0.859375,0.8284620783828913
pcb1,context_matched_center,0.83984375,0.801158487141943
pcb1,same_position,0.6953125,0.6332444678429585
pcb1,shuffled_correspondence,0.1796875,0.365119638853119
pcb1,D_z,0.9453125,0.935877056970807
pcb2,center_nn,0.78125,0.6844689011968423
pcb2,context_matched_center,0.76171875,0.6794956437779328
pcb2,same_position,0.7890625,0.7445161931399353
pcb2,shuffled_correspondence,0.4296875,0.44578717842259397
pcb2,D_z,0.99609375,0.9963235294117647
pcb3,center_nn,0.7265625,0.7299315654675562
pcb3,context_matched_center,0.61328125,0.666376064441795
pcb3,same_position,0.59765625,0.6759139647198146
pcb3,shuffled_correspondence,0.49609375,0.5414517755411754
pcb3,D_z,0.98828125,0.9901315789473684
pcb4,center_nn,0.97265625,0.9680884832079686
pcb4,context_matched_center,0.95703125,0.9553861160769056
pcb4,same_position,0.95703125,0.9381529673349526
pcb4,shuffled_correspondence,0.50390625,0.542230673069024
pcb4,D_z,1.0,1.0
pipe_fryum,center_nn,0.9765625,0.977890114379085
pipe_fryum,context_matched_center,0.9375,0.9361263929568883
pipe_fryum,same_position,0.90234375,0.9078794880192906
pipe_fryum,shuffled_correspondence,0.47265625,0.5069281467576782
pipe_fryum,D_z,1.0,1.0
