category,A,B,n,A_FP,A_FN,A_TP,A_TN,FP_corrected_by_B,FN_recovered_by_B,TP_harmed_by_B,TN_harmed_by_B,shared_FP,shared_FN
ALL,D256,D512,1084,337,32,673,42,62,22,22,21,275,10
can,D256,D512,162,69,4,86,3,0,2,2,2,69,2
fabric,D256,D512,156,55,4,86,11,16,3,3,4,39,1
fruit_jelly,D256,D512,80,16,3,57,4,8,3,3,0,8,0
rice,D256,D512,132,38,4,86,4,8,3,3,3,30,1
sheet_metal,D256,D512,114,22,4,86,2,2,2,2,1,20,2
vial,D256,D512,140,19,5,100,16,5,5,5,11,14,0
wallplugs,D256,D512,150,60,4,86,0,6,1,1,0,54,3
walnuts,D256,D512,150,58,4,86,2,17,3,3,0,41,1
ALL,D256,dino_top1,1084,337,32,673,42,47,28,28,20,290,4
can,D256,dino_top1,162,69,4,86,3,0,2,2,2,69,2
fabric,D256,dino_top1,156,55,4,86,11,1,4,4,8,54,0
fruit_jelly,D256,dino_top1,80,16,3,57,4,1,3,3,4,15,0
rice,D256,dino_top1,132,38,4,86,4,11,4,4,1,27,0
sheet_metal,D256,dino_top1,114,22,4,86,2,7,4,4,0,15,0
vial,D256,dino_top1,140,19,5,100,16,10,3,3,5,9,2
wallplugs,D256,dino_top1,150,60,4,86,0,0,4,4,0,60,0
walnuts,D256,dino_top1,150,58,4,86,2,17,4,4,0,41,0
ALL,D256,dino_max,1084,337,32,673,42,50,31,31,25,287,1
can,D256,dino_max,162,69,4,86,3,7,3,3,3,62,1
fabric,D256,dino_max,156,55,4,86,11,1,4,4,7,54,0
fruit_jelly,D256,dino_max,80,16,3,57,4,1,3,3,4,15,0
rice,D256,dino_max,132,38,4,86,4,4,4,4,4,34,0
sheet_metal,D256,dino_max,114,22,4,86,2,8,4,4,1,14,0
vial,D256,dino_max,140,19,5,100,16,14,5,5,5,5,0
wallplugs,D256,dino_max,150,60,4,86,0,0,4,4,0,60,0
walnuts,D256,dino_max,150,58,4,86,2,15,4,4,1,43,0
ALL,D512,D256,1084,296,32,673,83,21,22,22,62,275,10
can,D512,D256,162,71,4,86,1,2,2,2,0,69,2
fabric,D512,D256,156,43,4,86,23,4,3,3,16,39,1
fruit_jelly,D512,D256,80,8,3,57,12,0,3,3,8,8,0
rice,D512,D256,132,33,4,86,9,3,3,3,8,30,1
sheet_metal,D512,D256,114,21,4,86,3,1,2,2,2,20,2
vial,D512,D256,140,25,5,100,10,11,5,5,5,14,0
wallplugs,D512,D256,150,54,4,86,6,0,1,1,6,54,3
walnuts,D512,D256,150,41,4,86,19,0,3,3,17,41,1
ALL,D512,dino_top1,1084,296,32,673,83,33,25,25,47,263,7
can,D512,dino_top1,162,71,4,86,1,1,3,3,1,70,1
fabric,D512,dino_top1,156,43,4,86,23,0,1,1,19,43,3
fruit_jelly,D512,dino_top1,80,8,3,57,12,0,3,3,11,8,0
rice,D512,dino_top1,132,33,4,86,9,5,4,4,0,28,0
sheet_metal,D512,dino_top1,114,21,4,86,3,6,4,4,0,15,0
vial,D512,dino_top1,140,25,5,100,10,15,3,3,4,10,2
wallplugs,D512,dino_top1,150,54,4,86,6,0,4,4,6,54,0
walnuts,D512,dino_top1,150,41,4,86,19,6,3,3,6,35,1
ALL,D512,dino_max,1084,296,32,673,83,43,28,28,59,253,4
can,D512,dino_max,162,71,4,86,1,7,4,4,1,64,0
fabric,D512,dino_max,156,43,4,86,23,1,2,2,19,42,2
fruit_jelly,D512,dino_max,80,8,3,57,12,0,3,3,11,8,0
rice,D512,dino_max,132,33,4,86,9,4,4,4,9,29,0
sheet_metal,D512,dino_max,114,21,4,86,3,6,4,4,0,15,0
vial,D512,dino_max,140,25,5,100,10,18,3,3,3,7,2
wallplugs,D512,dino_max,150,54,4,86,6,0,4,4,6,54,0
walnuts,D512,dino_max,150,41,4,86,19,7,4,4,10,34,0
ALL,dino_top1,D256,1084,310,32,673,69,20,28,28,47,290,4
can,dino_top1,D256,162,71,4,86,1,2,2,2,0,69,2
fabric,dino_top1,D256,156,62,4,86,4,8,4,4,1,54,0
fruit_jelly,dino_top1,D256,80,19,3,57,1,4,3,3,1,15,0
rice,dino_top1,D256,132,28,4,86,14,1,4,4,11,27,0
sheet_metal,dino_top1,D256,114,15,4,86,9,0,4,4,7,15,0
vial,dino_top1,D256,140,14,5,100,21,5,3,3,10,9,2
wallplugs,dino_top1,D256,150,60,4,86,0,0,4,4,0,60,0
walnuts,dino_top1,D256,150,41,4,86,19,0,4,4,17,41,0
ALL,dino_top1,D512,1084,310,32,673,69,47,25,25,33,263,7
can,dino_top1,D512,162,71,4,86,1,1,3,3,1,70,1
fabric,dino_top1,D512,156,62,4,86,4,19,1,1,0,43,3
fruit_jelly,dino_top1,D512,80,19,3,57,1,11,3,3,0,8,0
rice,dino_top1,D512,132,28,4,86,14,0,4,4,5,28,0
sheet_metal,dino_top1,D512,114,15,4,86,9,0,4,4,6,15,0
vial,dino_top1,D512,140,14,5,100,21,4,3,3,15,10,2
wallplugs,dino_top1,D512,150,60,4,86,0,6,4,4,0,54,0
walnuts,dino_top1,D512,150,41,4,86,19,6,3,3,6,35,1
ALL,dino_top1,dino_max,1084,310,32,673,69,27,13,13,29,283,19
can,dino_top1,dino_max,162,71,4,86,1,7,2,2,1,64,2
fabric,dino_top1,dino_max,156,62,4,86,4,1,1,1,0,61,3
fruit_jelly,dino_top1,dino_max,80,19,3,57,1,0,2,2,0,19,1
rice,dino_top1,dino_max,132,28,4,86,14,3,1,1,13,25,3
sheet_metal,dino_top1,dino_max,114,15,4,86,9,3,2,2,3,12,2
vial,dino_top1,dino_max,140,14,5,100,21,9,4,4,5,5,1
wallplugs,dino_top1,dino_max,150,60,4,86,0,0,0,0,0,60,4
walnuts,dino_top1,dino_max,150,41,4,86,19,4,1,1,7,37,3
ALL,dino_max,D256,1084,312,32,673,67,25,31,31,50,287,1
can,dino_max,D256,162,65,4,86,7,3,3,3,7,62,1
fabric,dino_max,D256,156,61,4,86,5,7,4,4,1,54,0
fruit_jelly,dino_max,D256,80,19,3,57,1,4,3,3,1,15,0
rice,dino_max,D256,132,38,4,86,4,4,4,4,4,34,0
sheet_metal,dino_max,D256,114,15,4,86,9,1,4,4,8,14,0
vial,dino_max,D256,140,10,5,100,25,5,5,5,14,5,0
wallplugs,dino_max,D256,150,60,4,86,0,0,4,4,0,60,0
walnuts,dino_max,D256,150,44,4,86,16,1,4,4,15,43,0
ALL,dino_max,D512,1084,312,32,673,67,59,28,28,43,253,4
can,dino_max,D512,162,65,4,86,7,1,4,4,7,64,0
fabric,dino_max,D512,156,61,4,86,5,19,2,2,1,42,2
fruit_jelly,dino_max,D512,80,19,3,57,1,11,3,3,0,8,0
rice,dino_max,D512,132,38,4,86,4,9,4,4,4,29,0
sheet_metal,dino_max,D512,114,15,4,86,9,0,4,4,6,15,0
vial,dino_max,D512,140,10,5,100,25,3,3,3,18,7,2
wallplugs,dino_max,D512,150,60,4,86,0,6,4,4,0,54,0
walnuts,dino_max,D512,150,44,4,86,16,10,4,4,7,34,0
ALL,dino_max,dino_top1,1084,312,32,673,67,29,13,13,27,283,19
can,dino_max,dino_top1,162,65,4,86,7,1,2,2,7,64,2
fabric,dino_max,dino_top1,156,61,4,86,5,0,1,1,1,61,3
fruit_jelly,dino_max,dino_top1,80,19,3,57,1,0,2,2,0,19,1
rice,dino_max,dino_top1,132,38,4,86,4,13,1,1,3,25,3
sheet_metal,dino_max,dino_top1,114,15,4,86,9,3,2,2,3,12,2
vial,dino_max,dino_top1,140,10,5,100,25,5,4,4,9,5,1
wallplugs,dino_max,dino_top1,150,60,4,86,0,0,0,0,0,60,4
walnuts,dino_max,dino_top1,150,44,4,86,16,7,1,1,4,37,3
