category,q,n_cal,threshold,TP,FP,FN,TN,FPR,FNR,recall,FP_share_errors
can,0.9,46,1.0161367170763833,52,40,38,32,0.5555555555555556,0.4222222222222222,0.5777777777777777,0.5128205128205128
can,0.95,46,1.3506287940885078,39,27,51,45,0.375,0.5666666666666667,0.43333333333333335,0.34615384615384615
can,0.99,46,1.9446066554396495,18,15,72,57,0.20833333333333334,0.8,0.2,0.1724137931034483
fabric,0.9,43,1.7514071477374846,53,14,37,52,0.21212121212121213,0.4111111111111111,0.5888888888888889,0.27450980392156865
fabric,0.95,43,2.1269973548253347,31,8,59,58,0.12121212121212122,0.6555555555555556,0.34444444444444444,0.11940298507462686
fabric,0.99,43,2.8104973134506643,15,1,75,65,0.015151515151515152,0.8333333333333334,0.16666666666666666,0.013157894736842105
fruit_jelly,0.9,37,1.7028143462414609,38,0,22,20,0.0,0.36666666666666664,0.6333333333333333,0.0
fruit_jelly,0.95,37,3.3359801967319056,12,0,48,20,0.0,0.8,0.2,0.0
fruit_jelly,0.99,37,4.293294359628961,6,0,54,20,0.0,0.9,0.1,0.0
rice,0.9,35,1.027997100221433,48,10,42,32,0.23809523809523808,0.4666666666666667,0.5333333333333333,0.19230769230769232
rice,0.95,35,1.4383106526351035,37,8,53,34,0.19047619047619047,0.5888888888888889,0.4111111111111111,0.13114754098360656
rice,0.99,35,2.5778855636313955,16,1,74,41,0.023809523809523808,0.8222222222222222,0.17777777777777778,0.013333333333333334
sheet_metal,0.9,19,1.4907837240326576,44,7,46,17,0.2916666666666667,0.5111111111111111,0.4888888888888889,0.1320754716981132
sheet_metal,0.95,19,1.9683250403767076,36,4,54,20,0.16666666666666666,0.6,0.4,0.06896551724137931
sheet_metal,0.99,19,1.9683250403767076,36,4,54,20,0.16666666666666666,0.6,0.4,0.06896551724137931
vial,0.9,41,1.7763520573327647,79,6,26,29,0.17142857142857143,0.24761904761904763,0.7523809523809524,0.1875
vial,0.95,41,2.6242018772222275,66,2,39,33,0.05714285714285714,0.37142857142857144,0.6285714285714286,0.04878048780487805
vial,0.99,41,3.9113028499220714,44,0,61,35,0.0,0.580952380952381,0.41904761904761906,0.0
wallplugs,0.9,33,1.015778248598654,33,16,57,44,0.26666666666666666,0.6333333333333333,0.36666666666666664,0.2191780821917808
wallplugs,0.95,33,1.330954214213822,24,9,66,51,0.15,0.7333333333333333,0.26666666666666666,0.12
wallplugs,0.99,33,1.358645245252592,24,9,66,51,0.15,0.7333333333333333,0.26666666666666666,0.12
walnuts,0.9,48,1.4890960825307116,71,18,19,42,0.3,0.2111111111111111,0.7888888888888889,0.4864864864864865
walnuts,0.95,48,1.9380202345771391,68,12,22,48,0.2,0.24444444444444444,0.7555555555555555,0.35294117647058826
walnuts,0.99,48,3.0722805229172296,52,3,38,57,0.05,0.4222222222222222,0.5777777777777777,0.07317073170731707
