dataset,category,method,n,auroc
source_fitted,candle,detector,200,0.984
source_fitted,capsules,detector,160,0.6995
source_fitted,cashew,detector,150,0.966
source_fitted,chewinggum,detector,150,0.9918
source_fitted,fryum,detector,150,0.9543999999999999
source_fitted,macaroni1,detector,200,0.8661000000000001
source_fitted,macaroni2,detector,200,0.7119
source_fitted,pcb1,detector,200,0.9436
source_fitted,pcb2,detector,200,0.93045
source_fitted,pcb3,detector,201,0.933069306930693
source_fitted,pcb4,detector,201,0.9905940594059406
source_fitted,pipe_fryum,detector,150,0.9936
source_fitted,MACRO,detector,2162,0.9137511138613864
source_fitted,candle,vlm,200,0.9606
source_fitted,capsules,vlm,160,0.9993333333333333
source_fitted,cashew,vlm,150,1.0
source_fitted,chewinggum,vlm,150,0.9988
source_fitted,fryum,vlm,150,0.9942
source_fitted,macaroni1,vlm,200,0.9263
source_fitted,macaroni2,vlm,200,0.7198
source_fitted,pcb1,vlm,200,0.548
source_fitted,pcb2,vlm,200,0.9757
source_fitted,pcb3,vlm,201,0.8016831683168317
source_fitted,pcb4,vlm,201,0.7572277227722772
source_fitted,pipe_fryum,vlm,150,0.9315999999999999
source_fitted,MACRO,vlm,2162,0.8844370187018701
source_fitted,candle,naive_0.5,200,0.9952
source_fitted,capsules,naive_0.5,160,0.992
source_fitted,cashew,naive_0.5,150,1.0
source_fitted,chewinggum,naive_0.5,150,1.0
source_fitted,fryum,naive_0.5,150,0.9978
source_fitted,macaroni1,naive_0.5,200,0.9755
source_fitted,macaroni2,naive_0.5,200,0.8076
source_fitted,pcb1,naive_0.5,200,0.8508
source_fitted,pcb2,naive_0.5,200,0.9847
source_fitted,pcb3,naive_0.5,201,0.9676237623762376
source_fitted,pcb4,naive_0.5,201,0.9854455445544554
source_fitted,pipe_fryum,naive_0.5,150,1.0
source_fitted,MACRO,naive_0.5,2162,0.9630557755775578
source_fitted,candle,source_selected_fixed_alpha,200,0.9963
source_fitted,capsules,source_selected_fixed_alpha,160,0.974
source_fitted,cashew,source_selected_fixed_alpha,150,0.9998
source_fitted,chewinggum,source_selected_fixed_alpha,150,1.0
source_fitted,fryum,source_selected_fixed_alpha,150,0.9970000000000001
source_fitted,macaroni1,source_selected_fixed_alpha,200,0.9646
source_fitted,macaroni2,source_selected_fixed_alpha,200,0.7944000000000001
source_fitted,pcb1,source_selected_fixed_alpha,200,0.8955
source_fitted,pcb2,source_selected_fixed_alpha,200,0.9802
source_fitted,pcb3,source_selected_fixed_alpha,201,0.9671287128712872
source_fitted,pcb4,source_selected_fixed_alpha,201,0.9904950495049506
source_fitted,pipe_fryum,source_selected_fixed_alpha,150,0.9998
source_fitted,MACRO,source_selected_fixed_alpha,2162,0.9632686468646866
source_fitted,candle,source_logistic_D_M,200,0.9949
source_fitted,capsules,source_logistic_D_M,160,0.9938333333333333
source_fitted,cashew,source_logistic_D_M,150,1.0
source_fitted,chewinggum,source_logistic_D_M,150,1.0
source_fitted,fryum,source_logistic_D_M,150,0.9978
source_fitted,macaroni1,source_logistic_D_M,200,0.977
source_fitted,macaroni2,source_logistic_D_M,200,0.8095
source_fitted,pcb1,source_logistic_D_M,200,0.8443
source_fitted,pcb2,source_logistic_D_M,200,0.9856
source_fitted,pcb3,source_logistic_D_M,201,0.9665346534653466
source_fitted,pcb4,source_logistic_D_M,201,0.9838613861386138
source_fitted,pipe_fryum,source_logistic_D_M,150,1.0
source_fitted,MACRO,source_logistic_D_M,2162,0.9627774477447745
source_fitted,candle,source_rank_constant_alpha,200,0.9953
source_fitted,capsules,source_rank_constant_alpha,160,0.9905
source_fitted,cashew,source_rank_constant_alpha,150,1.0
source_fitted,chewinggum,source_rank_constant_alpha,150,1.0
source_fitted,fryum,source_rank_constant_alpha,150,0.9976
source_fitted,macaroni1,source_rank_constant_alpha,200,0.9742999999999999
source_fitted,macaroni2,source_rank_constant_alpha,200,0.8062999999999999
source_fitted,pcb1,source_rank_constant_alpha,200,0.855
source_fitted,pcb2,source_rank_constant_alpha,200,0.9846
source_fitted,pcb3,source_rank_constant_alpha,201,0.9675247524752475
source_fitted,pcb4,source_rank_constant_alpha,201,0.9864356435643564
source_fitted,pipe_fryum,source_rank_constant_alpha,150,1.0
source_fitted,MACRO,source_rank_constant_alpha,2162,0.9631300330033002
source_fitted,candle,historical_SRB,200,0.9864999999999999
source_fitted,capsules,historical_SRB,160,0.7196666666666666
source_fitted,cashew,historical_SRB,150,0.9692
source_fitted,chewinggum,historical_SRB,150,0.9951999999999999
source_fitted,fryum,historical_SRB,150,0.964
source_fitted,macaroni1,historical_SRB,200,0.8867
source_fitted,macaroni2,historical_SRB,200,0.7172499999999999
source_fitted,pcb1,historical_SRB,200,0.9468
source_fitted,pcb2,historical_SRB,200,0.9315500000000001
source_fitted,pcb3,historical_SRB,201,0.94009900990099
source_fitted,pcb4,historical_SRB,201,0.991980198019802
source_fitted,pipe_fryum,historical_SRB,150,0.9938
source_fitted,MACRO,historical_SRB,2162,0.9202288228822882
target_AD2_4,fruit_jelly,detector,40,0.7166666666666667
target_AD2_4,sheet_metal,detector,57,0.7462962962962963
target_AD2_4,vial,detector,71,0.8731656184486374
target_AD2_4,walnuts,detector,75,0.8051851851851852
target_AD2_4,MACRO,detector,243,0.7853284416491964
target_AD2_4,fruit_jelly,vlm,40,0.8566666666666668
target_AD2_4,sheet_metal,vlm,57,0.587037037037037
target_AD2_4,vial,vlm,71,0.5230607966457024
target_AD2_4,walnuts,vlm,75,0.6429629629629628
