image_id,D512_alarm,dino_top1_alarm,efficientad_alarm
01d7054b966654d2e08c7807,False,True,False
47a67640b82f2d4c91573a34,False,True,True
c3b182e14e5339623326e570,False,True,False
504f0bbac8d01ee1fd48d495,False,False,True
155699ac3ef5ec434aa7e648,True,True,True
c7777a8f93806e060e688b04,True,True,True
462227ba70e80735ae0750cd,True,True,True
82fc1877033da718e347e768,True,False,True
27cb25a6c65efbf49735e441,False,True,True
f61245881493a86050d89403,False,True,True
e41384eb3ddb3c885bbfd653,True,True,True
146031f7a95717bec5ec078b,True,True,True
4f6ea3c33d881eafef698ca1,True,True,True
3266172dd8f1a885f00f395e,True,True,True
fa0648b32f0a073b29d54036,True,True,True
d9ba0df9a8c5d1843ec18e17,True,True,True
17237d54010a75cccd4eb663,True,True,True
c40681b5fe86508714e7bcbc,True,True,True
0a6aa795747244d800b02a8f,True,True,True
d424924b5beb1d00a652cf59,True,True,True
e1eca7db78a580e9495a7fb3,True,True,False
b69a88540beaeae4e52c8d37,True,True,True
ba82ac5cdedabbe8028e8525,True,True,True
bb22f06945a158e1444b7229,True,True,True
88cca7bb1d9bbdafc4816feb,True,True,True
3d9be93dae995e1dbb90fdb0,False,True,True
740f474dec0fd87a959b7d0b,True,False,True
c0772b36645a2af347a4bb19,True,True,True
74f7b5b0ce872cba4c8a021c,True,True,True
72814a99e7588eec76e47f65,True,True,True
26023dbc612ab8364949bcaa,True,True,True
c4882dbb619582164409c98e,True,True,True
8a2406dc009144510029bc68,True,True,True
d898704e597648a563dc532a,True,True,True
a4ad101a7d9fbc2b9700f2b9,True,True,True
9bd6b355820cf2b140b69523,True,True,True
65205fef639f7ba85a132dec,True,True,True
6b7a16128973ce175d8db9f4,True,True,True
bde87b0edf0fa7b55b0b3499,True,True,True
cd8e6887b273724f4051ed54,True,True,True
11b5e0acc3fdec77d619e613,True,False,True
bdbeb371e47504491d93ebac,True,False,False
facd7de87157b0f947a75c1f,True,True,True
9107ec083dcd1057cdf09d39,True,False,True
3cfdf79448d4691e83334b62,True,False,True
3dbabd8bec52570e74a505db,True,True,True
703d696269e1ee1a0bdcdc9f,True,True,True
076d95358f6d39c2af42e9ec,False,False,False
cadabc0c8fd6c500b80bd958,True,True,True
f26867f54bd62fbc71817e9b,True,True,True
bcc491f9fe22d70969dd1953,True,True,True
