scope,category,model,n,AUROC
four_public,fruit_jelly,D512,80,0.9241666666666667
four_public,fruit_jelly,dino_top1,80,0.7508333333333332
four_public,fruit_jelly,efficientad,80,0.79
four_public,fruit_jelly,efficientad_post,80,0.79
four_public,sheet_metal,D512,114,0.6532407407407408
four_public,sheet_metal,dino_top1,114,0.8203703703703703
four_public,sheet_metal,efficientad,114,0.6541666666666667
four_public,sheet_metal,efficientad_post,114,0.6499999999999999
four_public,vial,D512,140,0.868843537414966
four_public,vial,dino_top1,140,0.9178231292517006
four_public,vial,efficientad,140,0.8688435374149659
four_public,vial,efficientad_post,140,0.8688435374149659
four_public,walnuts,D512,150,0.8603703703703703
four_public,walnuts,dino_top1,150,0.826851851851852
four_public,walnuts,efficientad,150,0.5831481481481481
four_public,walnuts,efficientad_post,150,0.5838888888888889
legacy_subset,fruit_jelly,D512,40,0.93
legacy_subset,fruit_jelly,dino_top1,40,0.7733333333333334
legacy_subset,fruit_jelly,efficientad,40,0.8266666666666667
legacy_subset,fruit_jelly,efficientad_post,40,0.8266666666666667
legacy_subset,sheet_metal,D512,57,0.6370370370370371
legacy_subset,sheet_metal,dino_top1,57,0.8388888888888889
legacy_subset,sheet_metal,efficientad,57,0.7222222222222223
legacy_subset,sheet_metal,efficientad_post,57,0.7083333333333333
legacy_subset,vial,D512,71,0.8836477987421384
legacy_subset,vial,dino_top1,71,0.9444444444444444
legacy_subset,vial,efficientad,71,0.9035639412997903
legacy_subset,vial,efficientad_post,71,0.9035639412997903
legacy_subset,walnuts,D512,75,0.8725925925925926
legacy_subset,walnuts,dino_top1,75,0.8607407407407407
legacy_subset,walnuts,efficientad,75,0.6251851851851851
legacy_subset,walnuts,efficientad_post,75,0.624074074074074
