scope,category,A,B,n,A_FP,A_FN,A_TP,A_TN,correct_FP,recover_FN,harm_TP,harm_TN,shared_FP,shared_FN
four_public,ALL,D512,dino_top1,484,95,16,329,44,27,13,13,21,68,3
four_public,fruit_jelly,D512,dino_top1,80,8,3,57,12,0,3,3,11,8,0
four_public,sheet_metal,D512,dino_top1,114,21,4,86,3,6,4,4,0,15,0
four_public,vial,D512,dino_top1,140,25,5,100,10,15,3,3,4,10,2
four_public,walnuts,D512,dino_top1,150,41,4,86,19,6,3,3,6,35,1
four_public,ALL,D512,efficientad,484,95,16,329,44,20,16,16,22,75,0
four_public,fruit_jelly,D512,efficientad,80,8,3,57,12,0,3,3,8,8,0
four_public,sheet_metal,D512,efficientad,114,21,4,86,3,2,4,4,1,19,0
four_public,vial,D512,efficientad,140,25,5,100,10,14,5,5,1,11,0
four_public,walnuts,D512,efficientad,150,41,4,86,19,4,4,4,12,37,0
four_public,ALL,dino_top1,D512,484,89,16,329,50,21,13,13,27,68,3
four_public,fruit_jelly,dino_top1,D512,80,19,3,57,1,11,3,3,0,8,0
four_public,sheet_metal,dino_top1,D512,114,15,4,86,9,0,4,4,6,15,0
four_public,vial,dino_top1,D512,140,14,5,100,21,4,3,3,15,10,2
four_public,walnuts,dino_top1,D512,150,41,4,86,19,6,3,3,6,35,1
four_public,ALL,dino_top1,efficientad,484,89,16,329,50,16,12,12,24,73,4
four_public,fruit_jelly,dino_top1,efficientad,80,19,3,57,1,4,3,3,1,15,0
four_public,sheet_metal,dino_top1,efficientad,114,15,4,86,9,0,2,2,5,15,2
four_public,vial,dino_top1,efficientad,140,14,5,100,21,8,5,5,6,6,0
four_public,walnuts,dino_top1,efficientad,150,41,4,86,19,4,2,2,12,37,2
four_public,ALL,efficientad,D512,484,97,16,329,42,22,16,16,20,75,0
four_public,fruit_jelly,efficientad,D512,80,16,3,57,4,8,3,3,0,8,0
four_public,sheet_metal,efficientad,D512,114,20,4,86,4,1,4,4,2,19,0
four_public,vial,efficientad,D512,140,12,5,100,23,1,5,5,14,11,0
four_public,walnuts,efficientad,D512,150,49,4,86,11,12,4,4,4,37,0
four_public,ALL,efficientad,dino_top1,484,97,16,329,42,24,12,12,16,73,4
four_public,fruit_jelly,efficientad,dino_top1,80,16,3,57,4,1,3,3,4,15,0
four_public,sheet_metal,efficientad,dino_top1,114,20,4,86,4,5,2,2,0,15,2
four_public,vial,efficientad,dino_top1,140,12,5,100,23,6,5,5,8,6,0
four_public,walnuts,efficientad,dino_top1,150,49,4,86,11,12,2,2,4,37,2
legacy_subset,ALL,D512,dino_top1,243,47,7,166,23,10,6,6,10,37,1
legacy_subset,fruit_jelly,D512,dino_top1,40,4,1,29,6,1,1,1,5,3,0
legacy_subset,sheet_metal,D512,dino_top1,57,11,2,43,1,4,2,2,0,7,0
legacy_subset,vial,D512,dino_top1,71,12,2,51,6,4,1,1,1,8,1
legacy_subset,walnuts,D512,dino_top1,75,20,2,43,10,1,2,2,4,19,0
legacy_subset,ALL,D512,efficientad,243,47,7,166,23,9,7,7,11,38,0
legacy_subset,fruit_jelly,D512,efficientad,40,4,1,29,6,0,1,1,4,4,0
legacy_subset,sheet_metal,D512,efficientad,57,11,2,43,1,1,2,2,0,10,0
legacy_subset,vial,D512,efficientad,71,12,2,51,6,8,2,2,0,4,0
legacy_subset,walnuts,D512,efficientad,75,20,2,43,10,0,2,2,7,20,0
legacy_subset,ALL,dino_top1,D512,243,47,7,166,23,10,6,6,10,37,1
legacy_subset,fruit_jelly,dino_top1,D512,40,8,1,29,2,5,1,1,1,3,0
legacy_subset,sheet_metal,dino_top1,D512,57,7,2,43,5,0,2,2,4,7,0
legacy_subset,vial,dino_top1,D512,71,9,2,51,9,1,1,1,4,8,1
legacy_subset,walnuts,dino_top1,D512,75,23,2,43,7,4,2,2,1,19,0
legacy_subset,ALL,dino_top1,efficientad,243,47,7,166,23,10,4,4,12,37,3
legacy_subset,fruit_jelly,dino_top1,efficientad,40,8,1,29,2,2,1,1,2,6,0
legacy_subset,sheet_metal,dino_top1,efficientad,57,7,2,43,5,0,0,0,3,7,2
legacy_subset,vial,dino_top1,efficientad,71,9,2,51,9,7,2,2,2,2,0
legacy_subset,walnuts,dino_top1,efficientad,75,23,2,43,7,1,1,1,5,22,1
legacy_subset,ALL,efficientad,D512,243,49,7,166,21,11,7,7,9,38,0
legacy_subset,fruit_jelly,efficientad,D512,40,8,1,29,2,4,1,1,0,4,0
legacy_subset,sheet_metal,efficientad,D512,57,10,2,43,2,0,2,2,1,10,0
legacy_subset,vial,efficientad,D512,71,4,2,51,14,0,2,2,8,4,0
legacy_subset,walnuts,efficientad,D512,75,27,2,43,3,7,2,2,0,20,0
legacy_subset,ALL,efficientad,dino_top1,243,49,7,166,21,12,4,4,10,37,3
legacy_subset,fruit_jelly,efficientad,dino_top1,40,8,1,29,2,2,1,1,2,6,0
legacy_subset,sheet_metal,efficientad,dino_top1,57,10,2,43,2,3,0,0,0,7,2
legacy_subset,vial,efficientad,dino_top1,71,4,2,51,14,2,2,2,7,2,0
legacy_subset,walnuts,efficientad,dino_top1,75,27,2,43,3,5,1,1,1,22,1
