scope,system,FP,FN,FPR,recall
four_public,D512,95,16,0.6834532374100719,0.9536231884057971
four_public,efficientad,97,16,0.697841726618705,0.9536231884057971
four_public,AND_efficientad,75,32,0.539568345323741,0.9072463768115941
four_public,OR_efficientad,117,0,0.841726618705036,1.0
four_public,dino_top1,89,16,0.6402877697841727,0.9536231884057971
four_public,AND_dino_top1,68,29,0.4892086330935252,0.9159420289855073
four_public,OR_dino_top1,116,3,0.8345323741007195,0.991304347826087
legacy_subset,D512,47,7,0.6714285714285714,0.9595375722543352
legacy_subset,efficientad,49,7,0.7,0.9595375722543352
legacy_subset,AND_efficientad,38,14,0.5428571428571428,0.9190751445086706
legacy_subset,OR_efficientad,58,0,0.8285714285714286,1.0
legacy_subset,dino_top1,47,7,0.6714285714285714,0.9595375722543352
legacy_subset,AND_dino_top1,37,13,0.5285714285714286,0.9248554913294798
legacy_subset,OR_dino_top1,57,1,0.8142857142857143,0.9942196531791907
