scope,category,model,threshold,FPR,recall
four_public,fruit_jelly,D512,0.0934810980171543,0.4,0.95
four_public,fruit_jelly,dino_top1,0.2383088022470474,0.95,0.95
four_public,fruit_jelly,efficientad,0.0026356927119195,0.8,0.95
four_public,sheet_metal,D512,-0.4344151849147453,0.875,0.9555555555555556
four_public,sheet_metal,dino_top1,0.154008150100708,0.625,0.9555555555555556
four_public,sheet_metal,efficientad,0.0147838797420263,0.8333333333333334,0.9555555555555556
four_public,vial,D512,-0.1379346217289113,0.7142857142857143,0.9523809523809523
four_public,vial,dino_top1,0.2301801443099975,0.4,0.9523809523809523
four_public,vial,efficientad,0.1551778763532638,0.34285714285714286,0.9523809523809523
four_public,walnuts,D512,0.0799659607055235,0.6833333333333333,0.9555555555555556
four_public,walnuts,dino_top1,0.2101988196372985,0.6833333333333333,0.9555555555555556
four_public,walnuts,efficientad,0.0061298115178942,0.8166666666666667,0.9555555555555556
legacy_subset,fruit_jelly,D512,0.0934810980171543,0.4,0.9666666666666667
legacy_subset,fruit_jelly,dino_top1,0.2562508583068847,0.8,0.9666666666666667
legacy_subset,fruit_jelly,efficientad,0.0008643958717584,0.8,0.9666666666666667
legacy_subset,sheet_metal,D512,-0.4599481780141692,0.9166666666666666,0.9555555555555556
legacy_subset,sheet_metal,dino_top1,0.1577635556459427,0.5833333333333334,0.9555555555555556
legacy_subset,sheet_metal,efficientad,0.0240970328450202,0.8333333333333334,0.9555555555555556
legacy_subset,vial,D512,-0.2812699493068978,0.6666666666666666,0.9622641509433962
legacy_subset,vial,dino_top1,0.2247384488582611,0.5,0.9622641509433962
legacy_subset,vial,efficientad,0.1506225168704986,0.2222222222222222,0.9622641509433962
legacy_subset,walnuts,D512,-0.0427743807333238,0.6666666666666666,0.9555555555555556
legacy_subset,walnuts,dino_top1,0.2057478725910186,0.7666666666666667,0.9555555555555556
legacy_subset,walnuts,efficientad,0.002235175576061,0.9,0.9555555555555556
