map_index,set_type,label,category,instance_id,condition,image_path,mask_path
0,normal,0,can,000,overexposed,can/test_public/good/000_overexposed.png,
1,normal,0,can,000,regular,can/test_public/good/000_regular.png,
2,normal,0,can,000,shift_1,can/test_public/good/000_shift_1.png,
3,normal,0,can,000,shift_2,can/test_public/good/000_shift_2.png,
4,normal,0,can,000,shift_3,can/test_public/good/000_shift_3.png,
5,normal,0,can,000,underexposed,can/test_public/good/000_underexposed.png,
6,normal,0,can,001,overexposed,can/test_public/good/001_overexposed.png,
7,normal,0,can,001,regular,can/test_public/good/001_regular.png,
8,normal,0,can,001,shift_1,can/test_public/good/001_shift_1.png,
9,normal,0,can,001,shift_2,can/test_public/good/001_shift_2.png,
10,normal,0,can,001,shift_3,can/test_public/good/001_shift_3.png,
11,normal,0,can,001,underexposed,can/test_public/good/001_underexposed.png,
12,normal,0,can,002,overexposed,can/test_public/good/002_overexposed.png,
13,normal,0,can,002,regular,can/test_public/good/002_regular.png,
14,normal,0,can,002,shift_1,can/test_public/good/002_shift_1.png,
15,normal,0,can,002,shift_2,can/test_public/good/002_shift_2.png,
16,normal,0,can,002,shift_3,can/test_public/good/002_shift_3.png,
17,normal,0,can,002,underexposed,can/test_public/good/002_underexposed.png,
18,normal,0,can,003,overexposed,can/test_public/good/003_overexposed.png,
19,normal,0,can,003,regular,can/test_public/good/003_regular.png,
20,normal,0,can,003,shift_1,can/test_public/good/003_shift_1.png,
21,normal,0,can,003,shift_2,can/test_public/good/003_shift_2.png,
22,normal,0,can,003,shift_3,can/test_public/good/003_shift_3.png,
23,normal,0,can,003,underexposed,can/test_public/good/003_underexposed.png,
24,normal,0,can,004,overexposed,can/test_public/good/004_overexposed.png,
25,normal,0,can,004,regular,can/test_public/good/004_regular.png,
26,normal,0,can,004,shift_1,can/test_public/good/004_shift_1.png,
27,normal,0,can,004,shift_2,can/test_public/good/004_shift_2.png,
28,normal,0,can,004,shift_3,can/test_public/good/004_shift_3.png,
29,normal,0,can,004,underexposed,can/test_public/good/004_underexposed.png,
30,normal,0,can,005,overexposed,can/test_public/good/005_overexposed.png,
31,normal,0,can,005,regular,can/test_public/good/005_regular.png,
32,normal,0,can,005,shift_1,can/test_public/good/005_shift_1.png,
33,normal,0,can,005,shift_2,can/test_public/good/005_shift_2.png,
34,normal,0,can,005,shift_3,can/test_public/good/005_shift_3.png,
35,normal,0,can,005,underexposed,can/test_public/good/005_underexposed.png,
36,normal,0,can,006,overexposed,can/test_public/good/006_overexposed.png,
37,normal,0,can,006,regular,can/test_public/good/006_regular.png,
38,normal,0,can,006,shift_1,can/test_public/good/006_shift_1.png,
39,normal,0,can,006,shift_2,can/test_public/good/006_shift_2.png,
40,normal,0,can,006,shift_3,can/test_public/good/006_shift_3.png,
41,normal,0,can,006,underexposed,can/test_public/good/006_underexposed.png,
42,normal,0,can,007,overexposed,can/test_public/good/007_overexposed.png,
43,normal,0,can,007,regular,can/test_public/good/007_regular.png,
44,normal,0,can,007,shift_1,can/test_public/good/007_shift_1.png,
45,normal,0,can,007,shift_2,can/test_public/good/007_shift_2.png,
46,normal,0,can,007,shift_3,can/test_public/good/007_shift_3.png,
47,normal,0,can,007,underexposed,can/test_public/good/007_underexposed.png,
48,normal,0,can,008,overexposed,can/test_public/good/008_overexposed.png,
49,normal,0,can,008,regular,can/test_public/good/008_regular.png,
50,normal,0,can,008,shift_1,can/test_public/good/008_shift_1.png,
51,normal,0,can,008,shift_2,can/test_public/good/008_shift_2.png,
52,normal,0,can,008,shift_3,can/test_public/good/008_shift_3.png,
53,normal,0,can,008,underexposed,can/test_public/good/008_underexposed.png,
54,normal,0,can,009,overexposed,can/test_public/good/009_overexposed.png,
55,normal,0,can,009,regular,can/test_public/good/009_regular.png,
56,normal,0,can,009,shift_1,can/test_public/good/009_shift_1.png,
57,normal,0,can,009,shift_2,can/test_public/good/009_shift_2.png,
58,normal,0,can,009,shift_3,can/test_public/good/009_shift_3.png,
59,normal,0,can,009,underexposed,can/test_public/good/009_underexposed.png,
60,normal,0,can,010,overexposed,can/test_public/good/010_overexposed.png,
61,normal,0,can,010,regular,can/test_public/good/010_regular.png,
62,normal,0,can,010,shift_1,can/test_public/good/010_shift_1.png,
63,normal,0,can,010,shift_2,can/test_public/good/010_shift_2.png,
64,normal,0,can,010,shift_3,can/test_public/good/010_shift_3.png,
65,normal,0,can,010,underexposed,can/test_public/good/010_underexposed.png,
66,normal,0,can,011,overexposed,can/test_public/good/011_overexposed.png,
67,normal,0,can,011,regular,can/test_public/good/011_regular.png,
68,normal,0,can,011,shift_1,can/test_public/good/011_shift_1.png,
69,normal,0,can,011,shift_2,can/test_public/good/011_shift_2.png,
70,normal,0,can,011,shift_3,can/test_public/good/011_shift_3.png,
71,normal,0,can,011,underexposed,can/test_public/good/011_underexposed.png,
72,normal,0,fabric,000,overexposed,fabric/test_public/good/000_overexposed.png,
73,normal,0,fabric,000,regular,fabric/test_public/good/000_regular.png,
74,normal,0,fabric,000,shift_1,fabric/test_public/good/000_shift_1.png,
75,normal,0,fabric,000,shift_2,fabric/test_public/good/000_shift_2.png,
76,normal,0,fabric,000,shift_3,fabric/test_public/good/000_shift_3.png,
77,normal,0,fabric,000,underexposed,fabric/test_public/good/000_underexposed.png,
78,normal,0,fabric,001,overexposed,fabric/test_public/good/001_overexposed.png,
79,normal,0,fabric,001,regular,fabric/test_public/good/001_regular.png,
80,normal,0,fabric,001,shift_1,fabric/test_public/good/001_shift_1.png,
81,normal,0,fabric,001,shift_2,fabric/test_public/good/001_shift_2.png,
82,normal,0,fabric,001,shift_3,fabric/test_public/good/001_shift_3.png,
83,normal,0,fabric,001,underexposed,fabric/test_public/good/001_underexposed.png,
84,normal,0,fabric,002,overexposed,fabric/test_public/good/002_overexposed.png,
85,normal,0,fabric,002,regular,fabric/test_public/good/002_regular.png,
86,normal,0,fabric,002,shift_1,fabric/test_public/good/002_shift_1.png,
87,normal,0,fabric,002,shift_2,fabric/test_public/good/002_shift_2.png,
88,normal,0,fabric,002,shift_3,fabric/test_public/good/002_shift_3.png,
89,normal,0,fabric,002,underexposed,fabric/test_public/good/002_underexposed.png,
90,normal,0,fabric,003,overexposed,fabric/test_public/good/003_overexposed.png,
91,normal,0,fabric,003,regular,fabric/test_public/good/003_regular.png,
92,normal,0,fabric,003,shift_1,fabric/test_public/good/003_shift_1.png,
93,normal,0,fabric,003,shift_2,fabric/test_public/good/003_shift_2.png,
94,normal,0,fabric,003,shift_3,fabric/test_public/good/003_shift_3.png,
95,normal,0,fabric,003,underexposed,fabric/test_public/good/003_underexposed.png,
96,normal,0,fabric,004,overexposed,fabric/test_public/good/004_overexposed.png,
97,normal,0,fabric,004,regular,fabric/test_public/good/004_regular.png,
98,normal,0,fabric,004,shift_1,fabric/test_public/good/004_shift_1.png,
99,normal,0,fabric,004,shift_2,fabric/test_public/good/004_shift_2.png,
100,normal,0,fabric,004,shift_3,fabric/test_public/good/004_shift_3.png,
101,normal,0,fabric,004,underexposed,fabric/test_public/good/004_underexposed.png,
102,normal,0,fabric,005,overexposed,fabric/test_public/good/005_overexposed.png,
103,normal,0,fabric,005,regular,fabric/test_public/good/005_regular.png,
