category,image_path,component_rank,x1,y1,x2,y2,area,mean_score,max_score,clip_max_normal,clip_max_defect,clip_semantic_score,gt_iou,gt_f1,clip_semantic_score_norm,mean_score_norm,max_score_norm,area_norm,combined_score
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/001.png,1,151.0,85.0,168.0,102.0,260.0,0.948958,1.0,0.26925987005233765,0.26653558015823364,-0.002724289894104004,0.232919,0.377834,0.6511116,0.54827917,0.0,0.26531664,0.51142955
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/002.png,1,152.0,182.0,168.0,199.0,241.0,0.949748,1.0,0.2535567581653595,0.2513405382633209,-0.0022162199020385742,0.544757,0.705298,0.68653065,0.67757636,0.0,0.21979854,0.56807035
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/003.png,1,112.0,43.0,128.0,65.0,298.0,0.949325,1.0,0.2609592080116272,0.2569187581539154,-0.004040449857711792,0.388889,0.56,0.55935824,0.60835254,0.0,0.34717387,0.49935198
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/004.png,1,79.0,161.0,95.0,178.0,233.0,0.948626,1.0,0.2600488066673279,0.2524029314517975,-0.0076458752155303955,0.347222,0.515464,0.30801353,0.49394193,0.0,0.19955362,0.33144113
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/005.png,1,189.0,108.0,203.0,121.0,167.0,0.946883,1.0,0.2643117606639862,0.25996270775794983,-0.004349052906036377,0.370892,0.541096,0.53784466,0.2086764,0.0,0.0,0.3150668
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/006.png,1,51.0,46.0,68.0,62.0,232.0,0.947739,1.0,0.26108017563819885,0.25553810596466064,-0.005542069673538208,0.25431,0.405498,0.45467597,0.34877276,0.0,0.1969743,0.34637207
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/008.png,1,162.0,110.0,181.0,134.0,364.0,0.948719,1.0,0.26292309165000916,0.25980404019355774,-0.003119051456451416,0.438026,0.609205,0.62359166,0.50917,0.0,0.4672911,0.50555485
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/011.png,1,60.0,147.0,75.0,170.0,296.0,0.949174,1.0,0.2566587030887604,0.24781188368797302,-0.008846819400787354,0.315029,0.479121,0.22429222,0.58363247,0.0,0.34313202,0.33951604
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/014.png,1,111.0,13.0,125.0,27.0,175.0,0.94824,1.0,0.25076544284820557,0.24311882257461548,-0.007646620273590088,0.314655,0.478689,0.30796158,0.43076637,0.0,0.02801591,0.29215252
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/017.png,1,150.0,98.0,166.0,117.0,276.0,0.949092,1.0,0.2705457806587219,0.25848159193992615,-0.012064188718795776,0.438202,0.609375,0.0,0.57020915,0.0,0.30114776,0.22968797
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/018.png,1,161.0,167.0,176.0,183.0,224.0,0.950381,1.0,0.2622692584991455,0.2577321529388428,-0.004537105560302734,0.266393,0.420712,0.524735,0.78117806,0.0,0.17593366,0.52713645
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/003.png,1,155.0,103.0,182.0,133.0,574.0,0.947328,1.0,0.27023693919181824,0.26364901661872864,-0.0065879225730896,0.508197,0.673913,0.3817665,0.28149998,0.0,0.7409884,0.34441876
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/004.png,1,129.0,64.0,150.0,91.0,457.0,0.947443,1.0,0.25149333477020264,0.24826398491859436,-0.0032293498516082764,0.289548,0.449069,0.6159024,0.30032778,0.0,0.60398036,0.44266886
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/005.png,1,87.0,45.0,107.0,73.0,480.0,0.948848,1.0,0.2592279314994812,0.2562918961048126,-0.002936035394668579,0.307071,0.469861,0.6363502,0.5302806,0.0,0.63348836,0.5353046
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/006.png,1,62.0,140.0,91.0,161.0,483.0,0.950029,1.0,0.24570220708847046,0.2401576191186905,-0.005544587969779968,0.306533,0.469231,0.4545004,0.7235728,0.0,0.637233,0.521499
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/008.png,1,140.0,113.0,165.0,136.0,452.0,0.949865,1.0,0.2692151665687561,0.2698565125465393,0.0006413459777832031,0.338521,0.505814,0.8857399,0.6967261,0.0,0.5973695,0.70217407
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/009.png,1,89.0,121.0,105.0,138.0,241.0,0.947642,1.0,0.27323997020721436,0.2725513279438019,-0.0006886422634124756,0.189003,0.317919,0.7930226,0.33290085,0.0,0.21979854,0.4953553
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/010.png,1,130.0,158.0,149.0,179.0,322.0,0.948409,1.0,0.254031777381897,0.2517358064651489,-0.002295970916748047,0.175202,0.298165,0.68097097,0.45843253,0.0,0.3936712,0.50625545
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/011.png,1,142.0,93.0,161.0,111.0,306.0,0.949605,1.0,0.26138558983802795,0.26341554522514343,0.0020299553871154785,0.293605,0.453933,0.98254395,0.6541733,0.0,0.3630751,0.7074129
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/012.png,1,80.0,60.0,99.0,82.0,362.0,0.949498,1.0,0.25250712037086487,0.252244770526886,-0.00026234984397888184,0.302752,0.464789,0.8227407,0.6366625,0.0,0.46398208,0.63946337
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/014.png,1,98.0,163.0,119.0,187.0,399.0,0.947324,1.0,0.25545206665992737,0.25282761454582214,-0.0026244521141052246,0.344371,0.512315,0.6580716,0.2808464,0.0,0.52243555,0.446672
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/018.png,1,163.0,51.0,188.0,72.0,408.0,0.947532,1.0,0.25417572259902954,0.2531658411026001,-0.0010098814964294434,0.296675,0.457594,0.77062804,0.3148925,0.0,0.53583556,0.5105785
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/fold/001.png,1,108.0,180.0,133.0,197.0,341.0,0.946634,1.0,0.2649463415145874,0.2672266960144043,0.0022803544998168945,0.353028,0.521834,1.0,0.16791861,0.0,0.4280938,0.55158085
