category,image_path,component_rank,x1,y1,x2,y2,area,mean_score,max_score,clip_max_normal,clip_max_defect,clip_semantic_score,gt_iou,gt_f1,clip_semantic_score_norm,mean_score_norm,max_score_norm,area_norm,combined_score
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/004.png,1,170.0,13.0,189.0,31.0,303.0,0.916775,1.0,0.23357078433036804,0.23557709157466888,0.0020063072443008423,0.333333,0.5,0.3899568,0.7915862,1.0,0.6115404,0.6136898
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/009.png,1,20.0,182.0,40.0,202.0,342.0,0.922601,1.0,0.25127989053726196,0.2647451162338257,0.01346522569656372,0.278057,0.435125,0.7504283,0.8726582,1.0,0.6492812,0.8080512
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/009.png,2,81.0,202.0,96.0,218.0,210.0,0.892809,0.936903,0.23079383373260498,0.22913867235183716,-0.0016551613807678223,0.0,0.0,0.27477533,0.45808592,0.5168349,0.4973606,0.3853985
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/010.png,1,8.0,156.0,29.0,179.0,411.0,0.921113,1.0,0.23370425403118134,0.2329937070608139,-0.0007105469703674316,0.0,0.0,0.30449075,0.85195225,1.0,0.7065925,0.60586333
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/010.png,2,87.0,201.0,98.0,215.0,137.0,0.883969,0.922681,0.2469114363193512,0.24497166275978088,-0.0019397735595703125,0.246429,0.395415,0.26582205,0.33507293,0.40792978,0.364597,0.31414813
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/011.png,1,48.0,192.0,75.0,212.0,465.0,0.931752,1.0,0.23820167779922485,0.2407061904668808,0.002504512667655945,0.0,0.0,0.40562922,1.0,1.0,0.7451024,0.7070434
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/012.png,1,25.0,16.0,45.0,34.0,316.0,0.921194,1.0,0.23016537725925446,0.2284902036190033,-0.0016751736402511597,0.0,0.0,0.27414578,0.8530795,1.0,0.6246333,0.5844068
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/012.png,2,89.0,198.0,102.0,216.0,197.0,0.911079,0.982967,0.24943764507770538,0.25222906470298767,0.0027914196252822876,0.011673,0.023077,0.41465464,0.7123233,0.86957,0.47747722,0.5706125
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/013.png,1,32.0,171.0,74.0,203.0,1052.0,0.916948,1.0,0.22769533097743988,0.22805564105510712,0.00036031007766723633,0.0,0.0,0.33817747,0.79399407,1.0,1.0,0.63007784
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/013.png,2,184.0,191.0,198.0,207.0,208.0,0.892632,0.938296,0.2503373920917511,0.2551944851875305,0.004857093095779419,0.451264,0.621891,0.47963604,0.45562333,0.52750194,0.4943827,0.47749284
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/015.png,1,6.0,124.0,21.0,141.0,218.0,0.918026,1.0,0.24327214062213898,0.24978457391262054,0.006512433290481567,0.342776,0.510549,0.53170925,0.80899435,1.0,0.5089965,0.67331684
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/016.png,1,77.0,192.0,94.0,214.0,307.0,0.920862,1.0,0.26099342107772827,0.26483821868896484,0.0038447976112365723,0.333932,0.500673,0.44779152,0.84845954,1.0,0.61562765,0.6600298
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/020.png,1,23.0,189.0,44.0,207.0,298.0,0.922789,1.0,0.2437330186367035,0.24606038630008698,0.002327367663383484,0.136499,0.240209,0.40005663,0.87527424,1.0,0.60635495,0.647007
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/022.png,1,128.0,160.0,148.0,195.0,571.0,0.918518,1.0,0.26914119720458984,0.27013450860977173,0.0009933114051818848,0.0,0.0,0.35809025,0.8158413,1.0,0.80918646,0.62760377
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/022.png,2,87.0,80.0,100.0,101.0,206.0,0.874027,0.898646,0.2556796669960022,0.24528975784778595,-0.010389909148216248,0.0,0.0,0.0,0.19672458,0.22388203,0.4913762,0.14037943
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/022.png,3,153.0,210.0,167.0,223.0,179.0,0.921327,0.989126,0.2528385818004608,0.25328192114830017,0.00044333934783935547,0.0,0.0,0.34078938,0.8549299,0.9167326,0.447676,0.58902156
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/001.png,1,198.0,113.0,216.0,133.0,314.0,0.919291,1.0,0.24872834980487823,0.25148868560791016,0.0027603358030319214,0.562112,0.719682,0.41367683,0.8265982,1.0,0.6226544,0.6377294
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/007.png,1,2.0,104.0,68.0,124.0,973.0,0.911117,1.0,0.2474539875984192,0.26371240615844727,0.016258418560028076,0.07533,0.140105,0.8382958,0.7128525,1.0,0.97561514,0.8242931
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/009.png,1,4.0,11.0,31.0,37.0,564.0,0.92234,1.0,0.22897125780582428,0.22640424966812134,-0.002567008137702942,0.0,0.0,0.24609068,0.8690261,1.0,0.80533636,0.5954336
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/009.png,2,102.0,9.0,117.0,24.0,182.0,0.902096,0.958758,0.24647344648838043,0.244552344083786,-0.0019211024045944214,0.2589,0.411311,0.26640943,0.5873197,0.6841895,0.45284426,0.4391495
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/012.png,1,29.0,139.0,54.0,162.0,492.0,0.916662,0.980938,0.23813070356845856,0.241655170917511,0.003524467349052429,0.0,0.0,0.43771467,0.7900137,0.85403293,0.7627134,0.635151
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/012.png,2,54.0,37.0,76.0,59.0,359.0,0.920892,1.0,0.2529095709323883,0.26229578256607056,0.009386211633682251,0.273523,0.429553,0.6221118,0.8488767,1.0,0.6644065,0.7434978
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/014.png,1,10.0,78.0,34.0,106.0,502.0,0.92425,1.0,0.24853366613388062,0.2591249942779541,0.010591328144073486,0.261628,0.414747,0.660022,0.89560527,1.0,0.76899225,0.787371
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/015.png,1,82.0,11.0,106.0,33.0,436.0,0.91999,1.0,0.24502968788146973,0.25220751762390137,0.007177829742431641,0.439825,0.610942,0.55264115,0.83632493,1.0,0.7250122,0.7139035
