category,num_samples,num_train_samples,num_eval_samples,num_train_abnormal,num_train_normal,num_eval_abnormal,num_eval_normal,raw_tuned_threshold,calibrated_tuned_threshold,eval_raw_abnormal_iou,eval_raw_abnormal_f1,eval_calibrated_abnormal_iou,eval_calibrated_abnormal_f1,eval_delta_abnormal_f1,eval_raw_normal_fp_ratio,eval_calibrated_normal_fp_ratio,eval_delta_normal_fp_ratio,training_log,weight_path,config_name,max_delta,lr,identity_weight,residual_weight,normal_fp_weight,dice_weight
grid,40,20,20,14,6,14,6,0.7999999999999999,0.75,0.3686210022688658,0.518161011805415,0.36480980502152976,0.5132212378651884,-0.0049397739402265994,0.02820405505952381,0.02473626169217687,-0.0034677933673469413,results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/grid/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/grid/conservative_residual_calibrator.pth,cfg01_baseline,0.1,0.0005,2.0,1.0,1.0,1.0
screw,81,40,41,30,10,30,11,0.85,0.7999999999999999,0.2899362469415336,0.4146124896060946,0.29304303272836313,0.4180709874686814,0.0034584978625867846,0.01769226866883117,0.01725200023191095,-0.00044026843692022283,results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/screw/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/screw/conservative_residual_calibrator.pth,cfg01_baseline,0.1,0.0005,2.0,1.0,1.0,1.0
leather,62,31,31,23,8,23,8,0.9,0.85,0.35708128685972873,0.5155601815015897,0.35787462462051517,0.5156429582609434,8.277675935375317e-05,0.00582698899872449,0.00750358737244898,0.0016765983737244894,results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/leather/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/leather/conservative_residual_calibrator.pth,cfg01_baseline,0.1,0.0005,2.0,1.0,1.0,1.0
wood,40,20,20,15,5,15,5,0.75,0.7,0.4464616836770947,0.6018708959099787,0.4577508556022177,0.6113946029756144,0.009523707065635767,0.048604910714285715,0.058115433673469385,0.00951052295918367,results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/wood/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/wood/conservative_residual_calibrator.pth,cfg01_baseline,0.1,0.0005,2.0,1.0,1.0,1.0
grid,40,20,20,14,6,14,6,0.7999999999999999,0.7999999999999999,0.3686210022688658,0.518161011805415,0.3528587942562576,0.4997167583568501,-0.018444253448564873,0.02820405505952381,0.01805311968537415,-0.010150935374149662,results/analysis/conservative_residual_calibration_sweep/cfg02_smaller_delta/MVTecAD/grid/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg02_smaller_delta/MVTecAD/grid/conservative_residual_calibrator.pth,cfg02_smaller_delta,0.05,0.0005,2.0,1.0,1.0,1.0
screw,81,40,41,30,10,30,11,0.85,0.7999999999999999,0.2899362469415336,0.4146124896060946,0.2801999273583274,0.40157204785492534,-0.013040441751169252,0.01769226866883117,0.024905061456400746,0.007212792787569575,results/analysis/conservative_residual_calibration_sweep/cfg02_smaller_delta/MVTecAD/screw/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg02_smaller_delta/MVTecAD/screw/conservative_residual_calibrator.pth,cfg02_smaller_delta,0.05,0.0005,2.0,1.0,1.0,1.0
leather,62,31,31,23,8,23,8,0.9,0.85,0.35708128685972873,0.5155601815015897,0.3524266158691521,0.5078563310479337,-0.007703850453655958,0.00582698899872449,0.00996990593112245,0.004142916932397959,results/analysis/conservative_residual_calibration_sweep/cfg02_smaller_delta/MVTecAD/leather/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg02_smaller_delta/MVTecAD/leather/conservative_residual_calibrator.pth,cfg02_smaller_delta,0.05,0.0005,2.0,1.0,1.0,1.0
wood,40,20,20,15,5,15,5,0.75,0.7,0.4464616836770947,0.6018708959099787,0.45895714814711436,0.6115634862334242,0.009692590323445494,0.048604910714285715,0.07134486607142858,0.022739955357142863,results/analysis/conservative_residual_calibration_sweep/cfg02_smaller_delta/MVTecAD/wood/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg02_smaller_delta/MVTecAD/wood/conservative_residual_calibrator.pth,cfg02_smaller_delta,0.05,0.0005,2.0,1.0,1.0,1.0
grid,40,20,20,14,6,14,6,0.7999999999999999,0.7,0.3686210022688658,0.518161011805415,0.37229740244718285,0.5226931799705673,0.004532168165152339,0.02820405505952381,0.03515292835884353,0.0069488732993197196,results/analysis/conservative_residual_calibration_sweep/cfg03_larger_delta/MVTecAD/grid/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg03_larger_delta/MVTecAD/grid/conservative_residual_calibrator.pth,cfg03_larger_delta,0.15,0.0005,2.0,1.0,1.0,1.0
screw,81,40,41,30,10,30,11,0.85,0.7999999999999999,0.2899362469415336,0.4146124896060946,0.2982193805119484,0.42474656645217157,0.010134076846076978,0.01769226866883117,0.014860418599257885,-0.0028318500695732867,results/analysis/conservative_residual_calibration_sweep/cfg03_larger_delta/MVTecAD/screw/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg03_larger_delta/MVTecAD/screw/conservative_residual_calibrator.pth,cfg03_larger_delta,0.15,0.0005,2.0,1.0,1.0,1.0
