defect_type,support,tp,fp,fn,precision,recall,f1,strategy,category
bent,12,0,4,12,0.0,0.0,0.0,category_aware,grid
broken,12,9,24,3,0.2727272727272727,0.75,0.4,category_aware,grid
glue,11,0,0,11,0.0,0.0,0.0,category_aware,grid
metal_contamination,11,4,5,7,0.4444444444444444,0.36363636363636365,0.4,category_aware,grid
thread,11,1,10,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,category_aware,grid
color,19,19,57,0,0.25,1.0,0.4,category_aware,leather
cut,19,0,11,19,0.0,0.0,0.0,category_aware,leather
fold,17,0,0,17,0.0,0.0,0.0,category_aware,leather
glue,19,0,0,19,0.0,0.0,0.0,category_aware,leather
poke,18,1,4,17,0.2,0.05555555555555555,0.08695652173913043,category_aware,leather
manipulated_front,24,1,7,23,0.125,0.041666666666666664,0.0625,category_aware,screw
scratch_head,24,0,0,24,0.0,0.0,0.0,category_aware,screw
scratch_neck,25,24,87,1,0.21621621621621623,0.96,0.35294117647058826,category_aware,screw
thread_side,23,0,0,23,0.0,0.0,0.0,category_aware,screw
thread_top,23,0,0,23,0.0,0.0,0.0,category_aware,screw
color,8,5,14,3,0.2631578947368421,0.625,0.37037037037037035,category_aware,wood
combined,11,0,1,11,0.0,0.0,0.0,category_aware,wood
hole,10,1,3,9,0.25,0.1,0.14285714285714285,category_aware,wood
liquid,10,0,0,10,0.0,0.0,0.0,category_aware,wood
scratch,21,18,18,3,0.5,0.8571428571428571,0.631578947368421,category_aware,wood
