defect_type,support,tp,fp,fn,precision,recall,f1,strategy,category
bent,12,3,18,9,0.14285714285714285,0.25,0.18181818181818182,manufacturing_aware,grid
broken,12,2,12,10,0.14285714285714285,0.16666666666666666,0.15384615384615385,manufacturing_aware,grid
glue,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,grid
metal_contamination,11,0,3,11,0.0,0.0,0.0,manufacturing_aware,grid
thread,11,3,16,8,0.15789473684210525,0.2727272727272727,0.2,manufacturing_aware,grid
color,19,19,64,0,0.2289156626506024,1.0,0.37254901960784315,manufacturing_aware,leather
cut,19,0,0,19,0.0,0.0,0.0,manufacturing_aware,leather
fold,17,0,0,17,0.0,0.0,0.0,manufacturing_aware,leather
glue,19,0,9,19,0.0,0.0,0.0,manufacturing_aware,leather
poke,18,0,0,18,0.0,0.0,0.0,manufacturing_aware,leather
manipulated_front,24,0,1,24,0.0,0.0,0.0,manufacturing_aware,screw
scratch_head,24,0,1,24,0.0,0.0,0.0,manufacturing_aware,screw
scratch_neck,25,22,84,3,0.20754716981132076,0.88,0.33587786259541985,manufacturing_aware,screw
thread_side,23,0,1,23,0.0,0.0,0.0,manufacturing_aware,screw
thread_top,23,1,9,22,0.1,0.043478260869565216,0.06060606060606061,manufacturing_aware,screw
color,8,4,0,4,1.0,0.5,0.6666666666666666,manufacturing_aware,wood
combined,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,wood
hole,10,7,10,3,0.4117647058823529,0.7,0.5185185185185185,manufacturing_aware,wood
liquid,10,0,0,10,0.0,0.0,0.0,manufacturing_aware,wood
scratch,21,21,18,0,0.5384615384615384,1.0,0.7,manufacturing_aware,wood
