defect_type,support,tp,fp,fn,precision,recall,f1,strategy,image_mode,category
bent,12,0,0,12,0.0,0.0,0.0,generic,full,grid
broken,12,0,2,12,0.0,0.0,0.0,generic,full,grid
glue,11,0,0,11,0.0,0.0,0.0,generic,full,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,generic,full,grid
thread,11,11,44,0,0.2,1.0,0.3333333333333333,generic,full,grid
color,19,18,38,1,0.32142857142857145,0.9473684210526315,0.48,generic,full,leather
cut,19,4,24,15,0.14285714285714285,0.21052631578947367,0.1702127659574468,generic,full,leather
fold,17,0,0,17,0.0,0.0,0.0,generic,full,leather
glue,19,0,5,19,0.0,0.0,0.0,generic,full,leather
poke,18,2,1,16,0.6666666666666666,0.1111111111111111,0.19047619047619047,generic,full,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,generic,full,screw
scratch_head,24,0,0,24,0.0,0.0,0.0,generic,full,screw
scratch_neck,25,11,29,14,0.275,0.44,0.3384615384615385,generic,full,screw
thread_side,23,1,9,22,0.1,0.043478260869565216,0.06060606060606061,generic,full,screw
thread_top,23,15,54,8,0.21739130434782608,0.6521739130434783,0.32608695652173914,generic,full,screw
color,8,3,0,5,1.0,0.375,0.5454545454545454,generic,full,wood
combined,11,0,0,11,0.0,0.0,0.0,generic,full,wood
hole,10,0,1,10,0.0,0.0,0.0,generic,full,wood
liquid,10,0,0,10,0.0,0.0,0.0,generic,full,wood
scratch,21,21,35,0,0.375,1.0,0.5454545454545454,generic,full,wood
bent,12,0,1,12,0.0,0.0,0.0,generic,crop_top1,grid
broken,12,0,3,12,0.0,0.0,0.0,generic,crop_top1,grid
glue,11,0,0,11,0.0,0.0,0.0,generic,crop_top1,grid
metal_contamination,11,0,1,11,0.0,0.0,0.0,generic,crop_top1,grid
thread,11,10,42,1,0.19230769230769232,0.9090909090909091,0.31746031746031744,generic,crop_top1,grid
color,19,18,39,1,0.3157894736842105,0.9473684210526315,0.47368421052631576,generic,crop_top1,leather
cut,19,5,26,14,0.16129032258064516,0.2631578947368421,0.2,generic,crop_top1,leather
fold,17,0,0,17,0.0,0.0,0.0,generic,crop_top1,leather
glue,19,0,2,19,0.0,0.0,0.0,generic,crop_top1,leather
poke,18,0,2,18,0.0,0.0,0.0,generic,crop_top1,leather
manipulated_front,24,1,3,23,0.25,0.041666666666666664,0.07142857142857142,generic,crop_top1,screw
scratch_head,24,5,13,19,0.2777777777777778,0.20833333333333334,0.23809523809523808,generic,crop_top1,screw
scratch_neck,25,10,29,15,0.2564102564102564,0.4,0.3125,generic,crop_top1,screw
thread_side,23,2,9,21,0.18181818181818182,0.08695652173913043,0.11764705882352941,generic,crop_top1,screw
thread_top,23,13,34,10,0.2765957446808511,0.5652173913043478,0.37142857142857144,generic,crop_top1,screw
color,8,4,0,4,1.0,0.5,0.6666666666666666,generic,crop_top1,wood
combined,11,0,2,11,0.0,0.0,0.0,generic,crop_top1,wood
hole,10,4,4,6,0.5,0.4,0.4444444444444444,generic,crop_top1,wood
liquid,10,0,0,10,0.0,0.0,0.0,generic,crop_top1,wood
scratch,21,19,27,2,0.41304347826086957,0.9047619047619048,0.5671641791044776,generic,crop_top1,wood
bent,12,0,4,12,0.0,0.0,0.0,category_aware,full,grid
broken,12,9,24,3,0.2727272727272727,0.75,0.4,category_aware,full,grid
glue,11,0,0,11,0.0,0.0,0.0,category_aware,full,grid
metal_contamination,11,4,5,7,0.4444444444444444,0.36363636363636365,0.4,category_aware,full,grid
thread,11,1,10,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,category_aware,full,grid
color,19,19,57,0,0.25,1.0,0.4,category_aware,full,leather
cut,19,0,11,19,0.0,0.0,0.0,category_aware,full,leather
fold,17,0,0,17,0.0,0.0,0.0,category_aware,full,leather
glue,19,0,0,19,0.0,0.0,0.0,category_aware,full,leather
poke,18,1,4,17,0.2,0.05555555555555555,0.08695652173913043,category_aware,full,leather
manipulated_front,24,1,7,23,0.125,0.041666666666666664,0.0625,category_aware,full,screw
scratch_head,24,0,0,24,0.0,0.0,0.0,category_aware,full,screw
scratch_neck,25,24,87,1,0.21621621621621623,0.96,0.35294117647058826,category_aware,full,screw
thread_side,23,0,0,23,0.0,0.0,0.0,category_aware,full,screw
thread_top,23,0,0,23,0.0,0.0,0.0,category_aware,full,screw
color,8,5,14,3,0.2631578947368421,0.625,0.37037037037037035,category_aware,full,wood
combined,11,0,1,11,0.0,0.0,0.0,category_aware,full,wood
hole,10,1,3,9,0.25,0.1,0.14285714285714285,category_aware,full,wood
liquid,10,0,0,10,0.0,0.0,0.0,category_aware,full,wood
scratch,21,18,18,3,0.5,0.8571428571428571,0.631578947368421,category_aware,full,wood
bent,12,2,6,10,0.25,0.16666666666666666,0.2,category_aware,crop_top1,grid
broken,12,7,11,5,0.3888888888888889,0.5833333333333334,0.4666666666666667,category_aware,crop_top1,grid
glue,11,0,0,11,0.0,0.0,0.0,category_aware,crop_top1,grid
metal_contamination,11,5,13,6,0.2777777777777778,0.45454545454545453,0.3448275862068966,category_aware,crop_top1,grid
thread,11,2,11,9,0.15384615384615385,0.18181818181818182,0.16666666666666666,category_aware,crop_top1,grid
color,19,19,60,0,0.24050632911392406,1.0,0.3877551020408163,category_aware,crop_top1,leather
cut,19,0,11,19,0.0,0.0,0.0,category_aware,crop_top1,leather
fold,17,0,0,17,0.0,0.0,0.0,category_aware,crop_top1,leather
glue,19,0,0,19,0.0,0.0,0.0,category_aware,crop_top1,leather
poke,18,0,2,18,0.0,0.0,0.0,category_aware,crop_top1,leather
manipulated_front,24,1,6,23,0.14285714285714285,0.041666666666666664,0.06451612903225806,category_aware,crop_top1,screw
scratch_head,24,7,31,17,0.18421052631578946,0.2916666666666667,0.22580645161290322,category_aware,crop_top1,screw
scratch_neck,25,15,59,10,0.20270270270270271,0.6,0.30303030303030304,category_aware,crop_top1,screw
thread_side,23,0,0,23,0.0,0.0,0.0,category_aware,crop_top1,screw
thread_top,23,0,0,23,0.0,0.0,0.0,category_aware,crop_top1,screw
color,8,5,10,3,0.3333333333333333,0.625,0.43478260869565216,category_aware,crop_top1,wood
combined,11,0,3,11,0.0,0.0,0.0,category_aware,crop_top1,wood
hole,10,5,9,5,0.35714285714285715,0.5,0.4166666666666667,category_aware,crop_top1,wood
liquid,10,0,0,10,0.0,0.0,0.0,category_aware,crop_top1,wood
scratch,21,16,12,5,0.5714285714285714,0.7619047619047619,0.6530612244897959,category_aware,crop_top1,wood
bent,12,3,18,9,0.14285714285714285,0.25,0.18181818181818182,manufacturing_aware,full,grid
broken,12,2,12,10,0.14285714285714285,0.16666666666666666,0.15384615384615385,manufacturing_aware,full,grid
glue,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,full,grid
metal_contamination,11,0,3,11,0.0,0.0,0.0,manufacturing_aware,full,grid
thread,11,3,16,8,0.15789473684210525,0.2727272727272727,0.2,manufacturing_aware,full,grid
color,19,19,64,0,0.2289156626506024,1.0,0.37254901960784315,manufacturing_aware,full,leather
cut,19,0,0,19,0.0,0.0,0.0,manufacturing_aware,full,leather
fold,17,0,0,17,0.0,0.0,0.0,manufacturing_aware,full,leather
glue,19,0,9,19,0.0,0.0,0.0,manufacturing_aware,full,leather
poke,18,0,0,18,0.0,0.0,0.0,manufacturing_aware,full,leather
manipulated_front,24,0,1,24,0.0,0.0,0.0,manufacturing_aware,full,screw
scratch_head,24,0,1,24,0.0,0.0,0.0,manufacturing_aware,full,screw
scratch_neck,25,22,84,3,0.20754716981132076,0.88,0.33587786259541985,manufacturing_aware,full,screw
thread_side,23,0,1,23,0.0,0.0,0.0,manufacturing_aware,full,screw
thread_top,23,1,9,22,0.1,0.043478260869565216,0.06060606060606061,manufacturing_aware,full,screw
color,8,4,0,4,1.0,0.5,0.6666666666666666,manufacturing_aware,full,wood
combined,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,full,wood
hole,10,7,10,3,0.4117647058823529,0.7,0.5185185185185185,manufacturing_aware,full,wood
liquid,10,0,0,10,0.0,0.0,0.0,manufacturing_aware,full,wood
scratch,21,21,18,0,0.5384615384615384,1.0,0.7,manufacturing_aware,full,wood
bent,12,7,22,5,0.2413793103448276,0.5833333333333334,0.34146341463414637,manufacturing_aware,crop_top1,grid
broken,12,1,5,11,0.16666666666666666,0.08333333333333333,0.1111111111111111,manufacturing_aware,crop_top1,grid
glue,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,crop_top1,grid
metal_contamination,11,1,7,10,0.125,0.09090909090909091,0.10526315789473684,manufacturing_aware,crop_top1,grid
thread,11,3,11,8,0.21428571428571427,0.2727272727272727,0.24,manufacturing_aware,crop_top1,grid
color,19,19,64,0,0.2289156626506024,1.0,0.37254901960784315,manufacturing_aware,crop_top1,leather
cut,19,0,0,19,0.0,0.0,0.0,manufacturing_aware,crop_top1,leather
fold,17,0,0,17,0.0,0.0,0.0,manufacturing_aware,crop_top1,leather
glue,19,0,9,19,0.0,0.0,0.0,manufacturing_aware,crop_top1,leather
poke,18,0,0,18,0.0,0.0,0.0,manufacturing_aware,crop_top1,leather
manipulated_front,24,2,4,22,0.3333333333333333,0.08333333333333333,0.13333333333333333,manufacturing_aware,crop_top1,screw
scratch_head,24,4,21,20,0.16,0.16666666666666666,0.16326530612244897,manufacturing_aware,crop_top1,screw
scratch_neck,25,20,62,5,0.24390243902439024,0.8,0.37383177570093457,manufacturing_aware,crop_top1,screw
thread_side,23,0,0,23,0.0,0.0,0.0,manufacturing_aware,crop_top1,screw
thread_top,23,0,6,23,0.0,0.0,0.0,manufacturing_aware,crop_top1,screw
color,8,4,1,4,0.8,0.5,0.6153846153846154,manufacturing_aware,crop_top1,wood
combined,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,crop_top1,wood
hole,10,7,18,3,0.28,0.7,0.4,manufacturing_aware,crop_top1,wood
liquid,10,0,0,10,0.0,0.0,0.0,manufacturing_aware,crop_top1,wood
scratch,21,18,12,3,0.6,0.8571428571428571,0.7058823529411765,manufacturing_aware,crop_top1,wood
