strategy,image_mode,category,num_images,num_defect_types,fallback_count,top1_accuracy,top2_accuracy,macro_f1
generic,full,grid,57,5,0,0.19298245614035087,0.40350877192982454,0.06666666666666667
generic,full,leather,92,5,0,0.2608695652173913,0.41304347826086957,0.16813779128672746
generic,full,screw,119,5,0,0.226890756302521,0.453781512605042,0.14503091111786764
generic,full,wood,60,5,0,0.4,0.5166666666666667,0.21818181818181817
generic,crop_top1,grid,57,5,29,0.17543859649122806,0.45614035087719296,0.06349206349206349
generic,crop_top1,leather,92,5,46,0.25,0.3804347826086957,0.13473684210526315
generic,crop_top1,screw,119,5,59,0.2605042016806723,0.5294117647058824,0.22221988795518208
generic,crop_top1,wood,60,5,30,0.45,0.5833333333333334,0.33565505804311774
category_aware,full,grid,57,5,0,0.24561403508771928,0.43859649122807015,0.1781818181818182
category_aware,full,leather,92,5,0,0.21739130434782608,0.391304347826087,0.09739130434782609
category_aware,full,screw,119,5,0,0.21008403361344538,0.3865546218487395,0.08308823529411766
category_aware,full,wood,60,5,0,0.4,0.5,0.22896129211918687
category_aware,crop_top1,grid,57,5,29,0.2807017543859649,0.45614035087719296,0.23563218390804602
category_aware,crop_top1,leather,92,5,46,0.20652173913043478,0.358695652173913,0.07755102040816327
category_aware,crop_top1,screw,119,5,59,0.19327731092436976,0.42016806722689076,0.11867057673509285
category_aware,crop_top1,wood,60,5,30,0.43333333333333335,0.55,0.30090209997042294
manufacturing_aware,full,grid,57,5,0,0.14035087719298245,0.43859649122807015,0.10713286713286714
manufacturing_aware,full,leather,92,5,0,0.20652173913043478,0.41304347826086957,0.07450980392156863
manufacturing_aware,full,screw,119,5,0,0.19327731092436976,0.4117647058823529,0.07929678464029609
manufacturing_aware,full,wood,60,5,0,0.5333333333333333,0.5833333333333334,0.377037037037037
manufacturing_aware,crop_top1,grid,57,5,29,0.21052631578947367,0.42105263157894735,0.15956753672799887
manufacturing_aware,crop_top1,leather,92,5,46,0.20652173913043478,0.41304347826086957,0.07450980392156863
manufacturing_aware,crop_top1,screw,119,5,59,0.2184873949579832,0.4369747899159664,0.13408608303134337
manufacturing_aware,crop_top1,wood,60,5,30,0.48333333333333334,0.6,0.3442533936651584
generic,crop_top1,MEAN,328,20,164,0.2839856995429751,0.48733005788127615,0.1890259628989066
manufacturing_aware,crop_top1,MEAN,328,20,164,0.27971719580280624,0.4677677249389458,0.1781042043365173
category_aware,crop_top1,MEAN,328,20,164,0.2784585344435257,0.4462510175694992,0.18318897025543127
generic,full,MEAN,328,20,0,0.2701856944150658,0.4467501073656007,0.14950429681327
manufacturing_aware,full,MEAN,328,20,0,0.26837081514528005,0.46168450217615653,0.1594941231829422
category_aware,full,MEAN,328,20,0,0.2682723432622477,0.42911386522572414,0.14690566248573722
