defect_type,support,tp,fp,fn,precision,recall,f1,strategy,image_mode,category
bent,12,0,0,12,0.0,0.0,0.0,generic,full,grid
broken,12,0,2,12,0.0,0.0,0.0,generic,full,grid
glue,11,0,0,11,0.0,0.0,0.0,generic,full,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,generic,full,grid
thread,11,11,44,0,0.2,1.0,0.3333333333333333,generic,full,grid
color,19,18,38,1,0.32142857142857145,0.9473684210526315,0.48,generic,full,leather
cut,19,4,24,15,0.14285714285714285,0.21052631578947367,0.1702127659574468,generic,full,leather
fold,17,0,0,17,0.0,0.0,0.0,generic,full,leather
glue,19,0,5,19,0.0,0.0,0.0,generic,full,leather
poke,18,2,1,16,0.6666666666666666,0.1111111111111111,0.19047619047619047,generic,full,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,generic,full,screw
scratch_head,24,0,0,24,0.0,0.0,0.0,generic,full,screw
scratch_neck,25,11,29,14,0.275,0.44,0.3384615384615385,generic,full,screw
thread_side,23,1,9,22,0.1,0.043478260869565216,0.06060606060606061,generic,full,screw
thread_top,23,15,54,8,0.21739130434782608,0.6521739130434783,0.32608695652173914,generic,full,screw
color,8,3,0,5,1.0,0.375,0.5454545454545454,generic,full,wood
combined,11,0,0,11,0.0,0.0,0.0,generic,full,wood
hole,10,0,1,10,0.0,0.0,0.0,generic,full,wood
liquid,10,0,0,10,0.0,0.0,0.0,generic,full,wood
scratch,21,21,35,0,0.375,1.0,0.5454545454545454,generic,full,wood
bent,12,0,14,12,0.0,0.0,0.0,generic,gt_crop,grid
broken,12,0,1,12,0.0,0.0,0.0,generic,gt_crop,grid
glue,11,2,0,9,1.0,0.18181818181818182,0.3076923076923077,generic,gt_crop,grid
metal_contamination,11,0,5,11,0.0,0.0,0.0,generic,gt_crop,grid
thread,11,11,24,0,0.3142857142857143,1.0,0.4782608695652174,generic,gt_crop,grid
color,19,15,17,4,0.46875,0.7894736842105263,0.5882352941176471,generic,gt_crop,leather
cut,19,12,42,7,0.2222222222222222,0.631578947368421,0.3287671232876712,generic,gt_crop,leather
fold,17,0,0,17,0.0,0.0,0.0,generic,gt_crop,leather
glue,19,2,1,17,0.6666666666666666,0.10526315789473684,0.18181818181818182,generic,gt_crop,leather
poke,18,0,3,18,0.0,0.0,0.0,generic,gt_crop,leather
manipulated_front,24,0,3,24,0.0,0.0,0.0,generic,gt_crop,screw
scratch_head,24,21,75,3,0.21875,0.875,0.35,generic,gt_crop,screw
scratch_neck,25,4,13,21,0.23529411764705882,0.16,0.19047619047619047,generic,gt_crop,screw
thread_side,23,1,1,22,0.5,0.043478260869565216,0.08,generic,gt_crop,screw
thread_top,23,0,1,23,0.0,0.0,0.0,generic,gt_crop,screw
color,8,2,2,6,0.5,0.25,0.3333333333333333,generic,gt_crop,wood
combined,11,0,1,11,0.0,0.0,0.0,generic,gt_crop,wood
hole,10,1,2,9,0.3333333333333333,0.1,0.15384615384615385,generic,gt_crop,wood
liquid,10,1,0,9,1.0,0.1,0.18181818181818182,generic,gt_crop,wood
scratch,21,20,31,1,0.39215686274509803,0.9523809523809523,0.5555555555555556,generic,gt_crop,wood
bent,12,0,4,12,0.0,0.0,0.0,category_aware,full,grid
broken,12,9,24,3,0.2727272727272727,0.75,0.4,category_aware,full,grid
glue,11,0,0,11,0.0,0.0,0.0,category_aware,full,grid
metal_contamination,11,4,5,7,0.4444444444444444,0.36363636363636365,0.4,category_aware,full,grid
thread,11,1,10,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,category_aware,full,grid
color,19,19,57,0,0.25,1.0,0.4,category_aware,full,leather
cut,19,0,11,19,0.0,0.0,0.0,category_aware,full,leather
fold,17,0,0,17,0.0,0.0,0.0,category_aware,full,leather
glue,19,0,0,19,0.0,0.0,0.0,category_aware,full,leather
poke,18,1,4,17,0.2,0.05555555555555555,0.08695652173913043,category_aware,full,leather
manipulated_front,24,1,7,23,0.125,0.041666666666666664,0.0625,category_aware,full,screw
scratch_head,24,0,0,24,0.0,0.0,0.0,category_aware,full,screw
scratch_neck,25,24,87,1,0.21621621621621623,0.96,0.35294117647058826,category_aware,full,screw
thread_side,23,0,0,23,0.0,0.0,0.0,category_aware,full,screw
thread_top,23,0,0,23,0.0,0.0,0.0,category_aware,full,screw
color,8,5,14,3,0.2631578947368421,0.625,0.37037037037037035,category_aware,full,wood
combined,11,0,1,11,0.0,0.0,0.0,category_aware,full,wood
hole,10,1,3,9,0.25,0.1,0.14285714285714285,category_aware,full,wood
liquid,10,0,0,10,0.0,0.0,0.0,category_aware,full,wood
scratch,21,18,18,3,0.5,0.8571428571428571,0.631578947368421,category_aware,full,wood
bent,12,2,3,10,0.4,0.16666666666666666,0.23529411764705882,category_aware,gt_crop,grid
broken,12,1,2,11,0.3333333333333333,0.08333333333333333,0.13333333333333333,category_aware,gt_crop,grid
glue,11,2,2,9,0.5,0.18181818181818182,0.26666666666666666,category_aware,gt_crop,grid
metal_contamination,11,5,32,6,0.13513513513513514,0.45454545454545453,0.20833333333333334,category_aware,gt_crop,grid
thread,11,5,3,6,0.625,0.45454545454545453,0.5263157894736842,category_aware,gt_crop,grid
color,19,19,35,0,0.35185185185185186,1.0,0.5205479452054794,category_aware,gt_crop,leather
cut,19,7,29,12,0.19444444444444445,0.3684210526315789,0.2545454545454545,category_aware,gt_crop,leather
fold,17,0,0,17,0.0,0.0,0.0,category_aware,gt_crop,leather
glue,19,0,2,19,0.0,0.0,0.0,category_aware,gt_crop,leather
poke,18,0,0,18,0.0,0.0,0.0,category_aware,gt_crop,leather
manipulated_front,24,0,3,24,0.0,0.0,0.0,category_aware,gt_crop,screw
scratch_head,24,22,81,2,0.21359223300970873,0.9166666666666666,0.3464566929133858,category_aware,gt_crop,screw
scratch_neck,25,1,12,24,0.07692307692307693,0.04,0.05263157894736842,category_aware,gt_crop,screw
thread_side,23,0,0,23,0.0,0.0,0.0,category_aware,gt_crop,screw
thread_top,23,0,0,23,0.0,0.0,0.0,category_aware,gt_crop,screw
color,8,5,12,3,0.29411764705882354,0.625,0.4,category_aware,gt_crop,wood
combined,11,0,2,11,0.0,0.0,0.0,category_aware,gt_crop,wood
hole,10,6,5,4,0.5454545454545454,0.6,0.5714285714285714,category_aware,gt_crop,wood
liquid,10,1,1,9,0.5,0.1,0.16666666666666666,category_aware,gt_crop,wood
scratch,21,15,13,6,0.5357142857142857,0.7142857142857143,0.6122448979591837,category_aware,gt_crop,wood
bent,12,3,18,9,0.14285714285714285,0.25,0.18181818181818182,manufacturing_aware,full,grid
broken,12,2,12,10,0.14285714285714285,0.16666666666666666,0.15384615384615385,manufacturing_aware,full,grid
glue,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,full,grid
metal_contamination,11,0,3,11,0.0,0.0,0.0,manufacturing_aware,full,grid
thread,11,3,16,8,0.15789473684210525,0.2727272727272727,0.2,manufacturing_aware,full,grid
color,19,19,64,0,0.2289156626506024,1.0,0.37254901960784315,manufacturing_aware,full,leather
cut,19,0,0,19,0.0,0.0,0.0,manufacturing_aware,full,leather
fold,17,0,0,17,0.0,0.0,0.0,manufacturing_aware,full,leather
glue,19,0,9,19,0.0,0.0,0.0,manufacturing_aware,full,leather
poke,18,0,0,18,0.0,0.0,0.0,manufacturing_aware,full,leather
manipulated_front,24,0,1,24,0.0,0.0,0.0,manufacturing_aware,full,screw
scratch_head,24,0,1,24,0.0,0.0,0.0,manufacturing_aware,full,screw
scratch_neck,25,22,84,3,0.20754716981132076,0.88,0.33587786259541985,manufacturing_aware,full,screw
thread_side,23,0,1,23,0.0,0.0,0.0,manufacturing_aware,full,screw
thread_top,23,1,9,22,0.1,0.043478260869565216,0.06060606060606061,manufacturing_aware,full,screw
color,8,4,0,4,1.0,0.5,0.6666666666666666,manufacturing_aware,full,wood
combined,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,full,wood
hole,10,7,10,3,0.4117647058823529,0.7,0.5185185185185185,manufacturing_aware,full,wood
liquid,10,0,0,10,0.0,0.0,0.0,manufacturing_aware,full,wood
scratch,21,21,18,0,0.5384615384615384,1.0,0.7,manufacturing_aware,full,wood
bent,12,5,19,7,0.20833333333333334,0.4166666666666667,0.2777777777777778,manufacturing_aware,gt_crop,grid
broken,12,1,1,11,0.5,0.08333333333333333,0.14285714285714285,manufacturing_aware,gt_crop,grid
glue,11,1,0,10,1.0,0.09090909090909091,0.16666666666666666,manufacturing_aware,gt_crop,grid
metal_contamination,11,3,13,8,0.1875,0.2727272727272727,0.2222222222222222,manufacturing_aware,gt_crop,grid
thread,11,7,7,4,0.5,0.6363636363636364,0.56,manufacturing_aware,gt_crop,grid
color,19,16,35,3,0.3137254901960784,0.8421052631578947,0.45714285714285713,manufacturing_aware,gt_crop,leather
cut,19,0,23,19,0.0,0.0,0.0,manufacturing_aware,gt_crop,leather
fold,17,0,1,17,0.0,0.0,0.0,manufacturing_aware,gt_crop,leather
glue,19,0,17,19,0.0,0.0,0.0,manufacturing_aware,gt_crop,leather
poke,18,0,0,18,0.0,0.0,0.0,manufacturing_aware,gt_crop,leather
manipulated_front,24,1,18,23,0.05263157894736842,0.041666666666666664,0.046511627906976744,manufacturing_aware,gt_crop,screw
scratch_head,24,13,58,11,0.18309859154929578,0.5416666666666666,0.2736842105263158,manufacturing_aware,gt_crop,screw
scratch_neck,25,3,25,22,0.10714285714285714,0.12,0.11320754716981132,manufacturing_aware,gt_crop,screw
thread_side,23,0,1,23,0.0,0.0,0.0,manufacturing_aware,gt_crop,screw
thread_top,23,0,0,23,0.0,0.0,0.0,manufacturing_aware,gt_crop,screw
color,8,4,4,4,0.5,0.5,0.5,manufacturing_aware,gt_crop,wood
combined,11,0,0,11,0.0,0.0,0.0,manufacturing_aware,gt_crop,wood
hole,10,6,8,4,0.42857142857142855,0.6,0.5,manufacturing_aware,gt_crop,wood
liquid,10,0,0,10,0.0,0.0,0.0,manufacturing_aware,gt_crop,wood
scratch,21,20,18,1,0.5263157894736842,0.9523809523809523,0.6779661016949152,manufacturing_aware,gt_crop,wood
