category,image_path,threshold,x1,y1,x2,y2,area,mean_score,max_score,gt_iou,gt_f1,stability,bbox_width,bbox_height,bbox_area,fill_ratio,aspect_ratio,aspect_score,relative_area,inside_mean,inside_max,inside_std,ring_mean,ring_max,local_contrast,peak_contrast,peak_margin,component_rank,mean_score_norm,max_score_norm,inside_mean_norm,inside_max_norm,inside_std_norm,local_contrast_norm,peak_contrast_norm,peak_margin_norm,stability_norm,fill_ratio_norm,aspect_score_norm,relative_area_norm,area_penalty_norm
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,0.7,143,14,180,50,1084,0.8359498381614685,1.0,0.20662949194547708,0.3424903722721438,0.8318397469688982,38,37,1406,0.7709815078236131,1.027027027027027,0.9740244746460663,0.021603954081632654,0.8359498381614685,1.0,0.08605630695819855,0.5534636974334717,0.6997600793838501,0.2824861407279968,0.4465363025665283,0.3002399206161499,1,0.8261627,1.0,0.8261627,1.0,0.97603,0.55891836,0.6800687,0.9979219,0.8551903,0.8654005,0.9519472,0.08034851,0.9196515
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,0.7,65,77,106,110,994,0.7635343074798584,0.8283133506774902,0.3536108146567058,0.5224704336399474,0.6882724920954297,42,34,1428,0.696078431372549,1.2352941176470589,0.8255531187110351,0.019810267857142856,0.7635343074798584,0.8283133506774902,0.03576932102441788,0.5658954381942749,0.6998863816261292,0.1976388692855835,0.26241791248321533,0.12842696905136108,2,0.361188,0.40001217,0.361188,0.40001217,0.3775391,0.32359058,0.33128613,0.40815437,0.38371536,0.7059497,0.67728627,0.073088095,0.9269119
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,0.7,25,50,53,81,738,0.828579843044281,0.999125063419342,0.09717514124293786,0.17713697219361482,0.8155245838172667,29,32,928,0.7952586206896551,0.90625,0.9103819359383581,0.014708227040816327,0.828579843044281,0.999125063419342,0.08698603510856628,0.5513466000556946,0.6996776461601257,0.2772332429885864,0.44777846336364746,0.2994474172592163,1,0.7788405,0.9969424,0.7788405,0.9969424,0.9870951,0.5443492,0.68242174,0.9952015,0.8016113,0.91708076,0.8342132,0.05243627,0.9475637
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,0.7,105,119,137,155,905,0.8226156234741211,1.0,0.07663197729422895,0.14235500878734622,0.8042620363062352,33,37,1221,0.7411957411957412,0.8918918918918919,0.8973355272078802,0.018036511479591837,0.8226156234741211,1.0,0.08636471629142761,0.5630909204483032,0.6998798251152039,0.25952470302581787,0.4369090795516968,0.30012017488479614,2,0.7405447,1.0,0.7405447,1.0,0.9797005,0.49523377,0.66183144,0.99751085,0.76462513,0.8019937,0.8100784,0.06590836,0.9340916
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,0.7,129,35,152,56,427,0.777914822101593,0.8666048645973206,0.1111111111111111,0.2,0.7256607561057209,24,22,528,0.8087121212121212,1.0909090909090908,0.9199535728590081,0.008510044642857142,0.777914822101593,0.8666048645973206,0.04805184528231621,0.5708877444267273,0.6989958882331848,0.20702707767486572,0.29571712017059326,0.16760897636413574,3,0.4535242,0.5338283,0.4535242,0.5338283,0.5237196,0.34962922,0.39436612,0.54265106,0.50649846,0.94572,0.8519201,0.027347531,0.9726525
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/007.png,0.7,85,24,130,83,2065,0.8272580504417419,1.0,0.16468524654063535,0.28279785809906294,0.8170183327568317,46,60,2760,0.7481884057971014,0.7666666666666667,0.7900746613214568,0.04115513392857143,0.8272580504417419,1.0,0.08441856503486633,0.6023867726325989,0.699950635433197,0.22487127780914307,0.3976132273674011,0.300049364566803,1,0.7703534,1.0,0.7703534,1.0,0.9565384,0.39912093,0.5873918,0.9972678,0.80651677,0.8168794,0.61165375,0.15948693,0.84051305
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/007.png,0.7,165,114,197,152,1029,0.8172929883003235,0.9623124599456787,0.25031637560111364,0.40040485829959516,0.8075801749271136,33,39,1287,0.7995337995337995,0.8461538461538461,0.8568583180004197,0.0205078125,0.8172929883003235,0.9623124599456787,0.0747644305229187,0.5678935647010803,0.6998644471168518,0.24939942359924316,0.3944188952445984,0.2624480128288269,2,0.70636845,0.86829454,0.70636845,0.86829454,0.84163964,0.46715084,0.5813407,0.86819685,0.7755219,0.9261815,0.73519856,0.07591159,0.9240884
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/007.png,0.7,38,138,67,168,673,0.7534695267677307,0.8110881447792053,0.16197718631178706,0.2787958115183246,0.6593080025472299,30,31,930,0.7236559139784946,0.967741935483871,0.9682512142370223,0.013412786989795918,0.7534695267677307,0.8110881447792053,0.032070860266685486,0.5791618227958679,0.6999791264533997,0.1743077039718628,0.2319263219833374,0.11110901832580566,3,0.2965628,0.3398158,0.2965628,0.3398158,0.33352184,0.25888053,0.27352473,0.34870854,0.28859606,0.7646557,0.94126713,0.04719264,0.95280737
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/008.png,0.7,56,120,89,160,1092,0.8362887501716614,1.0,0.16617695070192623,0.28499440089585665,0.8318942961800104,34,41,1394,0.7833572453371592,0.8292682926829268,0.8423098702705785,0.021763392857142856,0.8362887501716614,1.0,0.08614224940538406,0.5486781597137451,0.6997941732406616,0.28761059045791626,0.4513218402862549,0.3002058267593384,1,0.8283388,1.0,0.8283388,1.0,0.9770528,0.57313126,0.6891341,0.9978048,0.8553694,0.89174557,0.70828503,0.080993876,0.9190061
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/008.png,0.7,165,176,201,207,890,0.8174805641174316,0.9534510970115662,0.0853462157809984,0.1572700296735905,0.8089887640449439,37,32,1184,0.7516891891891891,1.15625,0.8732236372939426,0.017737563775510203,0.8174805641174316,0.9534510970115662,0.07368588447570801,0.5333028435707092,0.6998397707939148,0.2841777205467224,0.42014825344085693,0.25361132621765137,2,0.7075729,0.83732706,0.7075729,0.83732706,0.8288033,0.56361,0.63008076,0.8378639,0.7801477,0.8243318,0.76547325,0.064698294,0.9353017
