strategy,eval_mode,category,num_images_total,num_images_used,num_defect_types,covered_count,fallback_count,skipped_count,coverage_ratio,top1_accuracy,top2_accuracy,macro_f1
category_visual,crop_only,MEAN,328,164,20,164,0,164,0.5,0.35085403726708075,0.5175465838509317,0.21773676962423769
category_visual,crop_topk_only,MEAN,328,164,20,164,0,164,0.5,0.3383540372670808,0.513379917184265,0.20417072782290174
short_visual,crop_only,MEAN,328,164,20,164,0,164,0.5,0.3258022774327122,0.5454710144927536,0.18314861200890614
visual_ensemble,crop_only,MEAN,328,164,20,164,0,164,0.5,0.3255693581780538,0.6020962732919255,0.1893848956144038
generic_label,crop_only,MEAN,328,164,20,164,0,164,0.5,0.3225672877846791,0.504891304347826,0.17499508044043038
generic_label,crop_topk_only,MEAN,328,164,20,164,0,164,0.5,0.31840062111801243,0.49596273291925463,0.17048279012441445
short_visual,crop_topk_only,MEAN,328,164,20,164,0,164,0.5,0.31746894409937887,0.5538043478260869,0.17356153031556257
visual_ensemble,crop_topk_only,MEAN,328,164,20,164,0,164,0.5,0.31723602484472047,0.5979296066252588,0.18451806363571072
visual_ensemble,full_all,MEAN,328,328,20,328,0,0,1.0,0.31696288355158997,0.49113721003275457,0.19120169961951167
visual_ensemble,crop_or_full,MEAN,328,328,20,164,164,0,0.5,0.30728828144530124,0.5463242505240082,0.19296967157960593
visual_ensemble,crop_topk_ensemble,MEAN,328,328,20,164,164,0,0.5,0.3031216147786346,0.5442234101878738,0.191437995417361
short_visual,crop_or_full,MEAN,328,328,20,164,164,0,0.5,0.29475334756328164,0.50581440814312,0.17479861263993263
category_visual,crop_or_full,MEAN,328,328,20,164,164,0,0.5,0.2927734137133114,0.4870756655064772,0.23642823526411844
generic_label,crop_or_full,MEAN,328,328,20,164,164,0,0.5,0.2924777576934664,0.49226246562698306,0.18137347647493493
short_visual,crop_topk_ensemble,MEAN,328,328,20,164,164,0,0.5,0.29055166689101275,0.5100160888153888,0.16961560132990633
generic_label,crop_topk_ensemble,MEAN,328,328,20,164,164,0,0.5,0.29037691735733195,0.48787650071470234,0.17822832807930158
category_visual,crop_topk_ensemble,MEAN,328,328,20,164,164,0,0.5,0.2865059067105103,0.485009839175945,0.2314787795918593
generic_label,full_all,MEAN,328,328,20,328,0,0,1.0,0.2850407668788339,0.4989940484202835,0.15427668581634782
short_visual,full_all,MEAN,328,328,20,328,0,0,1.0,0.2797521296848259,0.470485036119711,0.15998988255362362
category_visual,full_all,MEAN,328,328,20,328,0,0,1.0,0.2591731086027088,0.4632610939112487,0.18566916037835984
