defect_type,support,tp,fp,fn,precision,recall,f1,strategy,eval_mode,category
bent,12,0,0,12,0.0,0.0,0.0,generic_label,full_all,grid
broken,12,0,0,12,0.0,0.0,0.0,generic_label,full_all,grid
glue,11,0,0,11,0.0,0.0,0.0,generic_label,full_all,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,generic_label,full_all,grid
thread,11,11,46,0,0.19298245614035087,1.0,0.3235294117647059,generic_label,full_all,grid
color,19,0,0,19,0.0,0.0,0.0,generic_label,full_all,leather
cut,19,1,6,18,0.14285714285714285,0.05263157894736842,0.07692307692307693,generic_label,full_all,leather
fold,17,13,1,4,0.9285714285714286,0.7647058823529411,0.8387096774193549,generic_label,full_all,leather
glue,19,17,54,2,0.23943661971830985,0.8947368421052632,0.37777777777777777,generic_label,full_all,leather
poke,18,0,0,18,0.0,0.0,0.0,generic_label,full_all,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,generic_label,full_all,screw
scratch_head,24,0,0,24,0.0,0.0,0.0,generic_label,full_all,screw
scratch_neck,25,11,24,14,0.3142857142857143,0.44,0.36666666666666664,generic_label,full_all,screw
thread_side,23,16,68,7,0.19047619047619047,0.6956521739130435,0.29906542056074764,generic_label,full_all,screw
thread_top,23,0,0,23,0.0,0.0,0.0,generic_label,full_all,screw
color,8,0,0,8,0.0,0.0,0.0,generic_label,full_all,wood
combined,11,0,0,11,0.0,0.0,0.0,generic_label,full_all,wood
hole,10,2,5,8,0.2857142857142857,0.2,0.23529411764705882,generic_label,full_all,wood
liquid,10,0,0,10,0.0,0.0,0.0,generic_label,full_all,wood
scratch,21,21,32,0,0.39622641509433965,1.0,0.5675675675675675,generic_label,full_all,wood
bent,12,0,0,12,0.0,0.0,0.0,generic_label,crop_or_full,grid
broken,12,0,0,12,0.0,0.0,0.0,generic_label,crop_or_full,grid
glue,11,0,0,11,0.0,0.0,0.0,generic_label,crop_or_full,grid
metal_contamination,11,5,5,6,0.5,0.45454545454545453,0.47619047619047616,generic_label,crop_or_full,grid
thread,11,10,37,1,0.2127659574468085,0.9090909090909091,0.3448275862068966,generic_label,crop_or_full,grid
color,19,0,1,19,0.0,0.0,0.0,generic_label,crop_or_full,leather
cut,19,1,11,18,0.08333333333333333,0.05263157894736842,0.06451612903225806,generic_label,crop_or_full,leather
fold,17,8,8,9,0.5,0.47058823529411764,0.48484848484848486,generic_label,crop_or_full,leather
glue,19,16,46,3,0.25806451612903225,0.8421052631578947,0.3950617283950617,generic_label,crop_or_full,leather
poke,18,0,1,18,0.0,0.0,0.0,generic_label,crop_or_full,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,generic_label,crop_or_full,screw
scratch_head,24,6,8,18,0.42857142857142855,0.25,0.3157894736842105,generic_label,crop_or_full,screw
scratch_neck,25,2,17,23,0.10526315789473684,0.08,0.09090909090909091,generic_label,crop_or_full,screw
thread_side,23,15,68,8,0.18072289156626506,0.6521739130434783,0.2830188679245283,generic_label,crop_or_full,screw
thread_top,23,1,2,22,0.3333333333333333,0.043478260869565216,0.07692307692307693,generic_label,crop_or_full,screw
color,8,0,0,8,0.0,0.0,0.0,generic_label,crop_or_full,wood
combined,11,0,1,11,0.0,0.0,0.0,generic_label,crop_or_full,wood
hole,10,6,9,4,0.4,0.6,0.48,generic_label,crop_or_full,wood
liquid,10,0,0,10,0.0,0.0,0.0,generic_label,crop_or_full,wood
scratch,21,20,24,1,0.45454545454545453,0.9523809523809523,0.6153846153846154,generic_label,crop_or_full,wood
bent,7,0,0,7,0.0,0.0,0.0,generic_label,crop_only,grid
broken,3,0,0,3,0.0,0.0,0.0,generic_label,crop_only,grid
glue,5,0,0,5,0.0,0.0,0.0,generic_label,crop_only,grid
metal_contamination,8,5,5,3,0.5,0.625,0.5555555555555556,generic_label,crop_only,grid
thread,5,4,14,1,0.2222222222222222,0.8,0.34782608695652173,generic_label,crop_only,grid
color,11,0,1,11,0.0,0.0,0.0,generic_label,crop_only,leather
cut,11,0,7,11,0.0,0.0,0.0,generic_label,crop_only,leather
fold,6,0,7,6,0.0,0.0,0.0,generic_label,crop_only,leather
glue,8,7,23,1,0.23333333333333334,0.875,0.3684210526315789,generic_label,crop_only,leather
poke,10,0,1,10,0.0,0.0,0.0,generic_label,crop_only,leather
manipulated_front,10,0,0,10,0.0,0.0,0.0,generic_label,crop_only,screw
