category,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score,model,dataset,datamodule,backbone,layers,coreset_sampling_ratio,num_neighbors,image_size,center_crop_size
bottle,1.0,1.0,0.9796766042709351,0.7250464558601379,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
cable,0.985757052898407,0.978723406791687,0.9819286465644836,0.649442732334137,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
capsule,0.9621211886405945,0.9541284441947937,0.9887865781784058,0.5435410141944885,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
carpet,0.9968254566192627,0.9887640476226807,0.9893264770507812,0.5596845149993896,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
grid,0.9717868566513062,0.9824561476707458,0.9840222001075745,0.36918675899505615,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
hazelnut,1.0,1.0,0.984209418296814,0.6142087578773499,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
leather,1.0,1.0,0.9892220497131348,0.40313684940338135,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
metal_nut,0.9961315393447876,0.97826087474823,0.9788660407066345,0.8320217132568359,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
pill,0.9414951801300049,0.9489051103591919,0.9733564257621765,0.7432889938354492,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
screw,0.9944443702697754,0.9482758641242981,0.9891604781150818,0.393268883228302,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
tile,0.981792688369751,0.9629629850387573,0.9541138410568237,0.6578640341758728,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
toothbrush,0.9888888597488403,0.9333333373069763,0.9875479340553284,0.5831013917922974,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
transistor,1.0,0.9743589758872986,0.9788216948509216,0.7050474286079407,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
wood,0.9799998998641968,0.9333333373069763,0.9541667699813843,0.504890501499176,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
zipper,0.9802083969116211,0.9747899174690247,0.9792969822883606,0.5483220815658569,patchcore,MVTecAD,Folder,wide_resnet50_2,"layer2,layer3",0.1,9,256,224
