dataset,category,batch_idx,item_idx,image_path,mask_path,gt_label,pred_label,pred_score,x1,y1,x2,y2,area,mean_score,max_score,threshold,map_min,map_max,map_mean,candidate_rank,candidate_available,crop_path,crop_x1,crop_y1,crop_x2,crop_y2,image_width,image_height,error
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,599,1230,807,1688,71538,0.7496605515480042,1.0,0.5921568870544434,0.0,1.0,0.13293693959712982,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand1.png,545,1176,861,1742,1400,1900,
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,603,544,678,854,11867,0.6017970442771912,0.6235294342041016,0.5921568870544434,0.0,1.0,0.13293693959712982,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand2.png,566,507,715,891,1400,1900,
MVTec AD 2,vial,0,1,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000373_000_underexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000373_000_underexposed.png,True,True,1.0,618,1336,790,1654,41386,0.8337835073471069,1.0,0.7176470756530762,0.0,1.0,0.30837857723236084,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000373_000_underexposed_cand1.png,580,1298,828,1692,1400,1900,
MVTec AD 2,vial,0,1,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000373_000_underexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000373_000_underexposed.png,True,True,1.0,908,1470,1188,1742,39445,0.7320025563240051,0.7647058963775635,0.7176470756530762,0.0,1.0,0.30837857723236084,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000373_000_underexposed_cand2.png,875,1437,1221,1775,1400,1900,
MVTec AD 2,vial,0,2,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000376_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000376_001_shift_1.png,True,True,1.0,611,1277,829,1677,68491,0.7544209361076355,1.0,0.5882353186607361,0.0,1.0,0.14281104505062103,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000376_001_shift_1_cand1.png,563,1229,877,1725,1400,1900,
MVTec AD 2,vial,0,2,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000376_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000376_001_shift_1.png,True,True,1.0,742,744,848,920,13000,0.6081351637840271,0.6313725709915161,0.5882353186607361,0.0,1.0,0.14281104505062103,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000376_001_shift_1_cand2.png,721,723,869,941,1400,1900,
MVTec AD 2,vial,0,3,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000377_001_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000377_001_shift_2.png,True,True,1.0,610,1291,831,1680,67929,0.759127140045166,1.0,0.5921568870544434,0.0,1.0,0.1589301973581314,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000377_001_shift_2_cand1.png,564,1245,877,1726,1400,1900,
MVTec AD 2,vial,0,3,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000377_001_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000377_001_shift_2.png,True,True,1.0,740,748,842,913,12421,0.6118913888931274,0.6352941393852234,0.5921568870544434,0.0,1.0,0.1589301973581314,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000377_001_shift_2_cand2.png,721,729,861,932,1400,1900,
MVTec AD 2,vial,0,4,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000378_001_shift_3.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000378_001_shift_3.png,True,True,1.0,614,1297,827,1667,62616,0.7724167108535767,1.0,0.6117647290229797,0.0,1.0,0.1391790360212326,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000378_001_shift_3_cand1.png,570,1253,871,1711,1400,1900,
MVTec AD 2,vial,0,4,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000378_001_shift_3.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000378_001_shift_3.png,True,True,1.0,580,883,656,1056,10061,0.6289730668067932,0.6509804129600525,0.6117647290229797,0.0,1.0,0.1391790360212326,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000378_001_shift_3_cand2.png,560,863,676,1076,1400,1900,
