dataset,category,method,score_column,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold,full_auroc,full_ap,full_best_f1,full_best_accuracy,delta_auroc_vs_full,delta_ap_vs_full,delta_best_f1_vs_full,delta_accuracy_vs_full
MVTec AD 2,ALL_PRIMARY,patchcore_score,patchcore_score,243,70,173,0.8086705202312139,0.9170089267905884,0.8641304347826086,0.7942386831275721,0.4501582086086273,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,0.2885218827415359,0.19105760200407218,0.02432460953989024,0.06584362139917699
MVTec AD 2,ALL_PRIMARY,context_1.50_topk_mean,context_topk_mean_score,243,70,173,0.6036333608587944,0.798256269563858,0.8337349397590361,0.7160493827160493,-0.003217175602912903,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,0.08348472336911639,0.07230494477734173,-0.006070885483682287,-0.012345679012345734
MVTec AD 2,ALL_PRIMARY,context_1.50_top1,context_top1_score,243,70,173,0.577291494632535,0.7469186476509866,0.8341463414634146,0.720164609053498,-0.0014170408248901367,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,0.05714285714285705,0.02096732286447034,-0.005659483779303809,-0.008230452674897082
MVTec AD 2,ALL_PRIMARY,context_1.50_topk_max,context_topk_max_score,243,70,173,0.5651527663088357,0.7875681964184063,0.8337349397590361,0.7160493827160493,-0.003217175602912903,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,0.04500412881915772,0.06161687163189,-0.006070885483682287,-0.012345679012345734
MVTec AD 2,ALL_PRIMARY,tight_crop_top1,tight_top1_score,243,70,173,0.523121387283237,0.7223899400471958,0.8321167883211679,0.7160493827160493,-0.004546701908111572,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,0.002972749793558993,-0.003561384739320439,-0.0076890369215505405,-0.012345679012345734
MVTec AD 2,ALL_PRIMARY,full_image,full_image_score,243,70,173,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,-0.003622382879257202,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,0.0,0.0,0.0,0.0
MVTec AD 2,ALL_PRIMARY,tight_crop_topk_mean,tight_topk_mean_score,243,70,173,0.50355078447564,0.7148818176812958,0.8317307692307693,0.7119341563786008,-0.006948612630367279,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,-0.016597853014038044,-0.011069507105220477,-0.008075056011949133,-0.016460905349794275
MVTec AD 2,ALL_PRIMARY,tight_crop_topk_max,tight_topk_max_score,243,70,173,0.464822460776218,0.6883316492029266,0.8321167883211679,0.7160493827160493,-0.004546701908111572,0.520148637489678,0.7259513247865162,0.8398058252427184,0.7283950617283951,-0.05532617671345996,-0.037619675583589696,-0.0076890369215505405,-0.012345679012345734
MVTec AD 2,fruit_jelly,context_1.50_topk_mean,context_topk_mean_score,40,10,30,0.8566666666666667,0.9556468428186891,0.8852459016393442,0.825,0.0019203126430511475,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,0.10333333333333339,0.05598909588096512,-0.023845007451564815,-0.025000000000000022
MVTec AD 2,fruit_jelly,context_1.50_top1,context_top1_score,40,10,30,0.8366666666666667,0.9411612146957467,0.9152542372881356,0.875,0.0019203126430511475,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,0.08333333333333337,0.041503467758022716,0.006163328197226536,0.025000000000000022
MVTec AD 2,fruit_jelly,context_1.50_topk_max,context_topk_max_score,40,10,30,0.7666666666666667,0.9170529782433096,0.8852459016393442,0.825,0.0019203126430511475,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,0.01333333333333342,0.017395231305585623,-0.023845007451564815,-0.025000000000000022
MVTec AD 2,fruit_jelly,full_image,full_image_score,40,10,30,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,-0.003622382879257202,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,0.0,0.0,0.0,0.0
MVTec AD 2,fruit_jelly,tight_crop_top1,tight_top1_score,40,10,30,0.7366666666666667,0.9071856121316789,0.8695652173913043,0.775,0.006361097097396851,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,-0.016666666666666607,0.007527865193954986,-0.03952569169960474,-0.07499999999999996
MVTec AD 2,fruit_jelly,tight_crop_topk_max,tight_topk_max_score,40,10,30,0.7333333333333333,0.9102092923799083,0.8695652173913043,0.775,0.006361097097396851,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,-0.020000000000000018,0.010551545442184396,-0.03952569169960474,-0.07499999999999996
MVTec AD 2,fruit_jelly,patchcore_score,patchcore_score,40,10,30,0.7166666666666667,0.9104614013820173,0.8695652173913043,0.775,0.5555112361907959,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,-0.036666666666666625,0.01080365444429332,-0.03952569169960474,-0.07499999999999996
MVTec AD 2,fruit_jelly,tight_crop_topk_mean,tight_topk_mean_score,40,10,30,0.6766666666666666,0.8849315219770009,0.8571428571428571,0.75,0.0040842145681381226,0.7533333333333333,0.8996577469377239,0.9090909090909091,0.85,-0.07666666666666666,-0.014726224960723067,-0.051948051948051965,-0.09999999999999998
MVTec AD 2,sheet_metal,patchcore_score,patchcore_score,57,12,45,0.7462962962962963,0.9259539089335669,0.8910891089108911,0.8070175438596491,0.4545032978057861,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,0.03333333333333344,0.023370178136092434,-0.008910891089108919,-0.01754385964912286
MVTec AD 2,sheet_metal,full_image,full_image_score,57,12,45,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,0.0018376410007476807,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,0.0,0.0,0.0,0.0
MVTec AD 2,sheet_metal,context_1.50_topk_max,context_topk_max_score,57,12,45,0.6574074074074074,0.8858962214123185,0.8823529411764706,0.7894736842105263,0.006318941712379456,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,-0.05555555555555547,-0.016687509385155952,-0.01764705882352946,-0.03508771929824561
MVTec AD 2,sheet_metal,context_1.50_topk_mean,context_topk_mean_score,57,12,45,0.587037037037037,0.8096274173023639,0.8823529411764706,0.7894736842105263,0.006318941712379456,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,-0.12592592592592589,-0.09295631349511058,-0.01764705882352946,-0.03508771929824561
MVTec AD 2,sheet_metal,tight_crop_top1,tight_top1_score,57,12,45,0.4925925925925926,0.7578304220334962,0.8823529411764706,0.7894736842105263,0.009813830256462097,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,-0.22037037037037033,-0.1447533087639783,-0.01764705882352946,-0.03508771929824561
MVTec AD 2,sheet_metal,tight_crop_topk_mean,tight_topk_mean_score,57,12,45,0.35185185185185186,0.7006123531490723,0.8823529411764706,0.7894736842105263,0.012349789341290792,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,-0.36111111111111105,-0.20197137764840212,-0.01764705882352946,-0.03508771929824561
MVTec AD 2,sheet_metal,tight_crop_topk_max,tight_topk_max_score,57,12,45,0.34814814814814815,0.7112587781313928,0.8823529411764706,0.7894736842105263,0.014265403151512146,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,-0.36481481481481476,-0.19132495266608163,-0.01764705882352946,-0.03508771929824561
MVTec AD 2,sheet_metal,context_1.50_top1,context_top1_score,57,12,45,0.24444444444444444,0.6678785334786638,0.8823529411764706,0.7894736842105263,0.006318941712379456,0.7129629629629629,0.9025837307974744,0.9,0.8245614035087719,-0.46851851851851845,-0.23470519731881068,-0.01764705882352946,-0.03508771929824561
MVTec AD 2,vial,patchcore_score,patchcore_score,71,18,53,0.8731656184486373,0.9525488479575178,0.9298245614035088,0.8873239436619719,0.5038888454437256,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,0.1855345911949685,0.07920352909970974,0.0749858517260894,0.14084507042253525
MVTec AD 2,vial,full_image,full_image_score,71,18,53,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,-0.0027009248733520508,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,0.0,0.0,0.0,0.0
MVTec AD 2,vial,context_1.50_top1,context_top1_score,71,18,53,0.6834381551362684,0.8881766008928764,0.8548387096774194,0.7464788732394366,-0.0014170408248901367,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,-0.004192872117400381,0.014831282035068338,0.0,0.0
MVTec AD 2,vial,context_1.50_topk_mean,context_topk_mean_score,71,18,53,0.5230607966457023,0.8041024863423216,0.8548387096774194,0.7464788732394366,-0.0027329673369725547,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,-0.1645702306079665,-0.06924283251548646,0.0,0.0
MVTec AD 2,vial,context_1.50_topk_max,context_topk_max_score,71,18,53,0.4559748427672956,0.7185934073237764,0.8548387096774194,0.7464788732394366,-0.0008945763111114502,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,-0.23165618448637315,-0.15475191153403167,0.0,0.0
MVTec AD 2,vial,tight_crop_topk_mean,tight_topk_mean_score,71,18,53,0.3972746331236897,0.7396150503983085,0.8548387096774194,0.7464788732394366,-0.006948612630367279,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,-0.29035639412997905,-0.13373026845949954,0.0,0.0
MVTec AD 2,vial,tight_crop_top1,tight_top1_score,71,18,53,0.3752620545073375,0.7206694846589011,0.8571428571428571,0.7605633802816901,-0.004546701908111572,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,-0.31236897274633124,-0.15267583419890696,0.0023041474654377225,0.014084507042253502
MVTec AD 2,vial,tight_crop_topk_max,tight_topk_max_score,71,18,53,0.35429769392033544,0.6682828356603919,0.8571428571428571,0.7605633802816901,-0.004546701908111572,0.6876310272536688,0.8733453188578081,0.8548387096774194,0.7464788732394366,-0.3333333333333333,-0.20506248319741616,0.0023041474654377225,0.014084507042253502
MVTec AD 2,walnuts,patchcore_score,patchcore_score,75,30,45,0.8051851851851852,0.885299922404482,0.7962962962962963,0.7066666666666667,0.3172292411327362,0.42962962962962964,0.6286138336672293,0.75,0.6,0.3755555555555556,0.2566860887372526,0.04629629629629628,0.10666666666666669
