stage,image_path,basename,stem,label,labeled_key,candidate_rows,gt_label,pred_score_first,source_image_path,source_stem,source_labeled_key,source_split
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,000372_000_shift_4.png,000_shift_4,bad,bad:000_shift_4,2,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000373_000_underexposed.png,000373_000_underexposed.png,000_underexposed,bad,bad:000_underexposed,2,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000376_001_shift_1.png,000376_001_shift_1.png,001_shift_1,bad,bad:001_shift_1,2,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000377_001_shift_2.png,000377_001_shift_2.png,001_shift_2,bad,bad:001_shift_2,2,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000378_001_shift_3.png,000378_001_shift_3.png,001_shift_3,bad,bad:001_shift_3,3,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000381_002_overexposed.png,000381_002_overexposed.png,002_overexposed,bad,bad:002_overexposed,3,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000383_002_shift_1.png,000383_002_shift_1.png,002_shift_1,bad,bad:002_shift_1,3,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000384_002_shift_2.png,000384_002_shift_2.png,002_shift_2,bad,bad:002_shift_2,3,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000385_002_shift_3.png,000385_002_shift_3.png,002_shift_3,bad,bad:002_shift_3,3,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000388_003_overexposed.png,000388_003_overexposed.png,003_overexposed,bad,bad:003_overexposed,2,True,0.5100245475769043,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000389_003_regular.png,000389_003_regular.png,003_regular,bad,bad:003_regular,2,True,0.5180043578147888,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000390_003_shift_1.png,000390_003_shift_1.png,003_shift_1,bad,bad:003_shift_1,2,True,0.5427144169807434,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000391_003_shift_2.png,000391_003_shift_2.png,003_shift_2,bad,bad:003_shift_2,3,True,0.4937856495380401,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000397_004_shift_1.png,000397_004_shift_1.png,004_shift_1,bad,bad:004_shift_1,1,True,0.9561101198196412,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000398_004_shift_2.png,000398_004_shift_2.png,004_shift_2,bad,bad:004_shift_2,1,True,0.9710062146186828,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000399_004_shift_3.png,000399_004_shift_3.png,004_shift_3,bad,bad:004_shift_3,1,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000400_004_shift_4.png,000400_004_shift_4.png,004_shift_4,bad,bad:004_shift_4,1,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000401_004_underexposed.png,000401_004_underexposed.png,004_underexposed,bad,bad:004_underexposed,2,True,0.9396244287490844,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000404_005_shift_1.png,000404_005_shift_1.png,005_shift_1,bad,bad:005_shift_1,1,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000406_005_shift_3.png,000406_005_shift_3.png,005_shift_3,bad,bad:005_shift_3,1,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000407_005_shift_4.png,000407_005_shift_4.png,005_shift_4,bad,bad:005_shift_4,1,True,1.0,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000411_006_shift_1.png,000411_006_shift_1.png,006_shift_1,bad,bad:006_shift_1,2,True,0.5873837471008301,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000412_006_shift_2.png,000412_006_shift_2.png,006_shift_2,bad,bad:006_shift_2,2,True,0.5855671763420105,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000415_006_underexposed.png,000415_006_underexposed.png,006_underexposed,bad,bad:006_underexposed,3,True,0.749924898147583,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000416_007_overexposed.png,000416_007_overexposed.png,007_overexposed,bad,bad:007_overexposed,1,True,0.5993685126304626,,,,
stage10,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000421_007_shift_4.png,000421_007_shift_4.png,007_shift_4,bad,bad:007_shift_4,1,True,0.6726963520050049,,,,
