protocol,scope,category,method,fusion_pair,alpha_patchcore,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold,train_auroc,train_ap
loco_test,held_out_category,fruit_jelly,patchcore_plus_full_image_loco_selected_alpha,patchcore_plus_full_image,0.8,40,10,30,0.7333333333333333,0.9178222418100996,0.8695652173913044,0.775,-1.2555386704932707,0.8179487179487179,0.9230542210933169
loco_test,held_out_category,fruit_jelly,patchcore_plus_context_loco_selected_alpha,patchcore_plus_context,0.7,40,10,30,0.8333333333333333,0.947585679498191,0.8695652173913044,0.775,-1.154513486324572,0.8407925407925408,0.9340984299992731
loco_test,held_out_category,sheet_metal,patchcore_plus_full_image_loco_selected_alpha,patchcore_plus_full_image,1.0,57,12,45,0.7462962962962963,0.9259539089335671,0.8910891089108911,0.8070175438596491,-1.5129491506142927,0.8100754310344829,0.9167881972021736
loco_test,held_out_category,sheet_metal,patchcore_plus_context_loco_selected_alpha,patchcore_plus_context,0.68,57,12,45,0.7481481481481481,0.9260559519111412,0.9,0.8245614035087719,-0.9137694011228656,0.853717672413793,0.9380878105769743
loco_test,held_out_category,vial,patchcore_plus_full_image_loco_selected_alpha,patchcore_plus_full_image,0.7,71,18,53,0.870020964360587,0.9528855123214082,0.9298245614035088,0.8873239436619719,-1.1093182431626079,0.7751602564102564,0.9077389042783289
loco_test,held_out_category,vial,patchcore_plus_context_loco_selected_alpha,patchcore_plus_context,0.63,71,18,53,0.9224318658280923,0.9724507430631109,0.9298245614035088,0.8873239436619719,-0.6229941512018593,0.7993589743589743,0.9165090183417108
loco_test,held_out_category,walnuts,patchcore_plus_full_image_loco_selected_alpha,patchcore_plus_full_image,0.55,75,30,45,0.6659259259259259,0.8008818823095177,0.7499999999999999,0.68,-0.1798808454301098,0.861328125,0.9551235375107443
loco_test,held_out_category,walnuts,patchcore_plus_context_loco_selected_alpha,patchcore_plus_context,0.63,75,30,45,0.78,0.8750914976758436,0.7758620689655172,0.7333333333333333,-0.3627003994176039,0.8609375,0.9547740904091252
loco_aggregate,ALL_PRIMARY,,patchcore_plus_full_image_loco_aggregate,patchcore_plus_full_image,,243,70,173,0.7496284062758052,0.8980953950602236,0.8472906403940886,0.7448559670781894,-1.3373829180746983,,
loco_aggregate,ALL_PRIMARY,,patchcore_plus_context_loco_aggregate,patchcore_plus_context,,243,70,173,0.8300578034682082,0.9333439757502073,0.8526315789473684,0.7695473251028807,-0.7340619365664813,,
