category,method_group,method,auroc,ap,pixel_auroc,pixel_f1,note
fruit_jelly,external_vlm_baseline,WinCLIP fixed protocol,0.46666666865348816,,0.832697868347168,0.2824292480945587,"class_name=jelly, k_shot=1, scales=(1, 2, 3)"
fruit_jelly,classical_detector,PatchCore,0.7166666666666667,,,,Stage 11 reference
fruit_jelly,vlm_branch,full-image VLM,0.7533333333333333,,,,Stage 11 reference
fruit_jelly,vlm_branch,context-aware VLM,0.8566666666666667,,,,Stage 11 reported context method
fruit_jelly,fusion_loco,"PatchCore + context VLM, LOCO",0.8333333333333333,0.947585679498191,,,Stage 13 leave-one-category-out fusion
fruit_jelly,fusion_same_set,"PatchCore + context VLM, same-set",0.8933333333333334,0.9710965140241457,,,Stage 13 same-set upper-bound fusion
sheet_metal,external_vlm_baseline,WinCLIP fixed protocol,0.7074074745178223,,0.8140121698379517,0.22741828858852386,"class_name=sheet metal, k_shot=1, scales=(1, 2, 3)"
sheet_metal,classical_detector,PatchCore,0.7462962962962963,,,,Stage 11 reference
sheet_metal,vlm_branch,full-image VLM,0.7129629629629629,,,,Stage 11 reference
sheet_metal,vlm_branch,context-aware VLM,0.6574074074074074,,,,Stage 11 reported context method
sheet_metal,fusion_loco,"PatchCore + context VLM, LOCO",0.7481481481481481,0.9260559519111412,,,Stage 13 leave-one-category-out fusion
sheet_metal,fusion_same_set,"PatchCore + context VLM, same-set",0.7555555555555555,0.926475339347547,,,Stage 13 same-set upper-bound fusion
vial,external_vlm_baseline,WinCLIP fixed protocol,0.8794549107551575,,0.8187899589538574,0.20757317543029785,"class_name=vial, k_shot=1, scales=(1, 2, 3)"
vial,classical_detector,PatchCore,0.8731656184486373,,,,Stage 11 reference
vial,vlm_branch,full-image VLM,0.6876310272536688,,,,Stage 11 reference
vial,vlm_branch,context-aware VLM,0.6834381551362684,,,,Stage 11 reported context method
vial,fusion_loco,"PatchCore + context VLM, LOCO",0.9224318658280924,0.9724507430631107,,,Stage 13 leave-one-category-out fusion
vial,fusion_same_set,"PatchCore + context VLM, same-set",0.9255765199161424,0.973437150696619,,,Stage 13 same-set upper-bound fusion
walnuts,external_vlm_baseline,WinCLIP fixed protocol,0.4014814496040344,,0.8155226707458496,0.3742561340332031,"class_name=walnut, k_shot=1, scales=(1, 2, 3)"
walnuts,classical_detector,PatchCore,0.8051851851851852,,,,Stage 11 reference
walnuts,vlm_branch,full-image VLM,0.4296296296296296,,,,Stage 11 reference
walnuts,vlm_branch,context-aware VLM,0.642962962962963,,,,Stage 11 reported context method
walnuts,fusion_loco,"PatchCore + context VLM, LOCO",0.78,0.8750914976758436,,,Stage 13 leave-one-category-out fusion
walnuts,fusion_same_set,"PatchCore + context VLM, same-set",0.8066666666666666,0.8883462747083113,,,Stage 13 same-set upper-bound fusion
