path,exists,rows,cols,columns,read_status,note
results/stage9_qcr_u/stage9_a0_input_structure.csv,True,184,19,path;size_bytes;backbone;role;rows;cols;columns;preview_json;error;has_image_path;has_bbox;has_label;has_category;has_candidate_quality;has_vlm_score;has_normal_score;has_anomaly_score;has_crop_score;has_full_score,ok,usable
results/stage9_qcr_u/stage9_a1_qcr_u_fusion_predictions.csv,True,155664,23,backbone;dataset;category;strategy;eval_mode;used_mode;image_key;is_anomaly_final;fallback;has_candidate;num_candidates;vlm_anomaly_score;vlm_score_norm;detector_image_score;detector_score_norm;candidate_quality_norm;high_high_consistency;fusion_method;fusion_score;weight_M_vlm;weight_Q_candidate;weight_K_consistency;weight_D_detector,ok,usable
results/stage9_qcr_u/stage9_a1_qcr_u_fusion_summary.csv,True,72,21,backbone;strategy;eval_mode;fusion_method;num_images;num_normal;num_anomaly;coverage_ratio;auroc;ap;best_f1;best_accuracy;best_threshold;vlm_only_auroc;vlm_only_ap;vlm_only_best_f1;vlm_only_best_accuracy;delta_auroc_vs_vlm;delta_ap_vs_vlm;delta_best_f1_vs_vlm;delta_accuracy_vs_vlm,ok,usable
results/stage9_qcr_u/stage9_a2_qcr_u_macro_summary.csv,True,72,15,backbone;strategy;eval_mode;fusion_method;num_categories;macro_auroc;macro_ap;macro_best_f1;median_auroc;min_auroc;max_auroc;num_categories_delta_positive;num_categories_delta_negative;mean_delta_auroc_vs_vlm;median_delta_auroc_vs_vlm,ok,usable
results/stage9_qcr_u/stage9_a2_qcr_u_per_category.csv,True,864,23,backbone;strategy;eval_mode;fusion_method;category;num_images;num_normal;num_anomaly;has_both_classes;candidate_coverage;auroc;ap;best_f1;best_accuracy;best_threshold;vlm_only_auroc;vlm_only_ap;vlm_only_best_f1;vlm_only_best_accuracy;delta_auroc_vs_vlm;delta_ap_vs_vlm;delta_best_f1_vs_vlm;delta_accuracy_vs_vlm,ok,usable
results/stage9_qcr_u/stage9_a2_qcr_u_signal_diagnostics.csv,True,144,29,backbone;strategy;eval_mode;category;num_images;num_normal;num_anomaly;candidate_rate_all;candidate_rate_normal;candidate_rate_anomaly;q_mean_normal;q_mean_anomaly;d_mean_normal;d_mean_anomaly;m_mean_normal;m_mean_anomaly;k_mean_normal;k_mean_anomaly;corr_q_y;corr_d_y;corr_m_y;corr_k_y;corr_q_d;corr_q_m;corr_d_m;candidate_rate_gap_anomaly_minus_normal;q_gap_anomaly_minus_normal;d_gap_anomaly_minus_normal;m_gap_anomaly_minus_normal,ok,usable
results/stage9_qcr_u/stage9_a3_qcr_u_debiased_predictions.csv,True,259440,16,backbone;strategy;eval_mode;used_mode;category;image_key;is_anomaly_final;has_candidate;vlm_score_norm;detector_score_norm;candidate_quality_norm;high_high_consistency;q_original;q_neutral;debiased_method;score,ok,usable
results/stage9_qcr_u/stage9_a3_qcr_u_debiased_summary.csv,True,120,21,backbone;strategy;eval_mode;debiased_method;num_images;num_normal;num_anomaly;candidate_coverage;auroc;ap;best_f1;best_accuracy;best_threshold;vlm_only_auroc;vlm_only_ap;vlm_only_best_f1;vlm_only_best_accuracy;delta_auroc_vs_vlm;delta_ap_vs_vlm;delta_best_f1_vs_vlm;delta_accuracy_vs_vlm,ok,usable
results/stage9_qcr_u/stage9_a3_qcr_u_debiased_per_category.csv,True,1440,22,backbone;strategy;eval_mode;debiased_method;category;num_images;num_normal;num_anomaly;has_both_classes;candidate_coverage;auroc;ap;best_f1;best_accuracy;best_threshold;vlm_only_auroc;vlm_only_ap;vlm_only_best_f1;vlm_only_best_accuracy;delta_auroc_vs_vlm;delta_ap_vs_vlm;delta_best_f1_vs_vlm,ok,usable
results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_grid.csv,True,1010,14,protocol;scope;category;method;fusion_pair;alpha_patchcore;num_images;num_normal;num_anomaly;auroc;ap;best_f1;best_accuracy;best_threshold,ok,usable
results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_summary.csv,True,17,14,protocol;scope;category;method;fusion_pair;alpha_patchcore;num_images;num_normal;num_anomaly;auroc;ap;best_f1;best_accuracy;best_threshold,ok,usable
results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_per_category.csv,True,8,14,protocol;scope;category;method;fusion_pair;alpha_patchcore;num_images;num_normal;num_anomaly;auroc;ap;best_f1;best_accuracy;best_threshold,ok,usable
results/stage14_strong_vlm_baselines/stage14_e_primary_external_baseline_comparison.csv,True,24,8,category;method_group;method;auroc;ap;pixel_auroc;pixel_f1;note,ok,usable
results/stage15_modern_detector_baselines/stage15_e_primary_unified_baseline_comparison.csv,True,35,9,category;method_group;method;image_auroc;image_ap;pixel_auroc;pixel_f1;protocol;fairness_tag,ok,usable
results/stage15_modern_detector_baselines/stage15_f_baseline_decision_summary.csv,True,6,4,decision_id;decision;evidence;status,ok,usable
