case_type,selection_metric,selection_order,backbone,dataset,strategy,eval_mode,category,image_key,is_anomaly_final,D,M,Q,K,agreement,mutual_anomaly_evidence,adaptive_gate,score_naive,score_quality,score_fixed_qc,score_adaptive,delta_quality_minus_naive,delta_fixed_minus_quality,delta_adaptive_minus_quality,delta_adaptive_minus_fixed,detector_vlm_disagreement,has_candidate,num_candidates,fallback
quality_helps_anomaly_boost,delta_quality_minus_naive,descending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,capsules,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_026.JPG,1,1.0,0.8914726935559529,1.0,0.8430981284559295,0.8914726935559529,0.8914726935559529,0.6700299489051916,0.9457363467779765,0.9744213726504226,0.9631940320227891,0.9669872545609565,0.028685025872446146,-0.01122734062763353,-0.007434118089466146,0.0037932225381673845,0.10852730644404707,True,1.0,0
quality_helps_anomaly_boost,delta_quality_minus_naive,descending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,macaroni1,datasets/VisA_anomalib_1cls/macaroni1/test/anomaly/macaroni1_test_anomaly_046.JPG,1,1.0,0.742375730409035,1.0,0.6467487277546916,0.742375730409035,0.742375730409035,0.35643727454662116,0.8711878652045175,0.8972438851530047,0.8813373340810237,0.8774758437189777,0.026056019948487164,-0.015906551071981023,-0.019768041434026995,-0.0038614903620459717,0.25762426959096496,True,1.0,0
quality_helps_anomaly_boost,delta_quality_minus_naive,descending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,pcb4,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_035.JPG,1,1.0,0.6980816493719296,1.0,0.5926998192808817,0.6980816493719296,0.6980816493719296,0.2888332841251371,0.8490408246859649,0.8743158132909221,0.8574614105707474,0.8521513729210494,0.02527498860495725,-0.016854402720174688,-0.02216444036987275,-0.005310037649698063,0.3019183506280704,True,1.0,0
quality_helps_anomaly_boost,delta_quality_minus_naive,descending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,fryum,datasets/VisA_anomalib_1cls/fryum/test/anomaly/fryum_test_anomaly_010.JPG,1,0.9641742270061102,0.6741906719863796,1.0,0.5816330105815529,0.7100164449802694,0.6741906719863796,0.278419849275548,0.819182449496245,0.8434044609835367,0.8316536712176448,0.8220136343441757,0.02422201148729175,-0.011750789765891945,-0.021390826639360982,-0.009640036873469038,0.2899835550197306,True,3.0,0
quality_helps_anomaly_boost,delta_quality_minus_naive,descending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,cashew,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_024.JPG,1,0.9743915974629872,0.6826727391913455,0.997684896959028,0.5868337101414378,0.7082811417283583,0.6826727391913455,0.2830914095669792,0.8285321683271664,0.8526748559577906,0.8396751212727722,0.8311288327288912,0.024142687630624216,-0.01299973468501836,-0.021546023228899425,-0.008546288543881064,0.2917188582716417,True,2.0,0
quality_boundary_anomaly_suppression,delta_quality_minus_naive,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,chewinggum,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_001.JPG,1,0.8931071809379851,0.8285592059706085,0.0,0.8052681540321219,0.9354520250326234,0.8285592059706085,0.0,0.8608331934542968,0.6720793125799341,0.7858938378467816,0.6440286831710057,-0.18875388087436262,0.11381452526684743,-0.02805062940892844,-0.14186515467577587,0.06454797496737663,True,3.0,0
quality_boundary_anomaly_suppression,delta_quality_minus_naive,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,cashew,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_078.JPG,1,0.3129206800157288,0.7616280564350599,0.0,0.2961953960416241,0.5512926235806689,0.3129206800157288,0.0,0.5372743682253944,0.3544328334047419,0.4660467887589538,0.33963984115799656,-0.18284153482065252,0.11161395535421187,-0.014792992246745351,-0.12640694760095722,0.4487073764193311,True,3.0,0
quality_boundary_anomaly_suppression,delta_quality_minus_naive,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,pipe_fryum,datasets/VisA_anomalib_1cls/pipe_fryum/test/anomaly/pipe_fryum_test_anomaly_045.JPG,1,1.0,0.9313670832634152,0.1795542763580418,0.8994058635250085,0.9313670832634152,0.9313670832634152,0.14008551699293734,0.9656835416317076,0.7973010316410496,0.9007681522250301,0.7709726522076613,-0.16838250999065796,0.10346712058398055,-0.026328379433388283,-0.12979550001736884,0.06863291673658478,True,3.0,0
quality_boundary_anomaly_suppression,delta_quality_minus_naive,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,capsules,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,1,0.2451058782873495,0.748865354039907,0.0810847236964087,0.2466244027084771,0.4962405242474426,0.2451058782873495,0.002432321851709442,0.49698561616362824,0.3317421988402925,0.4360196597730948,0.318016897535579,-0.16524341732333575,0.10427746093280232,-0.0137253013047135,-0.11800276223751582,0.5037594757525574,True,3.0,0
quality_boundary_anomaly_suppression,delta_quality_minus_naive,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,capsules,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_039.JPG,1,0.3125280270471128,0.677443150147484,0.0,0.3143578616014055,0.6350848768996288,0.3125280270471128,0.0,0.4949855885972984,0.3324411464071633,0.4329888754127419,0.3185660230049122,-0.16254444219013509,0.10054772900557857,-0.01387512340225111,-0.11442285240782968,0.3649151231003712,True,3.0,0
fixed_consistency_boundary_anomaly_suppression,delta_fixed_minus_quality,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,pipe_fryum,datasets/VisA_anomalib_1cls/pipe_fryum/test/anomaly/pipe_fryum_test_anomaly_095.JPG,1,1.0,0.0542568105179419,0.3206302681632687,0.0286003060027609,0.054256810517941956,0.0542568105179419,2.699502403432493e-05,0.527128405258971,0.5315108342636928,0.46314187210290453,0.5093284619967786,0.004382429004721855,-0.0683689621607883,-0.02218237226691422,0.046186589893874086,0.945743189482058,True,1.0,0
fixed_consistency_boundary_anomaly_suppression,delta_fixed_minus_quality,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,pipe_fryum,datasets/VisA_anomalib_1cls/pipe_fryum/test/anomaly/pipe_fryum_test_anomaly_058.JPG,1,0.9400471599915178,0.1618647079943636,0.1893802231254232,0.1222116943359319,0.2218175480028458,0.1618647079943636,0.0008309893491480068,0.5509559339929406,0.5317592504841726,0.4789384886658834,0.5096063904489551,-0.01919668350876802,-0.05282076181828921,-0.022152860035217548,0.03066790178307166,0.7781824519971542,True,3.0,0
fixed_consistency_boundary_anomaly_suppression,delta_fixed_minus_quality,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,pcb1,datasets/VisA_anomalib_1cls/pcb1/test/anomaly/pcb1_test_anomaly_071.JPG,1,0.8631142249053142,0.011949105164245,0.4480676741969024,0.065119972974942,0.14883488025893077,0.011949105164245,5.189170378529013e-05,0.4375316650347796,0.4465875670153338,0.4060589463029699,0.42795087906693197,0.009055901980554226,-0.040528620712363905,-0.018636687948401842,0.021891932763962063,0.8511651197410692,True,2.0,0
fixed_consistency_boundary_anomaly_suppression,delta_fixed_minus_quality,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,macaroni2,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_036.JPG,1,1.0,0.1098236798664886,0.6316174519764988,0.0609424602629527,0.10982367986648855,0.1098236798664886,0.0004642651527708012,0.5549118399332443,0.55934318874478,0.5215444354850034,0.5360208650545691,0.004431348811535618,-0.03779875325977655,-0.02332232369021081,0.01447642956956574,0.8901763201335114,True,1.0,0
fixed_consistency_boundary_anomaly_suppression,delta_fixed_minus_quality,ascending,FastFlow,VisA,inspection_binary,crop_topk_ensemble,pipe_fryum,datasets/VisA_anomalib_1cls/pipe_fryum/test/anomaly/pipe_fryum_test_anomaly_094.JPG,1,1.0,0.2740373078720372,0.3363126282471022,0.1745668769888955,0.2740373078720372,0.2740373078720372,0.004408840649159343,0.6370186539360185,0.6077442636240229,0.5706101038674279,0.5825974824379944,-0.029274390311995635,-0.03713415975659495,-0.025146781186028533,0.01198737857056642,0.7259626921279628,True,3.0,0
