category,q_source,q_direction,eta,gamma,auroc_V3_naive,auroc_quality_qcr,auroc_adaptive_qcr,auroc_Q_alone,delta_quality_minus_V3,delta_adaptive_minus_V3,delta_adaptive_minus_quality
fruit_jelly,num_candidates_x,direct,0.05,0.0,0.8766666666666668,0.8733333333333334,0.8733333333333334,0.5233333333333333,-0.0033333333333334103,-0.0033333333333334103,0.0
sheet_metal,num_candidates_x,direct,0.05,0.0,0.7425925925925927,0.7425925925925926,0.7425925925925926,0.4833333333333333,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0
vial,num_candidates_x,direct,0.05,0.0,0.9182389937106918,0.9234800838574424,0.9234800838574424,0.4360587002096436,0.00524109014675056,0.00524109014675056,0.0
walnuts,num_candidates_x,direct,0.05,0.0,0.777037037037037,0.7770370370370371,0.7770370370370371,0.4192592592592593,1.1102230246251565e-16,1.1102230246251565e-16,0.0
fruit_jelly,num_candidates_x,direct,0.05,0.01,0.8766666666666668,0.8733333333333334,0.8733333333333334,0.5233333333333333,-0.0033333333333334103,-0.0033333333333334103,0.0
sheet_metal,num_candidates_x,direct,0.05,0.01,0.7425925925925927,0.7425925925925926,0.7425925925925926,0.4833333333333333,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0
vial,num_candidates_x,direct,0.05,0.01,0.9182389937106918,0.9234800838574424,0.9234800838574424,0.4360587002096436,0.00524109014675056,0.00524109014675056,0.0
walnuts,num_candidates_x,direct,0.05,0.01,0.777037037037037,0.7770370370370371,0.7770370370370371,0.4192592592592593,1.1102230246251565e-16,1.1102230246251565e-16,0.0
fruit_jelly,num_candidates_x,direct,0.05,0.03,0.8766666666666668,0.8733333333333334,0.8733333333333334,0.5233333333333333,-0.0033333333333334103,-0.0033333333333334103,0.0
sheet_metal,num_candidates_x,direct,0.05,0.03,0.7425925925925927,0.7425925925925926,0.7425925925925926,0.4833333333333333,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0
vial,num_candidates_x,direct,0.05,0.03,0.9182389937106918,0.9234800838574424,0.9255765199161425,0.4360587002096436,0.00524109014675056,0.007337526205450695,0.002096436058700135
walnuts,num_candidates_x,direct,0.05,0.03,0.777037037037037,0.7770370370370371,0.7770370370370371,0.4192592592592593,1.1102230246251565e-16,1.1102230246251565e-16,0.0
fruit_jelly,num_candidates_x,direct,0.05,0.05,0.8766666666666668,0.8733333333333334,0.8733333333333334,0.5233333333333333,-0.0033333333333334103,-0.0033333333333334103,0.0
sheet_metal,num_candidates_x,direct,0.05,0.05,0.7425925925925927,0.7425925925925926,0.7444444444444445,0.4833333333333333,-1.1102230246251565e-16,0.0018518518518517713,0.0018518518518518823
vial,num_candidates_x,direct,0.05,0.05,0.9182389937106918,0.9234800838574424,0.9266247379454926,0.4360587002096436,0.00524109014675056,0.008385744234800763,0.0031446540880502027
walnuts,num_candidates_x,direct,0.05,0.05,0.777037037037037,0.7770370370370371,0.7777777777777778,0.4192592592592593,1.1102230246251565e-16,0.0007407407407408195,0.0007407407407407085
fruit_jelly,num_candidates_x,direct,0.1,0.0,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.1,0.0,0.7425925925925927,0.7388888888888888,0.7388888888888888,0.4833333333333333,-0.0037037037037038756,-0.0037037037037038756,0.0
vial,num_candidates_x,direct,0.1,0.0,0.9182389937106918,0.9266247379454926,0.9266247379454926,0.4360587002096436,0.008385744234800763,0.008385744234800763,0.0
walnuts,num_candidates_x,direct,0.1,0.0,0.777037037037037,0.7837037037037037,0.7837037037037037,0.4192592592592593,0.00666666666666671,0.00666666666666671,0.0
fruit_jelly,num_candidates_x,direct,0.1,0.01,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.1,0.01,0.7425925925925927,0.7388888888888888,0.7388888888888888,0.4833333333333333,-0.0037037037037038756,-0.0037037037037038756,0.0
vial,num_candidates_x,direct,0.1,0.01,0.9182389937106918,0.9266247379454926,0.9266247379454926,0.4360587002096436,0.008385744234800763,0.008385744234800763,0.0
walnuts,num_candidates_x,direct,0.1,0.01,0.777037037037037,0.7837037037037037,0.7837037037037037,0.4192592592592593,0.00666666666666671,0.00666666666666671,0.0
fruit_jelly,num_candidates_x,direct,0.1,0.03,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.1,0.03,0.7425925925925927,0.7388888888888888,0.7388888888888888,0.4833333333333333,-0.0037037037037038756,-0.0037037037037038756,0.0
vial,num_candidates_x,direct,0.1,0.03,0.9182389937106918,0.9266247379454926,0.9266247379454926,0.4360587002096436,0.008385744234800763,0.008385744234800763,0.0
walnuts,num_candidates_x,direct,0.1,0.03,0.777037037037037,0.7837037037037037,0.7837037037037037,0.4192592592592593,0.00666666666666671,0.00666666666666671,0.0
fruit_jelly,num_candidates_x,direct,0.1,0.05,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.1,0.05,0.7425925925925927,0.7388888888888888,0.7407407407407407,0.4833333333333333,-0.0037037037037038756,-0.0018518518518519933,0.0018518518518518823
