category,num_images,num_normal,num_anomaly,vlm_image_auroc,vlm_image_ap,fallback_count,fallback_rate,mean_eval_images,elapsed_sec,sec_per_image,strategy,eval_mode,clip_model,clip_pretrained,normal_prompts,anomaly_prompts,prediction_rows,duplicate_paths,nonfinite_scores
bottle,83,20,63,0.7777777777777778,0.9251123392086609,0,0.0,1.6867469879518073,55.49622158915736,0.6686291757729802,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal bottle || an industrial inspection photo of a defect-free bottle || a close-up inspection image showing a normal bottle,"a quality inspection image of a defective bottle || an industrial inspection photo showing an anomaly on a bottle || a close-up inspection image showing damage, contamination, or abnormal texture on a bottle",83,0,0
cable,150,58,92,0.5627811094452774,0.6854679411142708,0,0.0,1.9466666666666668,131.90344372787513,0.8793562915191675,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal cable || an industrial inspection photo of a defect-free cable || a close-up inspection image showing a normal cable,"a quality inspection image of a defective cable || an industrial inspection photo showing an anomaly on a cable || a close-up inspection image showing damage, contamination, or abnormal texture on a cable",150,0,0
capsule,132,23,109,0.5193458316713203,0.8660851645634308,0,0.0,1.7803030303030303,118.41523287910968,0.8970850975690128,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal capsule || an industrial inspection photo of a defect-free capsule || a close-up inspection image showing a normal capsule,"a quality inspection image of a defective capsule || an industrial inspection photo showing an anomaly on a capsule || a close-up inspection image showing damage, contamination, or abnormal texture on a capsule",132,0,0
carpet,117,28,89,0.6284109149277689,0.8892579924369814,0,0.0,1.4700854700854702,84.86304013710469,0.7253251293769631,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal carpet || an industrial inspection photo of a defect-free carpet || a close-up inspection image showing a normal carpet,"a quality inspection image of a defective carpet || an industrial inspection photo showing an anomaly on a carpet || a close-up inspection image showing damage, contamination, or abnormal texture on a carpet",117,0,0
grid,78,21,57,0.6140350877192983,0.8203940340154683,0,0.0,2.141025641025641,69.98993838904426,0.8973069024236443,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal grid || an industrial inspection photo of a defect-free grid || a close-up inspection image showing a normal grid,"a quality inspection image of a defective grid || an industrial inspection photo showing an anomaly on a grid || a close-up inspection image showing damage, contamination, or abnormal texture on a grid",78,0,0
hazelnut,110,40,70,0.5378571428571428,0.7364019260139367,0,0.0,1.5272727272727273,79.88327320688404,0.7262115746080368,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal hazelnut || an industrial inspection photo of a defect-free hazelnut || a close-up inspection image showing a normal hazelnut,"a quality inspection image of a defective hazelnut || an industrial inspection photo showing an anomaly on a hazelnut || a close-up inspection image showing damage, contamination, or abnormal texture on a hazelnut",110,0,0
leather,124,32,92,0.9697690217391304,0.9899872029330453,0,0.0,1.4838709677419355,90.51442569121718,0.7299550458969127,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal leather || an industrial inspection photo of a defect-free leather || a close-up inspection image showing a normal leather,"a quality inspection image of a defective leather || an industrial inspection photo showing an anomaly on a leather || a close-up inspection image showing damage, contamination, or abnormal texture on a leather",124,0,0
metal_nut,115,22,93,0.2781036168132942,0.7308194990522984,0,0.0,1.9652173913043478,105.98720737593248,0.9216278902254998,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal metal_nut || an industrial inspection photo of a defect-free metal_nut || a close-up inspection image showing a normal metal_nut,"a quality inspection image of a defective metal_nut || an industrial inspection photo showing an anomaly on a metal_nut || a close-up inspection image showing damage, contamination, or abnormal texture on a metal_nut",115,0,0
pill,167,26,141,0.2321331151118385,0.7329138336621854,0,0.0,1.9520958083832336,135.92753041512333,0.81393730787499,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal pill || an industrial inspection photo of a defect-free pill || a close-up inspection image showing a normal pill,"a quality inspection image of a defective pill || an industrial inspection photo showing an anomaly on a pill || a close-up inspection image showing damage, contamination, or abnormal texture on a pill",167,0,0
screw,160,41,119,0.5354580856732937,0.8254770482980578,0,0.0,2.18125,145.53608491597697,0.909600530724856,inspection_binary,crop_topk_ensemble,ViT-B-32,openai,a quality inspection image of a normal screw || an industrial inspection photo of a defect-free screw || a close-up inspection image showing a normal screw,"a quality inspection image of a defective screw || an industrial inspection photo showing an anomaly on a screw || a close-up inspection image showing damage, contamination, or abnormal texture on a screw",160,0,0
