category,variant_id,method,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_threshold,potential_call_rate,active_weight_rate
bottle,D0,Detector only,83,20,63,1.0,0.9999999999999997,1.0,0.39430229085592716,,
bottle,M0,Crop CLIP only,83,20,63,0.7777777777777778,0.9251123392086609,0.8630136986301369,0.0,,
bottle,V3,Naive detector-crop fusion,83,20,63,0.9952380952380953,0.9985116624997576,0.9843749999999999,0.2635646351396618,,
bottle,V4,Old Quality-Calibrated QCR,83,20,63,0.996031746031746,0.998759551380519,0.9843749999999999,0.2606951052067837,,
bottle,V6,Old Adaptive QCR diagnostic reconstruction,83,20,63,0.996031746031746,0.998759551380519,0.9843749999999999,0.2606951052067837,,
bottle,S1,SRB-QCR frozen transfer,83,20,63,1.0,1.0,1.0,0.38445312229128015,0.8072289156626506,0.7469879518072289
cable,D0,Detector only,150,58,92,0.9853823088455772,0.9907141932740784,0.9782608695652174,0.22548676632123563,,
cable,M0,Crop CLIP only,150,58,92,0.5627811094452774,0.6854679411142708,0.7615062761506276,0.21845868194646134,,
cable,V3,Naive detector-crop fusion,150,58,92,0.93571964017991,0.9656466176689187,0.8950276243093923,0.3960198262962253,,
cable,V4,Old Quality-Calibrated QCR,150,58,92,0.9537106446776612,0.9730021356545013,0.9157894736842105,0.30586834272245095,,
cable,V6,Old Adaptive QCR diagnostic reconstruction,150,58,92,0.9538980509745127,0.9731619099057746,0.9157894736842105,0.30586834272245095,,
cable,S1,SRB-QCR frozen transfer,150,58,92,0.9857571214392804,0.9916210923746587,0.9782608695652174,0.2631884500298902,0.8,0.76
capsule,D0,Detector only,132,23,109,0.9804547267650578,0.9957108239840077,0.9769585253456222,0.23345322932397267,,
capsule,M0,Crop CLIP only,132,23,109,0.5193458316713203,0.8660851645634308,0.9045643153526972,0.0,,
capsule,V3,Naive detector-crop fusion,132,23,109,0.9170323095333068,0.9821761930819117,0.9333333333333333,0.3494950469480284,,
capsule,V4,Old Quality-Calibrated QCR,132,23,109,0.9222177901874751,0.9833633910774235,0.9454545454545454,0.32596044313921524,,
capsule,V6,Old Adaptive QCR diagnostic reconstruction,132,23,109,0.9222177901874751,0.9833633910774235,0.9454545454545454,0.32596044313921524,,
capsule,S1,SRB-QCR frozen transfer,132,23,109,0.9812524930195452,0.9958660886904652,0.9769585253456222,0.2794016295673692,0.5681818181818182,0.553030303030303
carpet,D0,Detector only,117,28,89,0.9907704654895666,0.9974808185873639,0.9886363636363636,0.28129681395444284,,
carpet,M0,Crop CLIP only,117,28,89,0.6284109149277689,0.8892579924369814,0.8640776699029126,0.0,,
carpet,V3,Naive detector-crop fusion,117,28,89,0.9895666131621188,0.9974097280823573,0.9887640449438202,0.29493719654222816,,
carpet,V4,Old Quality-Calibrated QCR,117,28,89,0.9871589085072231,0.9968225337057776,0.9886363636363636,0.2934062369993846,,
carpet,V6,Old Adaptive QCR diagnostic reconstruction,117,28,89,0.9871589085072231,0.9968225337057776,0.9886363636363636,0.2934062369993846,,
carpet,S1,SRB-QCR frozen transfer,117,28,89,0.9895666131621187,0.9972211682498185,0.9886363636363636,0.30446824617790086,0.6666666666666666,0.6239316239316239
grid,D0,Detector only,78,21,57,0.9782790309106099,0.9934625348486719,0.9655172413793103,0.24292891989634988,,
grid,M0,Crop CLIP only,78,21,57,0.6140350877192983,0.8203940340154683,0.8444444444444443,0.0,,
grid,V3,Naive detector-crop fusion,78,21,57,0.9649122807017544,0.988462533802378,0.9642857142857142,0.3553457284228813,,
grid,V4,Old Quality-Calibrated QCR,78,21,57,0.9665831244778613,0.9887682136235092,0.9642857142857142,0.3250584019829211,,
grid,V6,Old Adaptive QCR diagnostic reconstruction,78,21,57,0.9665831244778613,0.9887682136235092,0.9642857142857142,0.3250584019829211,,
grid,S1,SRB-QCR frozen transfer,78,21,57,0.9816207184628236,0.9944034659971286,0.9734513274336283,0.2966314944734569,0.6282051282051282,0.6282051282051282
hazelnut,D0,Detector only,110,40,70,1.0,0.9999999999999999,1.0,0.3781794000310888,,
hazelnut,M0,Crop CLIP only,110,40,70,0.5378571428571428,0.7364019260139367,0.7777777777777778,0.0,,
hazelnut,V3,Naive detector-crop fusion,110,40,70,0.9828571428571429,0.9916851952911958,0.9571428571428572,0.3988741591645633,,
hazelnut,V4,Old Quality-Calibrated QCR,110,40,70,0.9867857142857143,0.99334671408121,0.9583333333333333,0.35159343294401035,,
hazelnut,V6,Old Adaptive QCR diagnostic reconstruction,110,40,70,0.9867857142857143,0.99334671408121,0.9583333333333333,0.35159343294401035,,
hazelnut,S1,SRB-QCR frozen transfer,110,40,70,1.0,0.9999999999999998,1.0,0.3713985238993316,0.8818181818181818,0.8727272727272727
leather,D0,Detector only,124,32,92,1.0,1.0,1.0,0.3173523050283067,,
leather,M0,Crop CLIP only,124,32,92,0.9697690217391304,0.9899872029330453,0.9613259668508287,0.2441491084739239,,
leather,V3,Naive detector-crop fusion,124,32,92,1.0,1.0000000000000002,1.0,0.4221559091874024,,
leather,V4,Old Quality-Calibrated QCR,124,32,92,1.0,1.0000000000000002,1.0,0.31373479189583253,,
leather,V6,Old Adaptive QCR diagnostic reconstruction,124,32,92,1.0,1.0000000000000002,1.0,0.31373479189583253,,
leather,S1,SRB-QCR frozen transfer,124,32,92,1.0,1.0000000000000002,1.0,0.3369732603866844,0.6854838709677419,0.6612903225806451
metal_nut,D0,Detector only,115,22,93,0.9975562072336266,0.9994513934606101,0.9945945945945946,0.3933325074343564,,
metal_nut,M0,Crop CLIP only,115,22,93,0.2781036168132942,0.7308194990522984,0.8942307692307693,0.0,,
metal_nut,V3,Naive detector-crop fusion,115,22,93,0.9188660801564027,0.9809282059244528,0.9238578680203046,0.3548497320035118,,
metal_nut,V4,Old Quality-Calibrated QCR,115,22,93,0.9188660801564028,0.9813526971208728,0.9175257731958764,0.36902632767058474,,
metal_nut,V6,Old Adaptive QCR diagnostic reconstruction,115,22,93,0.9193548387096775,0.9814821276266474,0.9175257731958764,0.36902632767058474,,
metal_nut,S1,SRB-QCR frozen transfer,115,22,93,0.9970674486803519,0.9993357731576847,0.989247311827957,0.3933325074343564,0.782608695652174,0.6782608695652174
pill,D0,Detector only,167,26,141,0.9424440807419531,0.989620321390541,0.9496402877697842,0.27066842853957634,,
pill,M0,Crop CLIP only,167,26,141,0.2321331151118385,0.7329138336621854,0.9155844155844156,0.0,,
pill,V3,Naive detector-crop fusion,167,26,141,0.8036006546644844,0.9602504598037495,0.9155844155844156,0.26675553242431954,,
pill,V4,Old Quality-Calibrated QCR,167,26,141,0.8202400436442989,0.9638466822829684,0.9185667752442997,0.2506397425578032,,
pill,V6,Old Adaptive QCR diagnostic reconstruction,167,26,141,0.8232405891980361,0.9648410465840798,0.9185667752442997,0.2506397425578032,,
pill,S1,SRB-QCR frozen transfer,167,26,141,0.9438079650845608,0.9897327963585497,0.9473684210526315,0.27062376286906475,0.7964071856287425,0.7305389221556886
screw,D0,Detector only,160,41,119,0.9833982373437179,0.9938951701714994,0.9709543568464729,0.27659568596662854,,
screw,M0,Crop CLIP only,160,41,119,0.5354580856732937,0.8254770482980578,0.8530465949820789,0.0,,
screw,V3,Naive detector-crop fusion,160,41,119,0.9565484730477556,0.9869198786025094,0.9391304347826087,0.500940228536592,,
screw,V4,Old Quality-Calibrated QCR,160,41,119,0.9401516704242673,0.9810349175277209,0.9217391304347827,0.4475555598828105,,
screw,V6,Old Adaptive QCR diagnostic reconstruction,160,41,119,0.9426111908177905,0.9818989940995306,0.9264069264069265,0.4438480523488081,,
screw,S1,SRB-QCR frozen transfer,160,41,119,0.9840131174420987,0.9942876981028603,0.975,0.3135621751470505,0.70625,0.69375
tile,D0,Detector only,117,33,84,0.9884559884559885,0.9965870558749815,0.9879518072289156,0.30319646666138933,,
tile,M0,Crop CLIP only,117,33,84,0.4188311688311688,0.7017211881752388,0.835820895522388,0.0,,
tile,V3,Naive detector-crop fusion,117,33,84,0.9476911976911977,0.9810961811637101,0.9212121212121211,0.45996042305466556,,
tile,V4,Old Quality-Calibrated QCR,117,33,84,0.9632034632034632,0.9864285140796782,0.9382716049382716,0.4080640568583124,,
tile,V6,Old Adaptive QCR diagnostic reconstruction,117,33,84,0.9632034632034632,0.9864285140796782,0.9382716049382716,0.4080640568583124,,
tile,S1,SRB-QCR frozen transfer,117,33,84,0.9880952380952381,0.9964518855277728,0.9879518072289156,0.31474472449223967,0.8205128205128205,0.7777777777777778
toothbrush,D0,Detector only,42,12,30,1.0,1.0,1.0,0.20820522346570677,,
toothbrush,M0,Crop CLIP only,42,12,30,0.6666666666666666,0.8670976916006612,0.8333333333333333,0.0,,
toothbrush,V3,Naive detector-crop fusion,42,12,30,0.95,0.9844248044045204,0.9491525423728815,0.37471266568211653,,
toothbrush,V4,Old Quality-Calibrated QCR,42,12,30,0.9555555555555556,0.9864357864357864,0.9655172413793104,0.33454764337093656,,
toothbrush,V6,Old Adaptive QCR diagnostic reconstruction,42,12,30,0.9555555555555556,0.9864357864357864,0.9655172413793104,0.33454764337093656,,
toothbrush,S1,SRB-QCR frozen transfer,42,12,30,1.0,1.0,1.0,0.21844705133967715,0.8809523809523809,0.8571428571428571
transistor,D0,Detector only,100,60,40,0.9995833333333333,0.999390243902439,0.9876543209876543,0.31883966885080156,,
transistor,M0,Crop CLIP only,100,60,40,0.3829166666666666,0.3806167464202419,0.5714285714285715,0.0,,
transistor,V3,Naive detector-crop fusion,100,60,40,0.92125,0.9295404381577104,0.8648648648648648,0.48861749380279984,,
transistor,V4,Old Quality-Calibrated QCR,100,60,40,0.9445833333333333,0.9413033154999634,0.8571428571428571,0.452558276699365,,
transistor,V6,Old Adaptive QCR diagnostic reconstruction,100,60,40,0.9445833333333333,0.9413033154999634,0.8571428571428571,0.45897630714974086,,
transistor,S1,SRB-QCR frozen transfer,100,60,40,1.0,1.0,1.0,0.3453779908976421,0.82,0.8
wood,D0,Detector only,79,19,60,0.986842105263158,0.9962783606851402,0.9747899159663865,0.36209997164333824,,
wood,M0,Crop CLIP only,79,19,60,0.9254385964912281,0.9745540757221226,0.944,0.16657381299964005,,
wood,V3,Naive detector-crop fusion,79,19,60,0.9850877192982455,0.9955068517294591,0.9672131147540983,0.2835628494455177,,
wood,V4,Old Quality-Calibrated QCR,79,19,60,0.9859649122807017,0.9957992493902778,0.9672131147540983,0.26274096372784417,,
wood,V6,Old Adaptive QCR diagnostic reconstruction,79,19,60,0.9859649122807017,0.9957992493902778,0.9672131147540983,0.26274096372784417,,
wood,S1,SRB-QCR frozen transfer,79,19,60,0.9859649122807018,0.995948213767173,0.9743589743589743,0.4152737083483006,0.7721518987341772,0.7721518987341772
zipper,D0,Detector only,151,32,119,0.9900210084033614,0.9974809062551003,0.9915966386554622,0.2762306810393085,,
zipper,M0,Crop CLIP only,151,32,119,0.32878151260504207,0.7256701357373552,0.8814814814814815,0.0,,
zipper,V3,Naive detector-crop fusion,151,32,119,0.8860294117647058,0.9600325193651478,0.9274193548387097,0.3089627454866083,,
zipper,V4,Old Quality-Calibrated QCR,151,32,119,0.9220063025210085,0.9741480812595933,0.9421487603305786,0.2936179998009953,,
zipper,V6,Old Adaptive QCR diagnostic reconstruction,151,32,119,0.9227941176470588,0.9747345737847217,0.9421487603305786,0.2936179998009953,,
zipper,S1,SRB-QCR frozen transfer,151,32,119,0.9900210084033614,0.9974189803498505,0.9915966386554622,0.2762306810393085,0.7350993377483444,0.7218543046357616
