heldout_category,w_max,q_quantile,q_threshold_from_dev,tau_delta,dev_macro_auroc,dev_detector_macro_auroc,dev_delta_vs_detector,eligible_noninferior,dev_potential_call_rate,dev_active_weight_rate,valid_dev_groups,detector_dev_groups,dev_rank
candle,0.15,0.25,0.24434642685153096,0.25,0.9076053105310532,0.9073648514851486,0.00024045904590463962,True,0.42048929663608564,0.19571865443425077,11,11,25.0
candle,0.15,0.25,0.24434642685153096,0.5,0.9088215121512152,0.9073648514851486,0.0014566606660666448,True,0.42048929663608564,0.34964322120285424,11,11,15.0
candle,0.15,0.25,0.24434642685153096,0.75,0.9105082208220822,0.9073648514851486,0.003143369336933599,True,0.42048929663608564,0.41182466870540263,11,11,5.0
candle,0.15,0.5,0.3714932591883957,0.25,0.9075645814581459,0.9073648514851486,0.0001997299729973312,True,0.2803261977573904,0.12436289500509684,11,11,26.0
candle,0.15,0.5,0.3714932591883957,0.5,0.9084785628562856,0.9073648514851486,0.0011137113711370272,True,0.2803261977573904,0.23037716615698267,11,11,17.0
candle,0.15,0.5,0.3714932591883957,0.75,0.9096339033903391,0.9073648514851486,0.0022690519051905556,True,0.2803261977573904,0.2742099898063201,11,11,9.0
candle,0.15,0.75,0.5192839781697434,0.25,0.9075013051305131,0.9073648514851486,0.00013645364536452043,True,0.1401630988786952,0.0581039755351682,11,11,27.0
candle,0.15,0.75,0.5192839781697434,0.5,0.9081837383738375,0.9073648514851486,0.0008188868886889189,True,0.1401630988786952,0.11213047910295616,11,11,18.0
candle,0.15,0.75,0.5192839781697434,0.75,0.9088379237923793,0.9073648514851486,0.001473072307230705,True,0.1401630988786952,0.13506625891946994,11,11,14.0
candle,0.25,0.25,0.24434642685153096,0.25,0.9078682268226822,0.9073648514851486,0.0005033753375336403,True,0.42048929663608564,0.19571865443425077,11,11,20.0
candle,0.25,0.25,0.24434642685153096,0.5,0.9095622262226223,0.9073648514851486,0.002197374737473723,True,0.42048929663608564,0.34964322120285424,11,11,10.0
candle,0.25,0.25,0.24434642685153096,0.75,0.9123334233423342,0.9073648514851486,0.0049685718571856885,True,0.42048929663608564,0.41182466870540263,11,11,2.0
candle,0.25,0.5,0.3714932591883957,0.25,0.9077733123312334,0.9073648514851486,0.0004084608460848127,True,0.2803261977573904,0.12436289500509684,11,11,22.0
candle,0.25,0.5,0.3714932591883957,0.5,0.9089989648964898,0.9073648514851486,0.0016341134113412314,True,0.2803261977573904,0.23037716615698267,11,11,12.0
candle,0.25,0.5,0.3714932591883957,0.75,0.9108724872487248,0.9073648514851486,0.0035076357635762667,True,0.2803261977573904,0.2742099898063201,11,11,4.0
candle,0.25,0.75,0.5192839781697434,0.25,0.907637488748875,0.9073648514851486,0.0002726372637263941,True,0.1401630988786952,0.0581039755351682,11,11,24.0
candle,0.25,0.75,0.5192839781697434,0.5,0.9085136813681369,0.9073648514851486,0.001148829882988367,True,0.1401630988786952,0.11213047910295616,11,11,16.0
candle,0.25,0.75,0.5192839781697434,0.75,0.9096375637563757,0.9073648514851486,0.002272712271227162,True,0.1401630988786952,0.13506625891946994,11,11,8.0
candle,0.35,0.25,0.24434642685153096,0.25,0.9079648364836485,0.9073648514851486,0.0005999849984998917,True,0.42048929663608564,0.19571865443425077,11,11,19.0
candle,0.35,0.25,0.24434642685153096,0.5,0.91037299729973,0.9073648514851486,0.00300814581458142,True,0.42048929663608564,0.34964322120285424,11,11,7.0
candle,0.35,0.25,0.24434642685153096,0.75,0.9142950795079507,0.9073648514851486,0.006930228022802187,True,0.42048929663608564,0.41182466870540263,11,11,1.0
candle,0.35,0.5,0.3714932591883957,0.25,0.9078429192919294,0.9073648514851486,0.00047806780678083527,True,0.2803261977573904,0.12436289500509684,11,11,21.0
candle,0.35,0.5,0.3714932591883957,0.5,0.9095075157515751,0.9073648514851486,0.0021426642664265083,True,0.2803261977573904,0.23037716615698267,11,11,11.0
candle,0.35,0.5,0.3714932591883957,0.75,0.912268286828683,0.9073648514851486,0.004903435343534435,True,0.2803261977573904,0.2742099898063201,11,11,3.0
candle,0.35,0.75,0.5192839781697434,0.25,0.9076890039003902,0.9073648514851486,0.00032415241524164085,True,0.1401630988786952,0.0581039755351682,11,11,23.0
candle,0.35,0.75,0.5192839781697434,0.5,0.9088465646564656,0.9073648514851486,0.0014817131713170673,True,0.1401630988786952,0.11213047910295616,11,11,13.0
candle,0.35,0.75,0.5192839781697434,0.75,0.9104067206720674,0.9073648514851486,0.003041869186918844,True,0.1401630988786952,0.13506625891946994,11,11,6.0
capsules,0.15,0.25,0.24140247926151412,0.25,0.9334325832583258,0.9332284878487851,0.00020409540954069438,True,0.41208791208791207,0.2002997002997003,11,11,25.0
capsules,0.15,0.25,0.24140247926151412,0.5,0.934480603060306,0.9332284878487851,0.00125211521152091,True,0.41208791208791207,0.34615384615384615,11,11,15.0
capsules,0.15,0.25,0.24140247926151412,0.75,0.9355885238523851,0.9332284878487851,0.002360036003600019,True,0.41208791208791207,0.4025974025974026,11,11,7.0
capsules,0.15,0.5,0.36708476681709823,0.25,0.9333918541854186,0.9332284878487851,0.00016336633663349698,True,0.27472527472527475,0.12837162837162838,11,11,26.0
capsules,0.15,0.5,0.36708476681709823,0.5,0.9342088658865887,0.9332284878487851,0.0009803780378035976,True,0.27472527472527475,0.22877122877122877,11,11,17.0
capsules,0.15,0.5,0.36708476681709823,0.75,0.9349308730873088,0.9332284878487851,0.0017023852385237292,True,0.27472527472527475,0.2677322677322677,11,11,11.0
