category,num_images,num_normal,num_anomaly,potential_call_rate,active_weight_rate,D0_auroc,D0_ap,D0_best_f1,V3_auroc,V3_ap,V3_best_f1,V4_auroc,V4_ap,V4_best_f1,V6_auroc,V6_ap,V6_best_f1,S1_auroc,S1_ap,S1_best_f1,S1_minus_D0,S1_minus_V3,S1_minus_V4
capsules,160,60,100,0.55625,0.55625,0.7574166666666666,0.8606336393834351,0.7747035573122529,0.9858333333333333,0.9909553404736882,0.964824120603015,0.9766666666666666,0.9855661350739333,0.9387755102040817,0.9768333333333332,0.9857199812277795,0.9387755102040817,0.77425,0.8480739014920943,0.7878787878787878,0.016833333333333367,-0.21158333333333335,-0.20241666666666658
cashew,150,50,100,0.62,0.62,0.8922,0.9483757652879192,0.8815165876777251,0.9975999999999999,0.9987812346762505,0.9852216748768473,0.9945999999999999,0.9971907325655374,0.9801980198019802,0.9945999999999999,0.9971907325655374,0.9801980198019802,0.9053999999999999,0.9537144937470342,0.8878048780487805,0.013199999999999878,-0.09220000000000006,-0.08920000000000006
pcb2,200,100,100,0.445,0.445,0.8775999999999999,0.909227954918177,0.8279569892473119,0.992,0.9924476354191849,0.9644670050761421,0.9893000000000001,0.9900359065874573,0.9430051813471503,0.9894000000000001,0.9901198456667235,0.9430051813471503,0.8901,0.9167347897628939,0.8279569892473119,0.012500000000000067,-0.10189999999999999,-0.09920000000000007
macaroni2,200,100,100,0.3,0.29,0.7208,0.7528116034031653,0.7121212121212122,0.8998000000000002,0.9010819231136784,0.8285714285714286,0.9191,0.9189700552942668,0.8421052631578947,0.9204,0.920774020506371,0.8444444444444444,0.731,0.7465313546777075,0.714828897338403,0.010199999999999987,-0.16880000000000017,-0.18810000000000004
pcb3,201,101,100,0.4925373134328358,0.48756218905472637,0.8868316831683168,0.8924080114235599,0.8262910798122066,0.9167326732673267,0.9254412713435108,0.8431372549019608,0.9659405940594059,0.9696411855705953,0.914572864321608,0.9668316831683168,0.9706240496133126,0.914572864321608,0.8925742574257426,0.8919801195782823,0.8401826484018264,0.005742574257425748,-0.02415841584158407,-0.07336633663366332
macaroni1,200,100,100,0.415,0.415,0.8792,0.8623662248338239,0.8230088495575221,0.9767,0.9746500583581602,0.9306930693069307,0.9779,0.9769316923632607,0.9313725490196079,0.9786,0.9777279556171085,0.9359605911330049,0.8835999999999999,0.8339522580571528,0.8348623853211009,0.0043999999999999595,-0.09310000000000007,-0.09430000000000005
fryum,150,50,100,0.37333333333333335,0.37333333333333335,0.9496,0.9762500544261796,0.9178743961352657,1.0,1.0,1.0,0.9992,0.9996029114676174,0.9900990099009901,0.9992,0.9996029114676174,0.9900990099009901,0.9528,0.9774824860052713,0.9178743961352657,0.0031999999999999806,-0.04720000000000002,-0.0464
pipe_fryum,150,50,100,0.3466666666666667,0.34,0.9714,0.9861322585320341,0.9359605911330049,0.9862,0.9935384986116922,0.964824120603015,0.9930000000000001,0.9967157826275473,0.9743589743589743,0.9930000000000001,0.9967157826275473,0.9743589743589743,0.972,0.9863250181810453,0.9411764705882353,0.0005999999999999339,-0.01419999999999999,-0.02100000000000013
chewinggum,150,50,100,0.35333333333333333,0.35333333333333333,0.9898,0.9960090763761805,0.9847715736040609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9898,0.9960090763761806,0.9847715736040609,0.0,-0.010199999999999987,-0.010199999999999987
pcb1,200,100,100,0.34,0.335,0.8936000000000001,0.8922699141201902,0.8468468468468469,0.8995000000000001,0.9088371242976572,0.8202764976958525,0.9487000000000001,0.9524405071154127,0.8767123287671232,0.9495,0.9533072607479944,0.8767123287671232,0.8935000000000001,0.8890312943675409,0.8416289592760181,-9.999999999998899e-05,-0.006000000000000005,-0.05520000000000003
pcb4,201,101,100,0.42786069651741293,0.417910447761194,0.9384158415841585,0.9187090870239387,0.909952606635071,0.9637623762376237,0.9632814945985354,0.8985507246376812,0.9797029702970298,0.9795832327062203,0.9252336448598131,0.9807920792079209,0.9809071264649963,0.9252336448598131,0.9362376237623763,0.9121159865914055,0.9047619047619048,-0.00217821782178218,-0.027524752475247438,-0.043465346534653504
candle,200,100,100,0.355,0.355,0.9638,0.9659291762956388,0.9154228855721394,0.9937,0.9938720799996253,0.96,0.9936,0.993686006881524,0.9603960396039604,0.9937,0.9937923649927909,0.9603960396039604,0.9609,0.9614917345612604,0.91,-0.0029000000000000137,-0.03280000000000005,-0.03270000000000006
