dataset,method,categories,n,macro_auroc,macro_ap
AD2,D_raw,8,1084,0.6689311410591172,0.7907620982668357
AD2,D_z,8,1084,0.6689311410591172,0.7907620982668357
AD2,M_context_top1,8,1084,0.5661276669758812,0.718262838162535
AD2,M_context_top1_z,8,1084,0.5661276669758812,0.718262838162535
AD2,M_context_top3max,8,1084,0.5553991087175612,0.7102377936460698
AD2,M_global,8,1084,0.5150912898829566,0.6891564027669635
AD2,M_tight_top1,8,1084,0.5439665074784122,0.7151450853865178
AD2,naive_context_top1,8,1084,0.6685852072310405,0.7880688111238228
AD2,naive_context_top3max,8,1084,0.6639453491834444,0.7850284940910266
VisA,D_raw,12,2162,0.9072070957095707,0.920839312151033
VisA,D_z,12,2162,0.9072070957095707,0.920839312151033
VisA,M_context_top1,12,2162,0.6225427117711771,0.6882241402587747
VisA,M_context_top1_z,12,2162,0.6225427117711771,0.6882241402587747
VisA,M_context_top3max,12,2162,0.5604793454345435,0.6453130696604737
VisA,M_global,12,2162,0.5597132563256326,0.6392460811664931
VisA,M_tight_top1,12,2162,0.6101070407040704,0.6817369894106665
VisA,naive_context_top1,12,2162,0.8944136138613862,0.915249568973907
VisA,naive_context_top3max,12,2162,0.9002994224422443,0.9174503189390971
