method,n,normal,anomaly,auroc,ap,dataset,category
D_raw,162,72,90,0.4438271604938271,0.5569980589854331,AD2,can
M_global,162,72,90,0.3381172839506173,0.4762315085035629,AD2,can
M_tight_top1,162,72,90,0.4790123456790123,0.5213864082652826,AD2,can
M_context_top1,162,72,90,0.5245370370370371,0.5529616742269482,AD2,can
M_context_top3max,162,72,90,0.5200617283950617,0.5620236486916421,AD2,can
D_z,162,72,90,0.4438271604938271,0.5569980589854331,AD2,can
M_context_top1_z,162,72,90,0.5245370370370371,0.5529616742269482,AD2,can
naive_context_top1,162,72,90,0.4813271604938272,0.551780851510761,AD2,can
naive_context_top3max,162,72,90,0.5006172839506173,0.5547138704285555,AD2,can
D_raw,156,66,90,0.7102693602693604,0.7836136424575284,AD2,fabric
M_global,156,66,90,0.5163299663299663,0.6251375116940208,AD2,fabric
M_tight_top1,156,66,90,0.5134680134680134,0.5936497544489001,AD2,fabric
M_context_top1,156,66,90,0.5168350168350168,0.5737465648883822,AD2,fabric
M_context_top3max,156,66,90,0.4740740740740741,0.5442891566678936,AD2,fabric
D_z,156,66,90,0.7102693602693604,0.7836136424575284,AD2,fabric
M_context_top1_z,156,66,90,0.5168350168350168,0.5737465648883822,AD2,fabric
naive_context_top1,156,66,90,0.6648148148148149,0.7711767214734149,AD2,fabric
naive_context_top3max,156,66,90,0.6395622895622896,0.7564412660684123,AD2,fabric
D_raw,80,20,60,0.7899999999999999,0.9293496212782802,AD2,fruit_jelly
M_global,80,20,60,0.5316666666666667,0.7399415962270866,AD2,fruit_jelly
M_tight_top1,80,20,60,0.44,0.754754681567174,AD2,fruit_jelly
M_context_top1,80,20,60,0.4733333333333334,0.751464728610729,AD2,fruit_jelly
M_context_top3max,80,20,60,0.5475,0.7903405668845651,AD2,fruit_jelly
D_z,80,20,60,0.7899999999999999,0.9293496212782802,AD2,fruit_jelly
M_context_top1_z,80,20,60,0.4733333333333334,0.751464728610729,AD2,fruit_jelly
naive_context_top1,80,20,60,0.7366666666666666,0.9082049855015464,AD2,fruit_jelly
naive_context_top3max,80,20,60,0.75,0.914522380583758,AD2,fruit_jelly
D_raw,132,42,90,0.5335978835978836,0.7033982193190758,AD2,rice
M_global,132,42,90,0.5063492063492063,0.6982532721263293,AD2,rice
M_tight_top1,132,42,90,0.4748677248677248,0.6853432890459372,AD2,rice
M_context_top1,132,42,90,0.4521164021164021,0.6779847667965073,AD2,rice
M_context_top3max,132,42,90,0.4621693121693122,0.6848232662054061,AD2,rice
D_z,132,42,90,0.5335978835978836,0.7033982193190758,AD2,rice
M_context_top1_z,132,42,90,0.4521164021164021,0.6779847667965073,AD2,rice
naive_context_top1,132,42,90,0.5238095238095237,0.69956238547084,AD2,rice
naive_context_top3max,132,42,90,0.5259259259259259,0.6979510807515605,AD2,rice
D_raw,114,24,90,0.699537037037037,0.9117786460432544,AD2,sheet_metal
M_global,114,24,90,0.650462962962963,0.8606312027867197,AD2,sheet_metal
M_tight_top1,114,24,90,0.4481481481481482,0.7587773827472357,AD2,sheet_metal
M_context_top1,114,24,90,0.6324074074074074,0.8761115917363804,AD2,sheet_metal
M_context_top3max,114,24,90,0.499074074074074,0.7830699263241631,AD2,sheet_metal
D_z,114,24,90,0.699537037037037,0.9117786460432544,AD2,sheet_metal
M_context_top1_z,114,24,90,0.6324074074074074,0.8761115917363804,AD2,sheet_metal
naive_context_top1,114,24,90,0.7407407407407407,0.920002119197074,AD2,sheet_metal
naive_context_top3max,114,24,90,0.663888888888889,0.8917390771312624,AD2,sheet_metal
D_raw,140,35,105,0.8642176870748299,0.9514223221057349,AD2,vial
M_global,140,35,105,0.4476190476190477,0.7543296830200056,AD2,vial
M_tight_top1,140,35,105,0.6740136054421769,0.8758891286698366,AD2,vial
M_context_top1,140,35,105,0.6010884353741497,0.8587155396746751,AD2,vial
M_context_top3max,140,35,105,0.6960544217687075,0.8990175043741846,AD2,vial
D_z,140,35,105,0.8642176870748299,0.9514223221057349,AD2,vial
M_context_top1_z,140,35,105,0.6010884353741497,0.8587155396746751,AD2,vial
naive_context_top1,140,35,105,0.820952380952381,0.9434977379986036,AD2,vial
naive_context_top3max,140,35,105,0.8802721088435375,0.9639202113627235,AD2,vial
D_raw,150,60,90,0.4651851851851851,0.5707241422253511,AD2,wallplugs
M_global,150,60,90,0.3453703703703703,0.5182467532613045,AD2,wallplugs
M_tight_top1,150,60,90,0.597962962962963,0.7201905132208426,AD2,wallplugs
M_context_top1,150,60,90,0.5551851851851852,0.6315398860949617,AD2,wallplugs
