category,method,n,auroc,ap
candle,D_z,200,0.9732000000000001,0.9743394766799574
candle,M_context_top1_z,200,0.5617,0.5234604240618179
candle,naive_context_top1,200,0.9446,0.9522412935867806
candle,fixed_source_oof,200,0.9708,0.9722877966876935
candle,logistic_source_oof,200,0.9674999999999999,0.969634896546985
candle,gate_dm,200,0.9694999999999999,0.9710762768341533
candle,gate_geometry,200,0.9714,0.9743422698738956
candle,gate_reference,200,0.9652,0.9715832434515143
candle,gate_remove,200,0.9628,0.9702817301490541
candle,gate_exchange,200,0.963,0.970751183140327
candle,gate_uncalibrated,200,0.9626000000000001,0.9702352593235727
candle,gate_budget_pool,200,0.9642999999999999,0.9715107644589533
candle,gate_shuffled,200,0.9624999999999999,0.9704466051375346
candle,logistic_reference,200,0.9727,0.9568771193789049
candle,logistic_exchange,200,0.9708,0.9537112899084814
capsules,D_z,160,0.749,0.8621417618959917
capsules,M_context_top1_z,160,0.49433333333333335,0.633148396894381
capsules,naive_context_top1,160,0.7404999999999999,0.8559998465472874
capsules,fixed_source_oof,160,0.7481666666666668,0.8606419101685769
capsules,logistic_source_oof,160,0.748,0.8600669490825739
capsules,gate_dm,160,0.7468333333333333,0.8596600883975595
capsules,gate_geometry,160,0.7486666666666666,0.8576300629264686
capsules,gate_reference,160,0.749,0.8578607464768873
capsules,gate_remove,160,0.7498333333333332,0.8584023521693364
capsules,gate_exchange,160,0.7498333333333335,0.8585481323554285
capsules,gate_uncalibrated,160,0.7491666666666666,0.8580974216665579
capsules,gate_budget_pool,160,0.7488333333333334,0.8580098590421547
capsules,gate_shuffled,160,0.7468333333333335,0.8563802178787988
capsules,logistic_reference,160,0.7434999999999999,0.859898253216745
capsules,logistic_exchange,160,0.7421666666666668,0.8583534366304342
cashew,D_z,150,0.9614,0.9811976771880659
cashew,M_context_top1_z,150,0.6082,0.7304185052176935
cashew,naive_context_top1,150,0.9444000000000001,0.9748301244263432
cashew,fixed_source_oof,150,0.9620000000000001,0.981441286616205
cashew,logistic_source_oof,150,0.9618000000000001,0.981358493200699
cashew,gate_dm,150,0.9618,0.9813775300505745
cashew,gate_geometry,150,0.9606,0.9806847337941866
cashew,gate_reference,150,0.9616,0.9811538401791701
cashew,gate_remove,150,0.9608000000000001,0.9807941166946006
cashew,gate_exchange,150,0.9590000000000001,0.979864808403414
cashew,gate_uncalibrated,150,0.9610000000000001,0.9808244789463811
cashew,gate_budget_pool,150,0.9616,0.9811030686792837
cashew,gate_shuffled,150,0.9622,0.9813862842848327
cashew,logistic_reference,150,0.9644,0.9826301417832901
cashew,logistic_exchange,150,0.9568,0.9786358354924295
chewinggum,D_z,150,0.9884000000000001,0.9953147197249776
chewinggum,M_context_top1_z,150,0.8316,0.9121717606436219
chewinggum,naive_context_top1,150,0.9822,0.9925480396695183
chewinggum,fixed_source_oof,150,0.9876,0.9949932128645409
chewinggum,logistic_source_oof,150,0.9872000000000001,0.9947958377745123
chewinggum,gate_dm,150,0.9874,0.9948945176732901
chewinggum,gate_geometry,150,0.9848,0.99386710368417
chewinggum,gate_reference,150,0.9848,0.99386710368417
chewinggum,gate_remove,150,0.985,0.9939219326813922
chewinggum,gate_exchange,150,0.9843999999999999,0.9937042738752082
chewinggum,gate_uncalibrated,150,0.9848,0.9938871547198537
chewinggum,gate_budget_pool,150,0.9848,0.99386710368417
chewinggum,gate_shuffled,150,0.9843999999999999,0.9937030675376928
chewinggum,logistic_reference,150,0.98,0.9923753612936544
chewinggum,logistic_exchange,150,0.9802,0.9923593397980537
fryum,D_z,150,0.9546,0.9792100168814865
fryum,M_context_top1_z,150,0.6075999999999999,0.8019377138017418
fryum,naive_context_top1,150,0.9252,0.9696407491831636
fryum,fixed_source_oof,150,0.9542,0.9792874430604404
fryum,logistic_source_oof,150,0.9522,0.9787896070257054
fryum,gate_dm,150,0.9538000000000001,0.9792697891040497
fryum,gate_geometry,150,0.9474,0.9776860208344074
fryum,gate_reference,150,0.9431999999999999,0.9759754324464395
fryum,gate_remove,150,0.9438,0.9763856090450815
fryum,gate_exchange,150,0.944,0.9763877122748084
fryum,gate_uncalibrated,150,0.9443999999999999,0.9768160334141636
fryum,gate_budget_pool,150,0.9430000000000001,0.9758475261099596
fryum,gate_shuffled,150,0.9420000000000001,0.9753762079292885
fryum,logistic_reference,150,0.9322,0.9725031629166041
fryum,logistic_exchange,150,0.9318,0.9725103220572369
macaroni1,D_z,200,0.8249000000000001,0.8242616411715697
macaroni1,M_context_top1_z,200,0.5776,0.5888520862673394
macaroni1,naive_context_top1,200,0.7918,0.800979266214368
macaroni1,fixed_source_oof,200,0.8318,0.8299120296971585
macaroni1,logistic_source_oof,200,0.8321000000000001,0.8304905909479721
macaroni1,gate_dm,200,0.8326999999999999,0.8318842339533563
macaroni1,gate_geometry,200,0.8264,0.8389127459531533
macaroni1,gate_reference,200,0.8276,0.840678961862174
macaroni1,gate_remove,200,0.8301,0.8428265307482237
macaroni1,gate_exchange,200,0.8259,0.8393095867577245
macaroni1,gate_uncalibrated,200,0.8238000000000001,0.8385089598810458
macaroni1,gate_budget_pool,200,0.8272,0.8402617077261347
macaroni1,gate_shuffled,200,0.8295,0.8427507554247373
macaroni1,logistic_reference,200,0.8406,0.8683327058048386
macaroni1,logistic_exchange,200,0.8390000000000001,0.8680144963578529
macaroni2,D_z,200,0.6688000000000001,0.6664001065955215
macaroni2,M_context_top1_z,200,0.5069,0.4927968038682699
macaroni2,naive_context_top1,200,0.6332,0.6569980373843127
macaroni2,fixed_source_oof,200,0.6656,0.6678222535117297
macaroni2,logistic_source_oof,200,0.6587999999999998,0.6687133281702689
macaroni2,gate_dm,200,0.6658,0.6704047225934354
macaroni2,gate_geometry,200,0.6954,0.6982347681854353
macaroni2,gate_reference,200,0.695,0.6975874610920348
macaroni2,gate_remove,200,0.6919,0.6958527139777133
macaroni2,gate_exchange,200,0.6913,0.6973306536061299
macaroni2,gate_uncalibrated,200,0.6873999999999999,0.6918711609532362
macaroni2,gate_budget_pool,200,0.6941999999999999,0.696561889124705
macaroni2,gate_shuffled,200,0.6949,0.6962408434463023
macaroni2,logistic_reference,200,0.7349,0.7381225069133572
macaroni2,logistic_exchange,200,0.7332000000000001,0.7378422409663814
pcb1,D_z,200,0.9336000000000001,0.9311853472869269
pcb1,M_context_top1_z,200,0.5880000000000001,0.6077739872274903
pcb1,naive_context_top1,200,0.935,0.9337016679987841
pcb1,fixed_source_oof,200,0.9353,0.9324267476568814
pcb1,logistic_source_oof,200,0.9355,0.9327026400279588
pcb1,gate_dm,200,0.934,0.9287287809103414
pcb1,gate_geometry,200,0.9564,0.9568843508440941
pcb1,gate_reference,200,0.9581999999999999,0.9583145858901764
pcb1,gate_remove,200,0.9584999999999999,0.9585609876182519
pcb1,gate_exchange,200,0.9588,0.9588004501119768
pcb1,gate_uncalibrated,200,0.9590000000000001,0.9588426643405195
pcb1,gate_budget_pool,200,0.9582999999999999,0.9583770028838814
pcb1,gate_shuffled,200,0.9578,0.9574120730366664
pcb1,logistic_reference,200,0.9581,0.9565823385759167
pcb1,logistic_exchange,200,0.9586999999999999,0.95698728102949
pcb2,D_z,200,0.9277,0.9175799341556953
pcb2,M_context_top1_z,200,0.5349,0.5862096443831087
pcb2,naive_context_top1,200,0.9268,0.9176934415959489
pcb2,fixed_source_oof,200,0.9305,0.9195048818266502
pcb2,logistic_source_oof,200,0.9312,0.9200135270493259
pcb2,gate_dm,200,0.9309000000000001,0.9198824713374395
pcb2,gate_geometry,200,0.9434,0.9478297224484764
pcb2,gate_reference,200,0.944,0.9481182513523654
pcb2,gate_remove,200,0.9424999999999999,0.9466487083589359
pcb2,gate_exchange,200,0.9429,0.9473914192856872
pcb2,gate_uncalibrated,200,0.9408,0.9445846041552451
pcb2,gate_budget_pool,200,0.9434,0.9466830957490838
pcb2,gate_shuffled,200,0.9399,0.9390279623661122
pcb2,logistic_reference,200,0.9453,0.9369842622506079
pcb2,logistic_exchange,200,0.9441,0.9357344653571953
pcb3,D_z,201,0.9269306930693069,0.9384424898094934
pcb3,M_context_top1_z,201,0.7162376237623762,0.7484454574262025
pcb3,naive_context_top1,201,0.9376237623762377,0.9484768321966169
pcb3,fixed_source_oof,201,0.931980198019802,0.9420085441567995
pcb3,logistic_source_oof,201,0.9343564356435644,0.9441552767936645
pcb3,gate_dm,201,0.933960396039604,0.9438069808754439
pcb3,gate_geometry,201,0.9372277227722773,0.9464995119417157
pcb3,gate_reference,201,0.9373267326732674,0.9464513165764403
pcb3,gate_remove,201,0.9370297029702971,0.9461278623345538
pcb3,gate_exchange,201,0.9370297029702971,0.9460795422270445
pcb3,gate_uncalibrated,201,0.9376237623762377,0.9464627253801177
pcb3,gate_budget_pool,201,0.9373267326732674,0.9465297157547524
pcb3,gate_shuffled,201,0.9347524752475248,0.9441177114139637
pcb3,logistic_reference,201,0.9503960396039604,0.9563987344333901
pcb3,logistic_exchange,201,0.9489108910891089,0.9548336906040416
pcb4,D_z,201,0.9845544554455445,0.983130723329334
pcb4,M_context_top1_z,201,0.7758415841584159,0.8116171431350483
pcb4,naive_context_top1,201,0.986039603960396,0.9868362822523444
pcb4,fixed_source_oof,201,0.985049504950495,0.9836317886415441
pcb4,logistic_source_oof,201,0.9864356435643564,0.985272931458521
pcb4,gate_dm,201,0.9866336633663367,0.9855142157750406
pcb4,gate_geometry,201,0.9915841584158416,0.9916388041520423
pcb4,gate_reference,201,0.9914851485148515,0.9915384144088153
pcb4,gate_remove,201,0.9916831683168317,0.9917015138066984
pcb4,gate_exchange,201,0.9913861386138614,0.9914549409578276
pcb4,gate_uncalibrated,201,0.9907920792079208,0.990745377838495
pcb4,gate_budget_pool,201,0.9916831683168317,0.9917500347872167
pcb4,gate_shuffled,201,0.99,0.9898104430816198
pcb4,logistic_reference,201,0.9917821782178218,0.9914859653156858
pcb4,logistic_exchange,201,0.9920792079207921,0.9920082143672566
pipe_fryum,D_z,150,0.9934,0.9968678510933773
pipe_fryum,M_context_top1_z,150,0.6676000000000001,0.8218577601785784
pipe_fryum,naive_context_top1,150,0.9855999999999999,0.993049246631416
pipe_fryum,fixed_source_oof,150,0.9934000000000001,0.9968031706795242
pipe_fryum,logistic_source_oof,150,0.993,0.9966203039062352
pipe_fryum,gate_dm,150,0.993,0.9965868204926867
pipe_fryum,gate_geometry,150,0.9928,0.9965047510659162
pipe_fryum,gate_reference,150,0.9914000000000001,0.9958484450233804
pipe_fryum,gate_remove,150,0.992,0.9961216121108777
pipe_fryum,gate_exchange,150,0.992,0.9960982013473778
pipe_fryum,gate_uncalibrated,150,0.9928,0.9965047510659162
pipe_fryum,gate_budget_pool,150,0.9914000000000001,0.9958484450233804
pipe_fryum,gate_shuffled,150,0.988,0.9940497833846769
pipe_fryum,logistic_reference,150,0.9916,0.9959267316593494
pipe_fryum,logistic_exchange,150,0.9934000000000001,0.9967301142577968
